jointHR1,jointHR2,jointHR3,footHRx,footHRy,footHRz,force
-0.096019208431244,0.68467545509338,-1.0721042156219,-0.029892060905695,-0.32605496048927,0.52739614248276,0
-0.093112379312515,0.67623323202133,-1.0678300857544,-0.029001083225012,-0.32648968696594,0.52571296691895,0
-0.090290188789368,0.66804015636444,-1.0640947818756,-0.028128458186984,-0.32687646150589,0.52399730682373,0
-0.08752104640007,0.66009837388992,-1.0608534812927,-0.027263790369034,-0.32719457149506,0.52227199077606,0
-0.084781020879745,0.65238004922867,-1.0580303668976,-0.026394138112664,-0.32747554779053,0.52052444219589,0
-0.08205458521843,0.64483124017715,-1.0555244684219,-0.025524588301778,-0.32773023843765,0.51876080036163,0
-0.0793277323246,0.63745814561844,-1.0533199310303,-0.02465252764523,-0.32793083786964,0.51700413227081,0
-0.076588302850723,0.63025617599487,-1.0513921976089,-0.023765955120325,-0.32810217142105,0.5152388215065,0
-0.073832809925079,0.62317675352097,-1.0496646165848,-0.022873023524881,-0.32826054096222,0.51346325874329,0
-0.07105952501297,0.61614108085632,-1.047997713089,-0.021978298202157,-0.32840296626091,0.51170092821121,0
-0.068266063928604,0.60905885696411,-1.0462362766266,-0.021070022135973,-0.32852581143379,0.50993949174881,0
-0.065450638532639,0.60204583406448,-1.0445778369904,-0.020152904093266,-0.32864171266556,0.50816762447357,0
-0.062613219022751,0.59514981508255,-1.0430943965912,-0.019232304766774,-0.32871469855309,0.50640940666199,0
-0.059751898050308,0.58839625120163,-1.0418212413788,-0.018297448754311,-0.32875630259514,0.5046523809433,0
-0.056867986917496,0.58174324035645,-1.0406975746155,-0.017352759838104,-0.32879248261452,0.50288486480713,0
-0.053965091705322,0.57517755031586,-1.0397011041641,-0.016407310962677,-0.32879447937012,0.50112986564636,0
-0.051043808460236,0.56871312856674,-1.038848400116,-0.015452395193279,-0.32876563072205,0.49938115477562,0
-0.048105418682098,0.56230938434601,-1.0380811691284,-0.014488748274744,-0.32873591780663,0.49762201309204,0
-0.04515415430069,0.55594545602798,-1.0373687744141,-0.013527641072869,-0.32868146896362,0.49587246775627,0
-0.042194187641144,0.54963612556458,-1.036732673645,-0.012561228126287,-0.32859832048416,0.49413058161736,0
-0.039225518703461,0.54334819316864,-1.0361258983612,-0.011588632129133,-0.32851731777191,0.49237731099129,0
-0.036250829696655,0.53706669807434,-1.0355263948441,-0.010620545595884,-0.32841914892197,0.49062997102737,0
-0.033271014690399,0.53082120418549,-1.0349760055542,-0.0096496231853962,-0.32829004526138,0.48889330029488,0
-0.030285179615021,0.52458941936493,-1.0344433784485,-0.0086733633652328,-0.32816264033318,0.48714601993561,0
-0.027286529541016,0.51838183403015,-1.033939242363,-0.0076947067864239,-0.32801631093025,0.48540624976158,0
-0.024258434772491,0.5122897028923,-1.033586025238,-0.006707489490509,-0.32782891392708,0.48368564248085,0
-0.021195352077484,0.50631260871887,-1.0333814620972,-0.0057049435563385,-0.32763257622719,0.48196133971214,0
-0.018090724945068,0.50045734643936,-1.0333315134048,-0.0046905595809221,-0.32741075754166,0.48025035858154,0
-0.014930963516235,0.49490863084793,-1.0336933135986,-0.0036621396429837,-0.32711306214333,0.4785732626915,0
-0.011716604232788,0.48977208137512,-1.0346252918243,-0.0026129945181309,-0.32678306102753,0.47690609097481,0
-0.0084409713745117,0.48486310243607,-1.0358467102051,-0.0015469114296139,-0.32642829418182,0.47525456547737,0
-0.0050959587097168,0.48019987344742,-1.0373711585999,-0.0004644598811864,-0.32602313160896,0.47363790869713,0
-0.0016804337501526,0.47578060626984,-1.0391939878464,0.0006407395121639,-0.32559397816658,0.47203350067139,0
0.0017964243888855,0.47157299518585,-1.0412799119949,0.0017580459825696,-0.32513996958733,0.47044366598129,0
0.0053215622901917,0.46763777732849,-1.04372215271,0.0028808705974369,-0.32462853193283,0.46888774633408,0
0.00888592004776,0.4639949798584,-1.0465587377548,0.0040162238292394,-0.32408022880554,0.467345058918,0
0.012482404708862,0.46060255169868,-1.0497391223907,0.0051543428562582,-0.32350438833237,0.46581238508224,0
0.016099393367767,0.45749998092651,-1.053323507309,0.0062881554476917,-0.32286810874939,0.46431145071983,0
0.019729733467102,0.45471680164337,-1.0573579072952,0.0074240388348699,-0.32218587398529,0.4628269970417,0
0.023368895053864,0.45219564437866,-1.0617688894272,0.0085550816729664,-0.32147744297981,0.46134772896767,0
0.026999950408936,0.44993916153908,-1.0665709972382,0.0096685728058218,-0.32070830464363,0.45989632606506,0
0.030606865882874,0.44796821475029,-1.0718050003052,0.010772172361612,-0.31989255547523,0.45845600962639,0
0.034188091754913,0.44621703028679,-1.0773844718933,0.011861375533044,-0.31905302405357,0.4570138156414,0
0.037722647190094,0.4446682035923,-1.0832967758179,0.012916956096888,-0.31815937161446,0.45558887720108,0
0.04118138551712,0.44333833456039,-1.0895848274231,0.01394471898675,-0.31721717119217,0.45417094230652,0
0.044569373130798,0.4421666264534,-1.0961635112762,0.014947415329516,-0.31625530123711,0.45274320244789,0
0.047876119613647,0.44113263487816,-1.1030077934265,0.015906237065792,-0.31524682044983,0.45132580399513,0
0.051074624061584,0.44026863574982,-1.1101717948914,0.01682698354125,-0.31418973207474,0.44991597533226,0
0.054177641868591,0.43952149152756,-1.117577791214,0.017717706039548,-0.31311562657356,0.44849464297295,0
0.057190358638763,0.43885785341263,-1.1251726150513,0.018564742058516,-0.31200641393661,0.4470801949501,0
0.060100197792053,0.43829363584518,-1.1329789161682,0.019376568496227,-0.3108543753624,0.44567492604256,0
0.062923550605774,0.43778511881828,-1.1409299373627,0.020161267369986,-0.30969282984734,0.44425812363625,0
0.06566846370697,0.43730008602142,-1.1489741802216,0.020908845588565,-0.30850687623024,0.44284647703171,0
0.068326950073242,0.43685439229012,-1.1571319103241,0.021623477339744,-0.30728429555893,0.44144624471664,0
0.070911765098572,0.4364185333252,-1.1653583049774,0.022316448390484,-0.30605578422546,0.44003567099571,0
0.07343053817749,0.43596881628036,-1.1736159324646,0.022978279739618,-0.3048112988472,0.43862822651863,0
0.07587605714798,0.43552950024605,-1.1819353103638,0.023609638214111,-0.30353289842606,0.43723544478416,0
0.078256011009216,0.43508547544479,-1.1902936697006,0.024222295731306,-0.30224901437759,0.43583464622498,0
0.080578744411469,0.43461892008781,-1.1986620426178,0.024807902052999,-0.30095425248146,0.43443703651428,0
