jointHR1,jointHR2,jointHR3,footHRx,footHRy,footHRz,force
-0.55585712194443,0.56876647472382,-1.8175305128098,-0.09949117898941,-0.17945384979248,0.39408874511719,0.0
-0.5168416683490469,0.5797862685643745,-1.8300966482896308,-0.09187326522973846,-0.1828912989451323,0.39548688668471077,0.0
-0.45383436404741695,0.5832789723689723,-1.7994460142575692,-0.08440090486636546,-0.19472294701980153,0.3985534172791677,0.0
-0.41221628280786304,0.609304217191843,-1.7664124415471,-0.08113717001218092,-0.20669540533653,0.4066210939334015,0.0
-0.39150030337847,0.675823440918557,-1.7680559891920693,-0.08017459454444753,-0.21467046325023154,0.4197494089603415,0.0
-0.3757251524008254,0.7437187341543331,-1.7681757945280692,-0.07970474717708738,-0.22198992509108154,0.4335866066125684,0.0
-0.35963319815122385,0.7989455003004777,-1.7527327079039154,-0.07920562762480562,-0.23014971843132231,0.44697267504838617,0.0
-0.3420696212695161,0.8373907070893462,-1.7191389615719384,-0.07844276038499985,-0.23932205140591079,0.45968212072665926,0.0
-0.3243939876556423,0.8710066263492308,-1.6813184114603155,-0.07721507090788608,-0.2480610058857854,0.47264335934932,0.0
-0.30681161926343153,0.9037720010830808,-1.6435215106377,-0.07546890125824832,-0.2559991914492392,0.48605006703964077,0.0
-0.28869071832069926,0.9292209423505308,-1.5986502537360847,-0.07327699432006285,-0.2639301831905692,0.4994001434399554,0.0
-0.26742319418834076,0.9424212254010731,-1.5426124884531922,-0.07008105344497247,-0.27239014552189617,0.5122030881734955,0.0
-0.24334370631437927,0.9422357861812307,-1.4746368848360232,-0.06587261305405516,-0.28147680713579926,0.5242232313522931,0.0
-0.21273830533028,0.91998797655106,-1.3901040554047,-0.059598572552204,-0.29189914464951,0.53389322757721,0.0
-0.1769840809015154,0.8716442401592553,-1.2881635519174695,-0.051473659964708006,-0.30359449524145843,0.5399981737136877,0.0
-0.13959601521491768,0.7986979851355962,-1.1760764947304614,-0.04211913249813607,-0.3155147387431215,0.5408408550115723,0.0
-0.10712342766615464,0.7163967444346516,-1.0926425823798385,-0.033175714027423545,-0.3239913697426154,0.5328251994573162,0.0
-0.08373239177923922,0.6494766611319315,-1.0570665597915616,-0.026059695877707845,-0.32757350573173,0.5198461184134823,0.0
-0.06195291418295647,0.5935913003407993,-1.0428005915421847,-0.01901656876389793,-0.3287242994858708,0.5060039391884461,0.0
-0.03899669647216826,0.5428650012383093,-1.0360797827060386,-0.011514163934267702,-0.32850976632191464,0.49224290022483463,0.0
-0.015174022087683748,0.49533545512419397,-1.0336654828144616,-0.00374124886897898,-0.3271359617893554,0.478702270067657,0.0
0.011652446710146168,0.4613854197355384,-1.049005187474723,0.004891700003869251,-0.3236372745954092,0.46616607904433843,0.0
0.039851101545186916,0.44384982264958617,-1.0871663460364844,0.013549425567572305,-0.31757955596997384,0.45471630188135076,0.0
0.06419043357555675,0.43756125752742153,-1.1446426648360384,0.020506303470868608,-0.3091454666394477,0.4436065944341546,0.0
0.0835212148152862,0.43402040463227387,-1.209677155201246,0.02553396528729999,-0.2992167518689054,0.43263164162635387,0.0
0.09961806352321957,0.4306457271942731,-1.2769641417723308,0.02923140990046384,-0.2882787952056323,0.42206424703964923,0.0
0.11504912376404,0.42950567603111,-1.3475165367126,0.032325487583876,-0.27631911635399,0.41244626045227,0.0
0.13192992026989228,0.4294407688654392,-1.4190984780971845,0.03534127485293576,-0.2636152643423777,0.4038131764301846,0.0
0.1543100659663838,0.44402658939361456,-1.5030396809945075,0.03909573933252892,-0.24965363167799157,0.39829148925268154,0.0
0.18354645600685993,0.47719330054063297,-1.600100498933038,0.04351824693954907,-0.23486292247589005,0.39617880949607154,0.0
0.19908667069215,0.5139889900500977,-1.7000969189864077,0.04353526521187546,-0.22017981914373538,0.3950883929546054,1.0
0.15383961109014774,0.5397571646250161,-1.7689501689030307,0.03214466729416301,-0.21224455879284845,0.39463073015213307,1.0
0.08156679226801926,0.555871803026937,-1.8096609849196386,0.017286929803398944,-0.20798156238518847,0.3945085199979669,1.0
0.0028489598861108877,0.5679426147387568,-1.839486360549923,0.002066307163869019,-0.20417651992578156,0.3944435738600223,1.0
-0.07927539256902866,0.5767542169644269,-1.8606743445763538,-0.0131796245964677,-0.2004114595743354,0.3943868118983046,1.0
-0.16362811051882198,0.58252611527076,-1.8734077031795846,-0.02842900500847748,-0.19665679564843078,0.39433229657319613,1.0
-0.24906019522593606,0.5853709120016831,-1.8776668860362153,-0.04367026400107598,-0.19290004670620076,0.39427746946994924,1.0
-0.3343315170361447,0.5852886851017292,-1.8734145714686539,-0.0589124078934011,-0.18914965941355308,0.39422569137353,1.0
-0.4182114715759597,0.5822055156414324,-1.8606809194271385,-0.07414716252913796,-0.18539501038881614,0.3941768407821616,1.0
-0.49959373474121,0.57596606016159,-1.8395183086395,-0.089381210505962,-0.18165226280689,0.39412745833397,1.0
