jointHR1,jointHR2,jointHR3,footHRx,footHRy,footHRz,force_sign_HR
-0.67005228996277,0.58235108852386,-1.8527377843857,-0.11442373692989,-0.16247722506523,0.39389273524284,0
-0.67246061563492,0.58193099498749,-1.8514176607132,-0.11491438001394,-0.16235809028149,0.39389371871948,0
-0.67486572265625,0.58151137828827,-1.8500952720642,-0.11539747565985,-0.16223070025444,0.39389815926552,0
-0.67726266384125,0.5810866355896,-1.8487644195557,-0.11587864905596,-0.16211649775505,0.39389690756798,0
-0.67965340614319,0.58065402507782,-1.8474187850952,-0.11636844277382,-0.16200417280197,0.39389491081238,0
-0.68204188346863,0.58021974563599,-1.8460674285889,-0.11685632169247,-0.16187790036201,0.39389887452126,0
-0.68442445993423,0.57978439331055,-1.8447128534317,-0.11733657121658,-0.1617566049099,0.39390060305595,0
-0.68679857254028,0.57934165000916,-1.8433449268341,-0.11782210320234,-0.16164599359035,0.39389786124229,0
-0.68916916847229,0.57889354228973,-1.8419660329819,-0.11831286549568,-0.1615269780159,0.39389863610268,1
-0.69153636693954,0.57844585180283,-1.8405854701996,-0.11879605799913,-0.16139957308769,0.39390301704407,1
-0.69389551877975,0.57799351215363,-1.8391966819763,-0.11927725374699,-0.16128528118134,0.39390182495117,1
-0.69624817371368,0.57753282785416,-1.8377931118011,-0.11976723372936,-0.16117343306541,0.39389950037003,1
-0.69859838485718,0.5770708322525,-1.8363840579987,-0.12025517970324,-0.16104729473591,0.39390331506729,1
-0.70094287395477,0.57660841941833,-1.8349726200104,-0.12073545902967,-0.16092579066753,0.39390513300896,1
-0.70327889919281,0.57613837718964,-1.8335478305817,-0.12122090905905,-0.1608149856329,0.39390245079994,1
-0.70561122894287,0.57566297054291,-1.8321123123169,-0.12171167135239,-0.16069605946541,0.39390313625336,1
-0.70793998241425,0.57518762350082,-1.8306744098663,-0.12219493091106,-0.16056863963604,0.39390754699707,1
-0.71026074886322,0.57470810413361,-1.8292286396027,-0.12267607450485,-0.16045415401459,0.39390647411346,1
-0.71257489919662,0.57422006130219,-1.8277683258057,-0.12316586077213,-0.16034193336964,0.39390432834625,1
