jointMR1,jointMR2,jointMR3,footMRx,footMRy,footMRz,force_sign_MR
-0.66098809242249,0.19745187461376,-1.5838626623154,-0.030756955966353,-0.13833563029766,0.39410877227783,0
-0.66108900308609,0.19742032885551,-1.5839649438858,-0.0307587813586,-0.1382801681757,0.39408850669861,0
-0.66150271892548,0.19729864597321,-1.5844088792801,-0.030759742483497,-0.13812582194805,0.39405229687691,0
-0.66222196817398,0.1971008181572,-1.5852357149124,-0.03074917756021,-0.1379007846117,0.39399272203445,0
-0.66319519281387,0.19683596491814,-1.5863857269287,-0.030739553272724,-0.13762214779854,0.39391535520554,0
-0.66436064243317,0.19648520648479,-1.5877623558044,-0.030728125944734,-0.13728921115398,0.39382144808769,0
-0.66561686992645,0.19593453407288,-1.5891861915588,-0.030696155503392,-0.1369266808033,0.39369305968285,0
-0.66686975955963,0.19507177174091,-1.5904829502106,-0.03064863011241,-0.13656625151634,0.39352241158485,0
-0.66809695959091,0.19390861690044,-1.5916138887405,-0.030597675591707,-0.13619811832905,0.39332246780396,0
-0.66930091381073,0.19249852001667,-1.5926027297974,-0.030535466969013,-0.13581176102161,0.39310184121132,0
-0.67048007249832,0.19088904559612,-1.5934711694717,-0.0304582323879,-0.13543002307415,0.39285707473755,0
-0.6716371178627,0.18911923468113,-1.5942302942276,-0.030380723997951,-0.13505631685257,0.39259523153305,0
-0.67264926433563,0.18727384507656,-1.5947382450104,-0.030312817543745,-0.13476400077343,0.39235240221024,0
-0.67319715023041,0.18549154698849,-1.5946196317673,-0.030247177928686,-0.13460949063301,0.39214062690735,0
-0.67319482564926,0.18381981551647,-1.5937864780426,-0.030189415439963,-0.13461174070835,0.39195507764816,0
-0.67270284891129,0.18226152658463,-1.5923237800598,-0.030148956924677,-0.1347332149744,0.3917997777462,0
-0.67181891202927,0.18080797791481,-1.5903688669205,-0.030113350600004,-0.13493421673775,0.3916722536087,0
-0.67076462507248,0.17948934435844,-1.5882297754288,-0.030080476775765,-0.13513791561127,0.39156284928322,0
-0.6699994802475,0.17842848598957,-1.5865354537964,-0.030068963766098,-0.13525423407555,0.39147433638573,0
-0.66979849338531,0.17769595980644,-1.5856651067734,-0.03007971867919,-0.13523815572262,0.39141169190407,0
-0.67015582323074,0.17726434767246,-1.5856161117554,-0.030095921829343,-0.13510364294052,0.39136689901352,0
-0.67097789049149,0.17707270383835,-1.5862503051758,-0.03011948056519,-0.13489398360252,0.39132899045944,0
-0.67217063903809,0.17706549167633,-1.5874156951904,-0.030160035938025,-0.13461571931839,0.39130249619484,0
-0.67365628480911,0.17720179259777,-1.5889964103699,-0.030206311494112,-0.13426914811134,0.39128866791725,0
-0.67536222934723,0.17744298279285,-1.5908894538879,-0.030248181894422,-0.13388557732105,0.3912770152092,0
-0.67723196744919,0.1777536123991,-1.5929998159409,-0.0302967838943,-0.13348554074764,0.3912653028965,0
-0.67923247814178,0.17811553180218,-1.5952682495117,-0.030355295166373,-0.1330543756485,0.39126136898994,0
-0.68133664131165,0.17851659655571,-1.5976606607437,-0.030409945175052,-0.1325973123312,0.3912613093853,0
-0.68351477384567,0.17893970012665,-1.6001347303391,-0.030460968613625,-0.13213893771172,0.39125767350197,0
-0.68575125932693,0.1793747395277,-1.6026574373245,-0.030521016567945,-0.13167758285999,0.39125475287437,0
-0.68804043531418,0.17982010543346,-1.6052198410034,-0.030584253370762,-0.13119466602802,0.39125829935074,0
-0.69019830226898,0.18031950294971,-1.6076799631119,-0.030631771311164,-0.13079923391342,0.39128252863884,0
-0.69178473949432,0.18098270893097,-1.6096893548965,-0.030668685212731,-0.1305658519268,0.39133939146996,0
-0.69265949726105,0.18185329437256,-1.6111458539963,-0.030701415613294,-0.13047406077385,0.39143833518028,0
-0.69288718700409,0.18291927874088,-1.6121187210083,-0.030717834830284,-0.13049843907356,0.39157167077065,0
-0.69257646799088,0.1841439306736,-1.6126967668533,-0.030719043686986,-0.1306343972683,0.39172556996346,0
-0.69184440374374,0.18549071252346,-1.6129608154297,-0.03072046302259,-0.13085469603539,0.39189890027046,0
-0.69079840183258,0.18693564832211,-1.6129939556122,-0.030718924477696,-0.13111923635006,0.39209318161011,0
