jointHR1,jointHR2,jointHR3,footHRx,footHRy,footHRz,force_sign_HR
-1.1432616710663,0.27777174115181,-1.1545249223709,-0.24945478141308,-0.12944455444813,0.39408886432648,0.0
-1.111707598735118,0.3296628242883892,-1.256901236680841,-0.236243340449459,-0.1329646106713905,0.3942842345971318,0.0
-1.0544551549814052,0.3310855672909636,-1.2408958123280744,-0.2317991703748718,-0.14791250228881384,0.3969439841233741,0.0
-1.0085805196028848,0.36565251533801535,-1.2371332278618385,-0.22964995526350307,-0.16094323419607692,0.40647933116326157,0.0
-0.9780642436100918,0.41874830845074434,-1.2424304424188257,-0.2293925778223877,-0.17054375624045334,0.4197026368899218,0.0
-0.9642621003664423,0.4950435971602397,-1.2728383632806282,-0.22953956173016488,-0.17506953309744258,0.4354906548292218,0.0
-0.9330860972404486,0.501286960565123,-1.2366115771807,-0.22918144212319383,-0.1856033045511977,0.4427411189446054,0.0
-0.9115427365669863,0.5569521097036466,-1.2391232038155435,-0.2285264356014041,-0.1926513837698218,0.45761864689680565,0.0
-0.8880230983098354,0.6091633133399215,-1.2379609804886769,-0.2269007368729628,-0.19989131964170076,0.4723192315835177,0.0
-0.86064679806049,0.6468078906719492,-1.219037496126623,-0.2248674963529323,-0.20849595505457538,0.4862166459743792,0.0
-0.8302130851990169,0.6739658453525645,-1.1891774244797564,-0.22206021768924383,-0.2179393386229518,0.49937825783704715,0.0
-0.798271870001771,0.6984970263945718,-1.1578441094129668,-0.21814838548501259,-0.22732470738582178,0.5123479977632169,0.0
-0.7604291347356916,0.7104880718084446,-1.118010401725754,-0.21259220288350003,-0.23801543277043383,0.5235335322526761,0.0
-0.7131643295288068,0.71154765288035,-1.0850369135539,-0.20361818869908668,-0.24981962641079997,0.5303652683893834,0.0
-0.6628260795886725,0.6847852285091702,-1.0334351521271974,-0.1941325251872749,-0.26305062266496665,0.5326993312591128,0.0
-0.6180569529533401,0.6422736415496239,-0.99804813128251,-0.1844813537139146,-0.27382231904910154,0.5268746752005331,0.0
-0.5939758358857582,0.6076813936233516,-1.018435606589677,-0.17702556000305744,-0.27686168138797207,0.5125667238846836,0.0
-0.5748221904803541,0.5751040073541485,-1.0460386031713256,-0.1700815340647354,-0.2777427603036898,0.4976784281241598,0.0
-0.5532778547360346,0.5501942038536094,-1.0838280274317844,-0.16170161274763464,-0.27753948019101,0.48349839219680313,0.0
-0.5331803682522867,0.5233546892801887,-1.1194740350429793,-0.15343485084863975,-0.27629584991014794,0.46953800626290104,0.0
-0.5119594228573364,0.5240347553522118,-1.1926193909767309,-0.1431980881935508,-0.27169881340784513,0.45749927407656105,0.0
-0.4955102205276508,0.5340770941514199,-1.2779448949373997,-0.1335455993047131,-0.2644361234628216,0.4467871922713031,0.0
-0.4921884139378905,0.5325983181977881,-1.3541571054702768,-0.12714219437196103,-0.25486118900470284,0.4351211954385764,0.0
-0.4992555639682656,0.5370145883315656,-1.436835787235128,-0.12251865691863488,-0.24277149408291337,0.4249714811642949,0.0
-0.5122351829822238,0.527085992006157,-1.502677963330192,-0.11929889768362155,-0.23061409936501773,0.4143974460088324,0.0
-0.5313485280061371,0.5100210874508567,-1.5592293922717664,-0.11709499645691898,-0.21793385881643826,0.40426991918148286,0.0
-0.5506343642870632,0.48745434482892336,-1.6110294659932665,-0.11428848654031666,-0.20509141186873003,0.3943598568439467,0.0
-0.5750343065995446,0.47830836589519315,-1.675304852999177,-0.11133022663684845,-0.19086096034599848,0.3871073883313408,0.0
-0.5811338531665307,0.5048758846062876,-1.7372082380147995,-0.10761141987183284,-0.18299265778981877,0.38796683840262175,0.0
-0.6086808504202404,0.5629265384796361,-1.8491838895357793,-0.10379487486221643,-0.16775590448807465,0.3909572019026851,0.0
-0.6364346834329444,0.5874434296901385,-1.8697821176969232,-0.10775872491873151,-0.16411335307817923,0.3938543590215554,0.0
-0.7153596159739343,0.573629700220548,-1.8260004520416206,-0.12375241193251454,-0.16019092462002105,0.39390846857657463,1.0
-0.7883902803445508,0.5551712757501867,-1.7731078221248027,-0.13975889598712277,-0.15627827132359848,0.39392975507638206,1.0
-0.8553998378606981,0.5320209218905517,-1.7114511819986464,-0.15577708184719144,-0.15236572577403235,0.39395052653093,1.0
-0.9165859451660702,0.503867705663047,-1.6410445769627924,-0.17178611915845304,-0.14844434154339026,0.39397559410486205,1.0
-0.9722679394942019,0.47030210571411324,-1.5616180407695157,-0.18780139585336098,-0.144535050942349,0.39399517499483483,1.0
-1.0228591698866227,0.4308455861531811,-1.4726720864956235,-0.2038178455371122,-0.14061195919146618,0.3940196977211892,1.0
-1.0687845272895793,0.38478854833505394,-1.3732399298594309,-0.21982647746037637,-0.13669428649621437,0.39404397820814746,1.0
-1.1105121526962356,0.3311828329012977,-1.2618504609817338,-0.23584373600972122,-0.13278340987670592,0.39406361335363155,1.0
-1.1431555747986,0.27808555960655,-1.1550312042236,-0.2493312060833,-0.12948979437351,0.39408797025681,1.0
