tr,cr,fr,z
-0.209,0.034,-1.161,0.000
-0.212,0.034,-1.160,0.000
-0.215,0.033,-1.159,0.000
-0.218,0.032,-1.157,0.000
-0.221,0.032,-1.155,0.000
-0.224,0.031,-1.154,0.000
-0.227,0.030,-1.152,0.000
-0.231,0.030,-1.150,0.000
-0.234,0.029,-1.148,0.000
-0.238,0.028,-1.146,0.000
-0.242,0.027,-1.144,0.000
-0.246,0.026,-1.141,0.000
-0.249,0.025,-1.139,0.000
-0.253,0.024,-1.137,0.000
-0.257,0.023,-1.134,0.000
-0.261,0.022,-1.132,0.000
-0.265,0.021,-1.129,0.000
-0.269,0.020,-1.126,0.000
-0.273,0.019,-1.124,0.000
-0.277,0.018,-1.121,0.000
-0.281,0.017,-1.118,0.000
-0.285,0.016,-1.115,0.000
-0.289,0.015,-1.112,0.000
-0.293,0.013,-1.109,0.000
-0.297,0.012,-1.106,0.000
-0.301,0.011,-1.103,0.000
-0.305,0.009,-1.100,0.000
-0.310,0.008,-1.096,0.000
-0.314,0.007,-1.093,0.000
-0.318,0.005,-1.089,0.000
-0.322,0.004,-1.086,0.000
-0.326,0.002,-1.082,0.000
-0.330,0.001,-1.079,0.000
-0.334,-0.001,-1.075,0.000
-0.338,-0.002,-1.071,0.000
-0.342,-0.004,-1.068,0.000
-0.346,-0.005,-1.064,0.000
-0.350,-0.007,-1.060,0.000
-0.354,-0.009,-1.056,0.000
-0.358,-0.010,-1.052,0.000
-0.362,-0.012,-1.048,0.000
-0.366,-0.014,-1.043,0.000
-0.370,-0.016,-1.039,0.000
-0.374,-0.018,-1.035,0.000
-0.378,-0.019,-1.030,0.000
-0.382,-0.021,-1.026,0.000
-0.386,-0.023,-1.021,0.000
-0.390,-0.025,-1.017,0.000
-0.394,-0.027,-1.012,0.000
-0.398,-0.029,-1.008,0.000
-0.402,-0.031,-1.003,0.000
-0.406,-0.033,-0.998,0.000
-0.410,-0.036,-0.993,0.000
-0.414,-0.038,-0.988,0.000
-0.417,-0.040,-0.983,0.000
-0.421,-0.042,-0.978,0.000
-0.425,-0.044,-0.973,0.000
-0.429,-0.047,-0.967,0.000
-0.433,-0.049,-0.962,0.000
-0.437,-0.052,-0.957,0.000
-0.440,-0.054,-0.951,0.000
-0.444,-0.057,-0.945,0.000
-0.448,-0.059,-0.940,0.000
-0.452,-0.062,-0.934,0.000
-0.455,-0.064,-0.928,0.000
-0.459,-0.067,-0.922,0.000
-0.463,-0.070,-0.916,0.000
-0.466,-0.072,-0.910,0.000
-0.470,-0.075,-0.904,0.000
-0.474,-0.078,-0.898,0.000
-0.477,-0.081,-0.891,0.000
-0.481,-0.084,-0.885,0.000
-0.485,-0.087,-0.878,0.000
-0.488,-0.090,-0.872,0.000
-0.492,-0.093,-0.865,0.000
-0.495,-0.096,-0.858,0.000
-0.499,-0.099,-0.851,0.000
-0.503,-0.103,-0.844,0.000
-0.506,-0.106,-0.837,0.000
-0.510,-0.109,-0.830,0.000
-0.513,-0.113,-0.822,0.000
-0.517,-0.116,-0.815,0.000
-0.520,-0.120,-0.807,0.000
-0.524,-0.124,-0.800,0.000
-0.527,-0.127,-0.792,0.000
-0.531,-0.131,-0.784,0.000
-0.534,-0.135,-0.776,0.000
-0.537,-0.139,-0.768,0.000
-0.541,-0.143,-0.759,0.000
-0.544,-0.147,-0.751,0.000
-0.548,-0.151,-0.742,0.000
-0.551,-0.156,-0.733,0.000
