tr2,cr2,fr2
-0.7929,0.5938,-1.3874
-0.7911,0.5948,-1.3912
-0.7893,0.5957,-1.3950
-0.7875,0.5967,-1.3987
-0.7857,0.5976,-1.4025
-0.7839,0.5985,-1.4062
-0.7821,0.5994,-1.4100
-0.7802,0.6003,-1.4137
-0.7784,0.6012,-1.4174
-0.7765,0.6021,-1.4211
-0.7747,0.6030,-1.4247
-0.7728,0.6039,-1.4284
-0.7709,0.6047,-1.4320
-0.7690,0.6055,-1.4356
-0.7671,0.6064,-1.4392
-0.7652,0.6072,-1.4427
-0.7633,0.6080,-1.4463
-0.7614,0.6087,-1.4498
-0.7595,0.6095,-1.4533
-0.7576,0.6103,-1.4568
-0.7556,0.6110,-1.4603
-0.7537,0.6118,-1.4638
-0.7517,0.6126,-1.4673
-0.7497,0.6134,-1.4707
-0.7477,0.6142,-1.4742
-0.7457,0.6150,-1.4777
-0.7437,0.6159,-1.4812
-0.7417,0.6167,-1.4847
-0.7397,0.6175,-1.4881
-0.7376,0.6184,-1.4916
-0.7356,0.6192,-1.4950
-0.7335,0.6200,-1.4985
-0.7314,0.6209,-1.5019
-0.7293,0.6217,-1.5053
-0.7273,0.6225,-1.5087
-0.7252,0.6233,-1.5121
-0.7230,0.6241,-1.5155
-0.7209,0.6249,-1.5188
-0.7188,0.6257,-1.5221
-0.7167,0.6265,-1.5255
-0.7145,0.6273,-1.5288
-0.7124,0.6280,-1.5320
-0.7102,0.6288,-1.5353
-0.7080,0.6295,-1.5386
-0.7058,0.6302,-1.5418
-0.7036,0.6309,-1.5450
-0.7015,0.6316,-1.5482
-0.6992,0.6323,-1.5514
-0.6970,0.6329,-1.5545
-0.6948,0.6336,-1.5577
-0.6926,0.6342,-1.5608
-0.6903,0.6349,-1.5639
-0.6881,0.6355,-1.5669
-0.6858,0.6360,-1.5700
-0.6836,0.6366,-1.5730
-0.6813,0.6370,-1.5759
-0.6790,0.6375,-1.5788
-0.6768,0.6379,-1.5817
-0.6745,0.6382,-1.5846
-0.6722,0.6385,-1.5874
-0.6699,0.6388,-1.5901
-0.6676,0.6391,-1.5929
-0.6653,0.6393,-1.5956
-0.6630,0.6395,-1.5983
-0.6607,0.6397,-1.6009
-0.6584,0.6399,-1.6036
-0.6561,0.6400,-1.6062
-0.6538,0.6402,-1.6088
-0.6515,0.6404,-1.6115
-0.6492,0.6405,-1.6141
-0.6469,0.6406,-1.6167
-0.6446,0.6407,-1.6192
-0.6422,0.6407,-1.6217
