tr2,cr2,fr2
-0.726,0.708,-1.600
-0.724,0.708,-1.603
-0.722,0.708,-1.605
-0.720,0.708,-1.607
-0.719,0.708,-1.610
-0.717,0.708,-1.612
-0.715,0.707,-1.614
-0.713,0.707,-1.617
-0.711,0.707,-1.619
-0.709,0.707,-1.621
-0.707,0.707,-1.623
-0.706,0.707,-1.626
-0.704,0.706,-1.628
-0.702,0.706,-1.630
-0.700,0.706,-1.632
-0.698,0.706,-1.634
-0.696,0.705,-1.637
-0.694,0.705,-1.639
-0.692,0.705,-1.641
-0.690,0.705,-1.643
-0.688,0.704,-1.645
-0.686,0.704,-1.647
-0.684,0.704,-1.649
-0.683,0.703,-1.651
-0.681,0.703,-1.654
-0.679,0.703,-1.656
-0.677,0.702,-1.658
-0.675,0.702,-1.660
-0.673,0.701,-1.662
-0.671,0.701,-1.664
-0.669,0.701,-1.666
-0.667,0.700,-1.667
-0.665,0.700,-1.669
-0.663,0.699,-1.671
-0.661,0.699,-1.673
-0.659,0.698,-1.675
-0.657,0.698,-1.677
-0.655,0.697,-1.679
-0.653,0.697,-1.681
-0.651,0.696,-1.683
-0.648,0.696,-1.684
-0.646,0.695,-1.686
-0.644,0.695,-1.688
-0.642,0.694,-1.690
-0.640,0.694,-1.692
-0.638,0.693,-1.694
-0.636,0.693,-1.696
-0.634,0.692,-1.697
-0.632,0.692,-1.699
-0.629,0.691,-1.701
-0.627,0.691,-1.703
-0.625,0.690,-1.704
-0.623,0.690,-1.706
-0.621,0.689,-1.708
-0.619,0.689,-1.710
-0.616,0.688,-1.711
-0.614,0.688,-1.713
-0.612,0.687,-1.715
-0.610,0.686,-1.716
-0.608,0.686,-1.718
-0.605,0.685,-1.720
-0.603,0.685,-1.721
-0.601,0.684,-1.723
-0.599,0.683,-1.724
-0.596,0.683,-1.726
-0.594,0.682,-1.727
-0.592,0.681,-1.729
-0.589,0.681,-1.730
-0.587,0.680,-1.732
-0.585,0.679,-1.733
-0.583,0.678,-1.735
-0.580,0.678,-1.736
-0.578,0.677,-1.738
-0.576,0.676,-1.739
-0.573,0.675,-1.741
-0.571,0.675,-1.742
-0.569,0.674,-1.743
-0.566,0.673,-1.745
-0.564,0.672,-1.746
-0.562,0.671,-1.747
-0.559,0.670,-1.749
-0.557,0.669,-1.750
-0.554,0.669,-1.751
-0.552,0.668,-1.752
-0.550,0.667,-1.754
-0.547,0.666,-1.755
-0.545,0.665,-1.756
-0.542,0.664,-1.757
-0.540,0.662,-1.758
-0.538,0.661,-1.759
-0.535,0.660,-1.760
-0.533,0.659,-1.761
-0.530,0.658,-1.762
-0.528,0.657,-1.763
-0.526,0.656,-1.764
-0.523,0.655,-1.765
-0.521,0.653,-1.766
-0.518,0.652,-1.767
-0.516,0.651,-1.768
-0.513,0.650,-1.769
-0.511,0.649,-1.770
-0.509,0.647,-1.771
-0.506,0.646,-1.772
-0.504,0.645,-1.773
-0.501,0.644,-1.773
-0.499,0.642,-1.774
-0.496,0.641,-1.775
-0.494,0.640,-1.776
-0.491,0.638,-1.776
-0.489,0.637,-1.777
-0.486,0.635,-1.778
-0.483,0.634,-1.778
-0.481,0.633,-1.779
-0.478,0.631,-1.779
-0.476,0.630,-1.780
-0.473,0.628,-1.781
-0.471,0.627,-1.781
-0.468,0.625,-1.782
-0.465,0.624,-1.782
-0.463,0.622,-1.783
-0.460,0.621,-1.783
-0.458,0.619,-1.784
-0.455,0.618,-1.784
-0.452,0.617,-1.785
-0.449,0.616,-1.786
-0.447,0.615,-1.787
-0.444,0.615,-1.788
-0.441,0.614,-1.789
-0.438,0.614,-1.790
-0.435,0.613,-1.791
-0.432,0.613,-1.793
-0.429,0.613,-1.794
-0.426,0.613,-1.795
-0.423,0.612,-1.797
-0.421,0.612,-1.798
-0.418,0.612,-1.799
-0.414,0.612,-1.801
-0.411,0.612,-1.802
-0.408,0.612,-1.804
-0.405,0.613,-1.805
-0.402,0.613,-1.807
-0.399,0.613,-1.808
-0.396,0.613,-1.809
-0.393,0.613,-1.811
-0.390,0.613,-1.812
-0.387,0.614,-1.814
-0.384,0.614,-1.815
-0.380,0.614,-1.817
-0.377,0.614,-1.818
-0.374,0.614,-1.819
-0.371,0.615,-1.821
-0.368,0.615,-1.822
