tr,cr,fr,z
-0.432,-0.037,-0.923,0.000
-0.434,-0.038,-0.919,0.000
-0.437,-0.040,-0.915,0.000
-0.438,-0.041,-0.912,0.000
-0.440,-0.042,-0.910,0.000
-0.441,-0.043,-0.909,0.000
-0.442,-0.044,-0.907,0.000
-0.444,-0.045,-0.904,0.000
-0.445,-0.046,-0.902,0.000
-0.447,-0.047,-0.899,0.000
-0.449,-0.049,-0.896,0.000
-0.450,-0.050,-0.893,0.000
-0.452,-0.051,-0.890,0.000
-0.454,-0.053,-0.887,0.000
-0.457,-0.055,-0.883,0.000
-0.459,-0.056,-0.879,0.000
-0.461,-0.058,-0.875,0.000
-0.463,-0.060,-0.871,0.000
-0.466,-0.062,-0.867,0.000
-0.468,-0.064,-0.863,0.000
-0.470,-0.066,-0.859,0.000
-0.473,-0.068,-0.854,0.000
-0.475,-0.070,-0.850,0.000
-0.478,-0.072,-0.845,0.000
-0.480,-0.074,-0.840,0.000
-0.483,-0.077,-0.836,0.000
-0.485,-0.079,-0.831,0.000
-0.488,-0.081,-0.826,0.000
-0.491,-0.084,-0.821,0.000
-0.493,-0.086,-0.815,0.000
-0.496,-0.088,-0.810,0.000
-0.498,-0.091,-0.805,0.000
-0.501,-0.093,-0.800,0.000
-0.503,-0.096,-0.795,0.000
-0.505,-0.098,-0.791,0.000
-0.507,-0.099,-0.787,0.000
-0.508,-0.101,-0.783,0.000
-0.509,-0.102,-0.781,0.000
-0.510,-0.103,-0.778,0.000
-0.512,-0.105,-0.776,0.000
-0.513,-0.106,-0.773,0.000
-0.514,-0.107,-0.771,0.000
-0.514,-0.108,-0.769,0.000
-0.515,-0.108,-0.769,0.000
-0.515,-0.108,-0.769,0.000
-0.515,-0.107,-0.770,0.000
-0.515,-0.105,-0.772,0.000
-0.514,-0.103,-0.775,0.000
-0.513,-0.101,-0.778,0.001
-0.513,-0.098,-0.782,0.001
-0.512,-0.095,-0.786,0.001
-0.510,-0.092,-0.791,0.001
-0.509,-0.089,-0.796,0.001
-0.508,-0.085,-0.801,0.002
-0.506,-0.081,-0.807,0.002
-0.505,-0.077,-0.812,0.002
-0.503,-0.073,-0.819,0.002
-0.501,-0.069,-0.825,0.003
-0.500,-0.065,-0.831,0.003
-0.498,-0.061,-0.838,0.003
-0.496,-0.056,-0.844,0.003
-0.494,-0.052,-0.851,0.004
-0.492,-0.047,-0.858,0.004
-0.490,-0.042,-0.865,0.004
-0.488,-0.037,-0.872,0.005
-0.486,-0.032,-0.879,0.005
-0.484,-0.027,-0.886,0.005
-0.482,-0.022,-0.893,0.006
-0.480,-0.016,-0.901,0.006
-0.479,-0.011,-0.908,0.006
-0.477,-0.005,-0.915,0.007
-0.475,0.000,-0.922,0.007
-0.473,0.006,-0.930,0.008
-0.471,0.011,-0.937,0.008
-0.469,0.017,-0.944,0.009
-0.468,0.023,-0.952,0.009
-0.466,0.028,-0.959,0.010
-0.464,0.034,-0.966,0.010
-0.462,0.040,-0.973,0.011
-0.460,0.046,-0.980,0.011
-0.459,0.051,-0.988,0.012
-0.457,0.057,-0.995,0.012
