tr2,cr2,fr2
-0.930,0.007,-0.619
-0.930,0.008,-0.620
-0.930,0.010,-0.622
-0.930,0.013,-0.624
-0.930,0.016,-0.627
-0.930,0.019,-0.631
-0.930,0.023,-0.635
-0.929,0.027,-0.639
-0.929,0.031,-0.644
-0.929,0.036,-0.649
-0.929,0.040,-0.655
-0.928,0.045,-0.661
-0.928,0.050,-0.667
-0.927,0.056,-0.673
-0.927,0.061,-0.679
-0.927,0.066,-0.686
-0.926,0.072,-0.692
-0.926,0.077,-0.699
-0.925,0.083,-0.706
-0.925,0.089,-0.713
-0.924,0.094,-0.719
-0.924,0.099,-0.725
-0.924,0.104,-0.730
-0.923,0.109,-0.736
-0.923,0.114,-0.741
-0.923,0.119,-0.746
-0.923,0.124,-0.750
-0.923,0.128,-0.755
-0.923,0.133,-0.759
-0.922,0.137,-0.763
-0.922,0.142,-0.767
-0.922,0.146,-0.771
-0.922,0.150,-0.775
-0.922,0.155,-0.778
-0.922,0.159,-0.782
-0.922,0.163,-0.785
-0.922,0.167,-0.788
-0.922,0.171,-0.792
-0.922,0.175,-0.795
-0.922,0.179,-0.798
-0.923,0.183,-0.801
-0.923,0.186,-0.803
-0.923,0.190,-0.806
-0.923,0.194,-0.809
-0.923,0.198,-0.812
-0.923,0.201,-0.814
-0.923,0.205,-0.816
-0.923,0.209,-0.819
-0.923,0.212,-0.821
-0.923,0.216,-0.823
-0.923,0.219,-0.826
-0.923,0.223,-0.828
-0.924,0.226,-0.830
-0.924,0.230,-0.833
-0.924,0.234,-0.835
-0.924,0.238,-0.838
-0.924,0.242,-0.841
-0.923,0.246,-0.845
-0.923,0.250,-0.848
-0.923,0.254,-0.851
-0.923,0.258,-0.855
-0.923,0.263,-0.858
-0.923,0.267,-0.862
-0.923,0.271,-0.866
-0.922,0.276,-0.869
-0.922,0.280,-0.873
-0.922,0.285,-0.877
-0.922,0.289,-0.881
-0.921,0.293,-0.885
-0.921,0.298,-0.889
-0.921,0.302,-0.893
-0.921,0.307,-0.896
-0.920,0.311,-0.900
-0.920,0.316,-0.904
-0.920,0.320,-0.908
-0.919,0.325,-0.912
-0.919,0.329,-0.916
-0.919,0.334,-0.920
-0.918,0.338,-0.924
-0.918,0.343,-0.927
-0.918,0.347,-0.931
-0.918,0.352,-0.935
-0.917,0.356,-0.939
-0.917,0.361,-0.944
-0.916,0.365,-0.948
-0.916,0.370,-0.952
-0.915,0.375,-0.957
-0.915,0.380,-0.962
-0.914,0.385,-0.966
-0.914,0.389,-0.971
-0.913,0.394,-0.976
-0.912,0.399,-0.981
-0.912,0.404,-0.986
-0.911,0.409,-0.991
-0.910,0.414,-0.996
-0.910,0.419,-1.001
-0.909,0.424,-1.006
-0.908,0.428,-1.011
-0.907,0.433,-1.016
-0.906,0.438,-1.022
-0.905,0.442,-1.027
-0.904,0.447,-1.033
-0.903,0.451,-1.039
-0.902,0.456,-1.044
-0.901,0.460,-1.050
-0.900,0.464,-1.056
-0.899,0.469,-1.062
-0.898,0.473,-1.068
-0.897,0.477,-1.074
-0.895,0.481,-1.080
-0.894,0.485,-1.086
-0.893,0.490,-1.092
-0.892,0.494,-1.098
-0.890,0.498,-1.104
-0.889,0.502,-1.110
-0.888,0.506,-1.116
-0.886,0.510,-1.122
-0.885,0.513,-1.128
-0.884,0.517,-1.134
-0.882,0.521,-1.140
-0.881,0.525,-1.146
-0.879,0.529,-1.152
-0.878,0.532,-1.158
-0.877,0.536,-1.163
-0.875,0.540,-1.169
-0.874,0.543,-1.175
-0.872,0.546,-1.181
-0.871,0.550,-1.186
-0.869,0.553,-1.192
-0.868,0.556,-1.197
-0.866,0.560,-1.203
-0.865,0.563,-1.209
-0.863,0.566,-1.214
-0.862,0.569,-1.219
-0.860,0.573,-1.225
-0.859,0.576,-1.230
-0.857,0.579,-1.236
-0.856,0.582,-1.241
-0.854,0.585,-1.246
-0.853,0.588,-1.252
-0.851,0.591,-1.257
-0.850,0.594,-1.262
-0.848,0.597,-1.267
-0.847,0.600,-1.272
-0.845,0.602,-1.277
-0.844,0.605,-1.282
-0.842,0.607,-1.287
-0.841,0.610,-1.292
-0.839,0.612,-1.297
-0.838,0.614,-1.301
-0.836,0.616,-1.306
-0.835,0.618,-1.310
-0.833,0.620,-1.314
-0.832,0.621,-1.319
-0.830,0.623,-1.323
-0.829,0.625,-1.327
-0.827,0.626,-1.331
-0.826,0.628,-1.335
-0.824,0.629,-1.339
-0.823,0.630,-1.343
-0.821,0.632,-1.347
-0.820,0.633,-1.351
-0.818,0.634,-1.355
-0.817,0.636,-1.359
-0.815,0.637,-1.362
-0.814,0.638,-1.366
-0.812,0.639,-1.370
-0.810,0.640,-1.374
-0.809,0.641,-1.377
-0.807,0.642,-1.381
-0.806,0.643,-1.385
-0.804,0.644,-1.388
-0.803,0.645,-1.392
-0.801,0.646,-1.395
-0.800,0.647,-1.399
-0.798,0.648,-1.402
-0.797,0.649,-1.406
-0.795,0.650,-1.409
-0.794,0.651,-1.413
-0.792,0.652,-1.416
-0.791,0.652,-1.419
-0.789,0.653,-1.423
-0.787,0.654,-1.426
-0.786,0.654,-1.429
-0.784,0.655,-1.433
-0.783,0.656,-1.436
-0.781,0.656,-1.439
-0.780,0.657,-1.442
-0.778,0.657,-1.445
-0.776,0.658,-1.448
-0.775,0.658,-1.451
-0.773,0.659,-1.454
-0.771,0.659,-1.457
-0.770,0.660,-1.460
-0.768,0.660,-1.463
-0.767,0.660,-1.466
-0.765,0.661,-1.469
-0.763,0.661,-1.472
-0.762,0.662,-1.475
-0.760,0.662,-1.478
-0.758,0.662,-1.481
-0.757,0.663,-1.483
-0.755,0.663,-1.486
-0.753,0.663,-1.489
-0.752,0.663,-1.492
-0.750,0.664,-1.495
-0.748,0.664,-1.497
-0.747,0.664,-1.500
-0.745,0.664,-1.503
-0.743,0.665,-1.506
-0.742,0.665,-1.508
-0.740,0.665,-1.511
-0.738,0.665,-1.514
-0.736,0.665,-1.516
-0.735,0.666,-1.519
-0.733,0.666,-1.522
-0.731,0.666,-1.524
-0.730,0.666,-1.527
-0.728,0.666,-1.529
-0.726,0.666,-1.532
-0.724,0.666,-1.534
-0.723,0.666,-1.537
-0.721,0.666,-1.539
-0.719,0.666,-1.542
-0.717,0.666,-1.544
-0.715,0.666,-1.547
-0.714,0.666,-1.549
-0.712,0.666,-1.552
-0.710,0.666,-1.554
-0.708,0.666,-1.556
-0.706,0.666,-1.559
-0.705,0.666,-1.561
-0.703,0.666,-1.564
-0.701,0.666,-1.566
-0.699,0.666,-1.568
-0.697,0.665,-1.570
-0.695,0.665,-1.573
-0.694,0.665,-1.575
-0.692,0.665,-1.577
-0.690,0.665,-1.579
-0.688,0.665,-1.582
-0.686,0.664,-1.584
-0.684,0.664,-1.586
-0.682,0.664,-1.588
-0.680,0.664,-1.590
-0.679,0.663,-1.592
-0.677,0.663,-1.595
-0.675,0.663,-1.597
-0.673,0.662,-1.599
-0.671,0.662,-1.601
-0.669,0.662,-1.603
-0.667,0.661,-1.605
-0.665,0.661,-1.607
-0.663,0.661,-1.609
-0.661,0.660,-1.611
-0.659,0.660,-1.613
-0.657,0.660,-1.615
-0.655,0.659,-1.617
-0.653,0.659,-1.619
-0.651,0.658,-1.620
-0.649,0.658,-1.622
-0.647,0.657,-1.624
-0.645,0.657,-1.626
-0.643,0.656,-1.628
-0.641,0.656,-1.630
-0.639,0.656,-1.632
-0.637,0.655,-1.634
-0.635,0.655,-1.635
-0.633,0.654,-1.637
-0.631,0.654,-1.639
-0.629,0.653,-1.641
-0.627,0.653,-1.643
-0.625,0.652,-1.645
-0.623,0.652,-1.646
-0.621,0.651,-1.648
-0.619,0.651,-1.650
-0.616,0.650,-1.652
-0.614,0.650,-1.653
-0.612,0.649,-1.655
-0.610,0.649,-1.657
-0.608,0.649,-1.659
-0.606,0.648,-1.660
-0.604,0.647,-1.662
-0.601,0.647,-1.664
-0.599,0.646,-1.665
-0.597,0.646,-1.667
-0.595,0.645,-1.669
-0.593,0.645,-1.670
-0.591,0.644,-1.672
-0.588,0.643,-1.674
-0.586,0.643,-1.675
-0.584,0.642,-1.677
-0.582,0.642,-1.678
-0.579,0.641,-1.680
-0.577,0.640,-1.681
-0.575,0.639,-1.683
-0.573,0.639,-1.684
-0.570,0.638,-1.685
-0.568,0.637,-1.687
-0.566,0.636,-1.688
-0.563,0.636,-1.689
-0.561,0.635,-1.691
-0.559,0.634,-1.692
-0.556,0.633,-1.693
-0.554,0.632,-1.695
-0.552,0.631,-1.696
-0.549,0.631,-1.697
-0.547,0.630,-1.698
-0.545,0.629,-1.700
-0.542,0.628,-1.701
-0.540,0.627,-1.702
-0.538,0.626,-1.703
-0.535,0.625,-1.704
-0.533,0.624,-1.705
-0.531,0.623,-1.706
-0.528,0.622,-1.707
-0.526,0.621,-1.708
-0.524,0.620,-1.709
-0.521,0.618,-1.710
-0.519,0.617,-1.711
-0.516,0.616,-1.712
-0.514,0.615,-1.713
-0.512,0.614,-1.714
-0.509,0.613,-1.715
-0.507,0.611,-1.716
-0.504,0.610,-1.717
-0.502,0.609,-1.718
-0.500,0.608,-1.718
-0.497,0.606,-1.719
-0.495,0.605,-1.720
-0.492,0.604,-1.721
-0.490,0.603,-1.721
-0.487,0.601,-1.722
-0.485,0.600,-1.723
-0.482,0.599,-1.724
-0.480,0.597,-1.724
-0.478,0.596,-1.725
-0.475,0.595,-1.725
-0.473,0.593,-1.726
-0.470,0.592,-1.727
-0.468,0.591,-1.727
-0.465,0.589,-1.728
-0.463,0.588,-1.728
-0.460,0.586,-1.729
-0.457,0.585,-1.730
-0.455,0.583,-1.730
-0.452,0.582,-1.731
-0.450,0.581,-1.731
-0.447,0.580,-1.732
-0.444,0.579,-1.733
-0.442,0.578,-1.734
-0.439,0.578,-1.735
-0.436,0.577,-1.736
-0.434,0.577,-1.737
-0.431,0.576,-1.738
-0.428,0.576,-1.740
-0.425,0.576,-1.741
-0.422,0.576,-1.742
-0.419,0.576,-1.744
-0.416,0.576,-1.745
-0.413,0.576,-1.746
-0.411,0.576,-1.748
-0.408,0.576,-1.749
-0.405,0.576,-1.751
-0.402,0.576,-1.752
-0.399,0.576,-1.754
-0.396,0.576,-1.755
-0.393,0.576,-1.756
-0.390,0.576,-1.758
-0.387,0.577,-1.759
-0.384,0.577,-1.761
-0.380,0.577,-1.762
-0.377,0.577,-1.764
-0.374,0.578,-1.765
-0.371,0.578,-1.767
-0.368,0.578,-1.768
-0.365,0.578,-1.769
-0.362,0.578,-1.771
-0.359,0.578,-1.772
-0.356,0.578,-1.773
-0.353,0.578,-1.774
-0.350,0.578,-1.775
-0.347,0.577,-1.776
-0.344,0.577,-1.777
-0.340,0.576,-1.777
-0.337,0.575,-1.778
-0.334,0.574,-1.779
-0.331,0.574,-1.779
-0.328,0.573,-1.780
-0.325,0.572,-1.780
-0.322,0.571,-1.781
-0.319,0.570,-1.781
-0.316,0.569,-1.781
-0.313,0.567,-1.782
-0.310,0.566,-1.782
-0.307,0.565,-1.782
-0.304,0.564,-1.782
-0.307,0.563,-1.783
-0.310,0.561,-1.783
-0.313,0.560,-1.783
-0.316,0.559,-1.783
-0.318,0.557,-1.782
-0.320,0.556,-1.782
-0.321,0.555,-1.781
-0.322,0.554,-1.781
-0.321,0.553,-1.781
-0.318,0.552,-1.780
-0.315,0.552,-1.780
-0.313,0.551,-1.777
-0.311,0.550,-1.776
-0.310,0.549,-1.776
-0.309,0.549,-1.775
-0.288,0.548,-1.767
-0.284,0.547,-1.767
-0.286,0.547,-1.767
-0.289,0.546,-1.767
-0.292,0.545,-1.766
-0.295,0.545,-1.766
-0.298,0.544,-1.765
-0.301,0.544,-1.765
-0.304,0.543,-1.764
-0.307,0.543,-1.763
-0.310,0.542,-1.762
-0.313,0.542,-1.762
-0.316,0.541,-1.761
-0.319,0.540,-1.760
-0.322,0.540,-1.759
-0.325,0.539,-1.757
-0.328,0.539,-1.756
-0.331,0.538,-1.755
-0.334,0.538,-1.754
-0.338,0.537,-1.753
-0.341,0.537,-1.751
-0.344,0.536,-1.750
-0.347,0.536,-1.748
-0.350,0.535,-1.747
-0.353,0.534,-1.746
-0.356,0.534,-1.744
-0.359,0.533,-1.743
-0.362,0.533,-1.741
-0.366,0.532,-1.739
-0.369,0.531,-1.738
-0.372,0.531,-1.736
-0.375,0.530,-1.734
-0.378,0.530,-1.733
-0.381,0.529,-1.731
-0.384,0.528,-1.729
-0.387,0.528,-1.728
-0.390,0.527,-1.726
-0.393,0.526,-1.724
-0.396,0.526,-1.722
-0.399,0.525,-1.720
-0.402,0.524,-1.719
-0.405,0.524,-1.717
-0.408,0.523,-1.715
-0.411,0.522,-1.713
-0.414,0.521,-1.711
-0.417,0.521,-1.709
-0.420,0.520,-1.707
-0.423,0.519,-1.705
-0.426,0.519,-1.704
-0.429,0.518,-1.702
-0.432,0.517,-1.700
-0.435,0.516,-1.698
-0.438,0.516,-1.696
-0.441,0.515,-1.694
-0.444,0.514,-1.692
-0.447,0.513,-1.689
-0.450,0.512,-1.687
-0.453,0.512,-1.685
-0.456,0.511,-1.683
-0.459,0.510,-1.681
-0.461,0.509,-1.679
-0.464,0.508,-1.677
-0.467,0.508,-1.675
-0.470,0.507,-1.672
-0.473,0.506,-1.670
-0.476,0.505,-1.668
-0.479,0.504,-1.666
-0.481,0.503,-1.664
-0.484,0.502,-1.661
-0.487,0.501,-1.659
-0.490,0.501,-1.657
-0.493,0.500,-1.654
-0.495,0.499,-1.652
-0.498,0.498,-1.650
-0.501,0.497,-1.647
-0.504,0.496,-1.645
-0.506,0.495,-1.643
-0.509,0.494,-1.640
-0.512,0.493,-1.638
-0.515,0.492,-1.635
-0.517,0.491,-1.633
-0.520,0.490,-1.631
-0.523,0.489,-1.628
-0.525,0.488,-1.626
-0.528,0.487,-1.623
-0.531,0.486,-1.621
-0.533,0.485,-1.618
-0.536,0.484,-1.615
-0.539,0.483,-1.613
-0.541,0.482,-1.610
-0.544,0.481,-1.608
-0.547,0.480,-1.605
-0.549,0.479,-1.602
-0.552,0.477,-1.600
-0.554,0.476,-1.597
-0.557,0.475,-1.594
-0.560,0.474,-1.592
-0.562,0.473,-1.589
-0.565,0.472,-1.586
-0.567,0.471,-1.584
-0.570,0.469,-1.581
-0.572,0.468,-1.578
-0.575,0.467,-1.575
-0.577,0.466,-1.572
-0.580,0.465,-1.570
-0.582,0.464,-1.567
-0.585,0.462,-1.564
-0.587,0.461,-1.561
-0.590,0.460,-1.558
-0.592,0.459,-1.555
-0.595,0.457,-1.552
-0.597,0.456,-1.549
-0.600,0.455,-1.546
-0.602,0.454,-1.543
-0.605,0.452,-1.540
-0.607,0.451,-1.538
-0.610,0.450,-1.535
-0.612,0.449,-1.532
-0.614,0.447,-1.529
-0.617,0.446,-1.526
-0.619,0.445,-1.522
-0.622,0.443,-1.519
-0.624,0.442,-1.516
-0.626,0.441,-1.513
-0.629,0.439,-1.510
-0.631,0.438,-1.507
-0.633,0.436,-1.504
-0.636,0.435,-1.501
-0.638,0.434,-1.497
-0.640,0.432,-1.494
-0.643,0.431,-1.491
-0.645,0.429,-1.488
-0.647,0.428,-1.484
-0.650,0.426,-1.481
-0.652,0.425,-1.478
-0.654,0.423,-1.474
-0.656,0.422,-1.471
-0.659,0.420,-1.467
-0.661,0.419,-1.464
-0.663,0.417,-1.460
-0.665,0.415,-1.457
-0.667,0.414,-1.453
-0.670,0.412,-1.450
-0.672,0.411,-1.446
-0.674,0.409,-1.443
-0.676,0.407,-1.439
-0.678,0.406,-1.436
-0.680,0.404,-1.432
-0.683,0.403,-1.429
-0.685,0.401,-1.425
-0.687,0.399,-1.421
-0.689,0.398,-1.418
-0.691,0.396,-1.414
-0.693,0.394,-1.411
-0.695,0.393,-1.407
-0.698,0.391,-1.403
-0.700,0.389,-1.399
-0.702,0.387,-1.396
-0.704,0.386,-1.392
-0.706,0.384,-1.388
-0.708,0.382,-1.384
-0.710,0.380,-1.380
-0.712,0.379,-1.377
-0.714,0.377,-1.373
-0.716,0.375,-1.369
-0.718,0.373,-1.365
-0.720,0.371,-1.361
-0.722,0.369,-1.357
-0.724,0.367,-1.353
-0.726,0.366,-1.349
-0.728,0.364,-1.345
-0.730,0.362,-1.341
-0.732,0.360,-1.337
-0.734,0.358,-1.333
-0.736,0.356,-1.329
-0.738,0.354,-1.325
-0.740,0.352,-1.321
-0.742,0.350,-1.317
-0.744,0.348,-1.312
-0.746,0.346,-1.308
-0.748,0.344,-1.304
-0.750,0.342,-1.300
-0.752,0.340,-1.295
-0.754,0.338,-1.291
-0.755,0.336,-1.287
-0.757,0.334,-1.283
-0.759,0.332,-1.278
-0.761,0.330,-1.274
-0.763,0.327,-1.269
-0.765,0.325,-1.265
