cpg0,cpg1
0.7584,-0.7043
0.7563,-0.7139
0.7545,-0.7225
0.7486,-0.7359
0.7433,-0.7479
0.7386,-0.7587
0.7343,-0.7685
0.7304,-0.7773
0.7270,-0.7852
0.7238,-0.7923
0.7210,-0.7987
0.7185,-0.8044
0.7162,-0.8096
0.7103,-0.8160
0.7049,-0.8218
0.7001,-0.8270
0.6958,-0.8317
0.6919,-0.8359
0.6884,-0.8397
0.6852,-0.8431
0.6824,-0.8462
0.6798,-0.8489
0.6775,-0.8514
0.6754,-0.8536
0.6701,-0.8560
0.6653,-0.8582
0.6610,-0.8601
0.6571,-0.8618
0.6536,-0.8634
0.6505,-0.8648
0.6476,-0.8660
0.6451,-0.8672
0.6428,-0.8682
0.6407,-0.8691
0.6389,-0.8699
0.6341,-0.8706
0.6298,-0.8712
0.6259,-0.8718
0.6224,-0.8723
0.6193,-0.8727
0.6164,-0.8731
0.6139,-0.8735
0.6116,-0.8738
0.6095,-0.8741
0.6077,-0.8744
0.6060,-0.8746
0.6016,-0.8746
0.5977,-0.8746
0.5941,-0.8747
0.5909,-0.8747
0.5880,-0.8747
0.5854,-0.8747
0.5831,-0.8747
0.5810,-0.8747
0.5791,-0.8747
0.5774,-0.8748
0.5758,-0.8748
0.5716,-0.8746
0.5679,-0.8744
0.5645,-0.8742
0.5614,-0.8740
0.5587,-0.8739
0.5562,-0.8738
0.5540,-0.8737
0.5519,-0.8736
0.5501,-0.8735
0.5485,-0.8734
0.5442,-0.8731
0.5404,-0.8728
0.5369,-0.8726
0.5338,-0.8723
0.5309,-0.8721
0.5284,-0.8720
0.5261,-0.8718
0.5241,-0.8717
0.5222,-0.8715
0.5205,-0.8714
0.5190,-0.8713
0.5147,-0.8710
0.5108,-0.8707
0.5073,-0.8704
0.5042,-0.8702
0.5014,-0.8699
0.4988,-0.8697
0.4965,-0.8696
0.4945,-0.8694
0.4926,-0.8693
0.4909,-0.8691
0.4862,-0.8688
0.4819,-0.8684
0.4781,-0.8681
0.4746,-0.8679
0.4715,-0.8676
0.4687,-0.8674
0.4662,-0.8672
0.4639,-0.8670
0.4619,-0.8669
0.4600,-0.8667
0.4584,-0.8666
0.4532,-0.8662
0.4486,-0.8658
0.4444,-0.8655
0.4407,-0.8652
0.4373,-0.8650
0.4342,-0.8647
0.4315,-0.8645
0.4290,-0.8643
0.4268,-0.8642
0.4248,-0.8640
0.4230,-0.8639
0.4171,-0.8634
0.4118,-0.8630
0.4070,-0.8627
0.4026,-0.8624
0.3988,-0.8621
0.3953,-0.8618
0.3921,-0.8616
0.3893,-0.8614
0.3867,-0.8612
0.3844,-0.8610
0.3824,-0.8609
0.3752,-0.8603
0.3688,-0.8599
0.3630,-0.8594
0.3578,-0.8591
0.3531,-0.8587
0.3489,-0.8584
0.3451,-0.8581
0.3417,-0.8579
0.3386,-0.8577
0.3358,-0.8575
0.3333,-0.8573
0.3244,-0.8567
0.3163,-0.8561
0.3090,-0.8556
0.3024,-0.8551
0.2966,-0.8547
0.2912,-0.8543
0.2865,-0.8540
0.2822,-0.8537
0.2783,-0.8534
0.2748,-0.8531
0.2627,-0.8523
0.2519,-0.8515
0.2421,-0.8508
0.2333,-0.8502
0.2253,-0.8497
0.2182,-0.8492
0.2118,-0.8487
0.2060,-0.8483
0.2008,-0.8480
0.1961,-0.8476
0.1919,-0.8473
0.1758,-0.8462
0.1614,-0.8452
0.1484,-0.8443
0.1367,-0.8435
0.1261,-0.8427
0.1166,-0.8421
0.1081,-0.8415
0.1004,-0.8409
0.0935,-0.8404
0.0873,-0.8400
0.0648,-0.8383
0.0445,-0.8369
0.0263,-0.8355
0.0099,-0.8343
-0.0048,-0.8333
-0.0181,-0.8323
-0.0301,-0.8314
-0.0408,-0.8306
-0.0505,-0.8299
-0.0592,-0.8293
-0.0671,-0.8287
-0.0959,-0.8263
-0.1219,-0.8241
-0.1453,-0.8221
-0.1664,-0.8204
-0.1853,-0.8188
-0.2024,-0.8174
-0.2177,-0.8161
-0.2315,-0.8149
-0.2440,-0.8139
-0.2552,-0.8129
-0.2652,-0.8121
-0.2974,-0.8085
-0.3264,-0.8052
-0.3525,-0.8022
-0.3759,-0.7996
-0.3970,-0.7972
-0.4160,-0.7950
-0.4331,-0.7931
-0.4485,-0.7914
-0.4624,-0.7898
-0.4749,-0.7884
-0.4861,-0.7871
-0.5132,-0.7820
-0.5377,-0.7773
-0.5596,-0.7732
-0.5794,-0.7694
-0.5972,-0.7660
-0.6133,-0.7630
-0.6277,-0.7603
-0.6407,-0.7578
-0.6524,-0.7556
-0.6629,-0.7536
-0.6723,-0.7518
-0.6891,-0.7455
-0.7041,-0.7398
-0.7177,-0.7347
-0.7298,-0.7301
-0.7408,-0.7260
-0.7507,-0.7223
-0.7596,-0.7189
-0.7676,-0.7159
-0.7748,-0.7132
-0.7813,-0.7108
-0.7899,-0.7039
-0.7977,-0.6977
-0.8047,-0.6921
-0.8110,-0.6871
-0.8167,-0.6825
-0.8218,-0.6785
-0.8264,-0.6748
-0.8305,-0.6715
