TR1,CR1,FR1
-0.5140,-0.1034,-0.7990
-0.5152,-0.1030,-0.7982
-0.5163,-0.1018,-0.7984
-0.5173,-0.1000,-0.7995
-0.5181,-0.0975,-0.8013
-0.5190,-0.0945,-0.8037
-0.5197,-0.0910,-0.8068
-0.5203,-0.0871,-0.8103
-0.5209,-0.0828,-0.8143
-0.5214,-0.0781,-0.8187
-0.5219,-0.0732,-0.8235
-0.5223,-0.0680,-0.8285
-0.5227,-0.0626,-0.8338
-0.5231,-0.0569,-0.8393
-0.5234,-0.0511,-0.8450
-0.5237,-0.0451,-0.8509
-0.5239,-0.0390,-0.8569
-0.5241,-0.0328,-0.8631
-0.5243,-0.0265,-0.8693
-0.5245,-0.0200,-0.8756
-0.5247,-0.0134,-0.8823
-0.5248,-0.0066,-0.8891
-0.5249,0.0002,-0.8960
-0.5249,0.0071,-0.9029
-0.5249,0.0140,-0.9099
-0.5248,0.0209,-0.9169
-0.5248,0.0279,-0.9239
-0.5247,0.0349,-0.9309
-0.5245,0.0420,-0.9379
-0.5244,0.0490,-0.9449
-0.5242,0.0560,-0.9518
-0.5238,0.0630,-0.9589
-0.5233,0.0700,-0.9661
-0.5226,0.0769,-0.9733
-0.5217,0.0836,-0.9803
-0.5206,0.0902,-0.9874
-0.5194,0.0968,-0.9946
-0.5181,0.1034,-1.0018
-0.5167,0.1099,-1.0091
-0.5152,0.1164,-1.0164
-0.5136,0.1229,-1.0238
-0.5119,0.1293,-1.0312
-0.5101,0.1356,-1.0385
-0.5082,0.1418,-1.0459
-0.5063,0.1480,-1.0532
-0.5042,0.1541,-1.0606
-0.5021,0.1602,-1.0679
-0.5000,0.1662,-1.0751
-0.4978,0.1722,-1.0824
-0.4955,0.1781,-1.0896
-0.4932,0.1840,-1.0968
-0.4909,0.1899,-1.1039
-0.4886,0.1957,-1.1110
-0.4862,0.2015,-1.1181
-0.4838,0.2073,-1.1251
-0.4813,0.2131,-1.1321
-0.4789,0.2189,-1.1391
-0.4764,0.2246,-1.1460
-0.4740,0.2303,-1.1528
-0.4715,0.2360,-1.1596
-0.4689,0.2416,-1.1664
-0.4664,0.2472,-1.1731
-0.4638,0.2528,-1.1797
-0.4612,0.2583,-1.1863
-0.4586,0.2637,-1.1928
-0.4559,0.2690,-1.1992
-0.4532,0.2742,-1.2056
-0.4504,0.2794,-1.2119
-0.4477,0.2844,-1.2181
-0.4449,0.2895,-1.2242
-0.4420,0.2944,-1.2303
-0.4392,0.2994,-1.2364
-0.4364,0.3044,-1.2424
-0.4335,0.3094,-1.2484
-0.4307,0.3144,-1.2543
-0.4279,0.3195,-1.2603
-0.4251,0.3245,-1.2661
-0.4222,0.3295,-1.2719
-0.4194,0.3345,-1.2777
-0.4165,0.3395,-1.2835
-0.4137,0.3445,-1.2892
-0.4109,0.3495,-1.2948
-0.4080,0.3544,-1.3005
-0.4052,0.3594,-1.3060
-0.4023,0.3644,-1.3116
-0.3994,0.3693,-1.3171
-0.3966,0.3743,-1.3225
-0.3937,0.3792,-1.3279
-0.3908,0.3841,-1.3333
-0.3879,0.3890,-1.3386
-0.3850,0.3938,-1.3439
-0.3821,0.3987,-1.3491
-0.3791,0.4035,-1.3543
-0.3762,0.4083,-1.3594
-0.3733,0.4131,-1.3645
-0.3703,0.4179,-1.3696
-0.3674,0.4227,-1.3746
-0.3644,0.4274,-1.3795
-0.3614,0.4321,-1.3844
-0.3584,0.4368,-1.3893
-0.3554,0.4415,-1.3941
-0.3524,0.4460,-1.3989
-0.3493,0.4505,-1.4036
-0.3462,0.4550,-1.4082
-0.3431,0.4594,-1.4128
-0.3400,0.4637,-1.4173
-0.3368,0.4680,-1.4218
-0.3337,0.4723,-1.4263
-0.3305,0.4765,-1.4307
-0.3273,0.4807,-1.4350
-0.3240,0.4849,-1.4393
-0.3208,0.4890,-1.4435
-0.3175,0.4930,-1.4477
-0.3143,0.4970,-1.4518
-0.3110,0.5010,-1.4559
-0.3077,0.5049,-1.4599
-0.3043,0.5088,-1.4639
-0.3010,0.5126,-1.4679
-0.2976,0.5164,-1.4718
-0.2943,0.5202,-1.4756
-0.2909,0.5240,-1.4794
-0.2875,0.5277,-1.4832
-0.2841,0.5314,-1.4869
-0.2807,0.5352,-1.4908
-0.2773,0.5389,-1.4946
-0.2739,0.5427,-1.4984
-0.2705,0.5464,-1.5021
-0.2671,0.5500,-1.5056
-0.2637,0.5537,-1.5092
-0.2603,0.5575,-1.5128
-0.2569,0.5611,-1.5164
-0.2534,0.5647,-1.5199
-0.2499,0.5682,-1.5232
-0.2464,0.5715,-1.5265
-0.2428,0.5746,-1.5296
-0.2393,0.5776,-1.5327
-0.2356,0.5805,-1.5357
-0.2320,0.5833,-1.5386
-0.2283,0.5860,-1.5414
-0.2246,0.5886,-1.5442
-0.2209,0.5911,-1.5467
-0.2171,0.5935,-1.5492
-0.2133,0.5958,-1.5516
-0.2096,0.5981,-1.5540
-0.2058,0.6003,-1.5563
-0.2019,0.6025,-1.5586
-0.1982,0.6047,-1.5609
-0.1945,0.6072,-1.5633
-0.1909,0.6100,-1.5658
-0.1875,0.6130,-1.5683
-0.1841,0.6162,-1.5709
-0.1808,0.6196,-1.5735
-0.1776,0.6231,-1.5762
-0.1745,0.6268,-1.5789
-0.1714,0.6307,-1.5816
-0.1684,0.6346,-1.5843
-0.1653,0.6386,-1.5870
-0.1622,0.6423,-1.5896
-0.1590,0.6460,-1.5922
-0.1557,0.6495,-1.5947
-0.1524,0.6529,-1.5971
-0.1490,0.6562,-1.5995
-0.1456,0.6594,-1.6018
-0.1421,0.6626,-1.6040
-0.1386,0.6656,-1.6062
-0.1351,0.6686,-1.6083
-0.1315,0.6715,-1.6104
-0.1279,0.6744,-1.6125
-0.1243,0.6772,-1.6144
-0.1207,0.6799,-1.6164
-0.1170,0.6826,-1.6183
-0.1133,0.6853,-1.6202
-0.1096,0.6878,-1.6219
-0.1058,0.6901,-1.6236
-0.1021,0.6924,-1.6252
-0.0983,0.6944,-1.6267
-0.0944,0.6964,-1.6282
-0.0906,0.6982,-1.6296
-0.0867,0.7000,-1.6309
-0.0828,0.7016,-1.6321
-0.0789,0.7032,-1.6333
-0.0749,0.7047,-1.6344
-0.0710,0.7061,-1.6355
-0.0670,0.7075,-1.6365
-0.0631,0.7088,-1.6375
-0.0591,0.7101,-1.6384
-0.0551,0.7114,-1.6393
-0.0511,0.7128,-1.6402
-0.0472,0.7141,-1.6411
-0.0432,0.7154,-1.6420
-0.0392,0.7167,-1.6428
-0.0352,0.7181,-1.6436
-0.0312,0.7194,-1.6443
-0.0272,0.7207,-1.6451
-0.0232,0.7220,-1.6458
-0.0192,0.7233,-1.6464
-0.0152,0.7245,-1.6470
-0.0112,0.7256,-1.6476
-0.0072,0.7266,-1.6480
-0.0032,0.7274,-1.6484
0.0008,0.7281,-1.6487
0.0049,0.7288,-1.6490
0.0089,0.7294,-1.6492
0.0130,0.7299,-1.6493
0.0170,0.7303,-1.6494
0.0211,0.7306,-1.6494
0.0251,0.7309,-1.6493
0.0292,0.7312,-1.6493
0.0333,0.7314,-1.6491
0.0373,0.7315,-1.6489
0.0414,0.7316,-1.6487
0.0455,0.7316,-1.6484
0.0495,0.7316,-1.6481
0.0536,0.7316,-1.6478
0.0577,0.7315,-1.6474
0.0618,0.7314,-1.6469
0.0658,0.7312,-1.6464
0.0699,0.7311,-1.6459
0.0740,0.7309,-1.6454
0.0780,0.7306,-1.6448
0.0821,0.7303,-1.6441
0.0861,0.7301,-1.6434
0.0902,0.7297,-1.6427
0.0943,0.7294,-1.6420
0.0983,0.7292,-1.6413
0.1023,0.7290,-1.6405
0.1064,0.7288,-1.6398
