TR0,CR0,FR0
0.6017,1.0322,-1.9536
0.6044,1.0320,-1.9510
0.6072,1.0319,-1.9483
0.6099,1.0317,-1.9456
0.6126,1.0315,-1.9429
0.6153,1.0313,-1.9402
0.6179,1.0311,-1.9375
0.6206,1.0309,-1.9347
0.6233,1.0306,-1.9320
0.6259,1.0303,-1.9292
0.6286,1.0299,-1.9263
0.6313,1.0295,-1.9235
0.6339,1.0290,-1.9206
0.6366,1.0284,-1.9176
0.6392,1.0279,-1.9147
0.6419,1.0272,-1.9117
0.6445,1.0266,-1.9087
0.6472,1.0259,-1.9057
0.6498,1.0251,-1.9027
0.6524,1.0243,-1.8996
0.6550,1.0235,-1.8965
0.6576,1.0227,-1.8934
0.6602,1.0218,-1.8903
0.6628,1.0209,-1.8871
0.6654,1.0200,-1.8839
0.6680,1.0191,-1.8808
0.6706,1.0181,-1.8775
0.6731,1.0171,-1.8743
0.6757,1.0161,-1.8711
0.6782,1.0151,-1.8678
0.6808,1.0141,-1.8645
0.6833,1.0130,-1.8612
0.6858,1.0119,-1.8579
0.6883,1.0109,-1.8546
0.6908,1.0097,-1.8512
0.6933,1.0086,-1.8479
0.6958,1.0072,-1.8445
0.6983,1.0057,-1.8410
0.7007,1.0041,-1.8376
0.7032,1.0024,-1.8341
0.7057,1.0005,-1.8306
0.7081,0.9986,-1.8270
0.7105,0.9966,-1.8235
0.7130,0.9945,-1.8199
0.7154,0.9924,-1.8163
0.7178,0.9901,-1.8126
0.7202,0.9879,-1.8090
0.7227,0.9855,-1.8053
0.7250,0.9832,-1.8016
0.7274,0.9808,-1.7979
0.7298,0.9783,-1.7942
0.7322,0.9758,-1.7905
0.7345,0.9733,-1.7867
0.7369,0.9707,-1.7829
0.7392,0.9681,-1.7791
0.7416,0.9656,-1.7754
0.7440,0.9630,-1.7716
0.7463,0.9603,-1.7678
0.7487,0.9577,-1.7640
0.7510,0.9550,-1.7602
0.7533,0.9523,-1.7563
0.7556,0.9496,-1.7525
0.7579,0.9469,-1.7486
0.7602,0.9442,-1.7447
0.7624,0.9415,-1.7407
0.7647,0.9388,-1.7368
0.7669,0.9361,-1.7328
0.7692,0.9334,-1.7288
0.7714,0.9306,-1.7247
0.7736,0.9279,-1.7206
0.7757,0.9251,-1.7165
0.7779,0.9223,-1.7123
0.7801,0.9196,-1.7082
0.7822,0.9168,-1.7040
0.7844,0.9140,-1.6998
0.7865,0.9112,-1.6956
0.7886,0.9084,-1.6914
0.7907,0.9056,-1.6872
0.7929,0.9028,-1.6830
0.7950,0.9000,-1.6787
0.7971,0.8972,-1.6744
0.7992,0.8943,-1.6702
0.8012,0.8915,-1.6659
0.8033,0.8887,-1.6615
0.8054,0.8858,-1.6572
0.8074,0.8828,-1.6530
0.8093,0.8797,-1.6489
0.8112,0.8765,-1.6449
0.8130,0.8732,-1.6409
0.8147,0.8698,-1.6370
0.8165,0.8663,-1.6331
0.8182,0.8627,-1.6293
0.8198,0.8591,-1.6256
0.8214,0.8554,-1.6219
0.8230,0.8517,-1.6182
0.8246,0.8479,-1.6145
0.8261,0.8441,-1.6108
0.8276,0.8403,-1.6072
0.8291,0.8364,-1.6036
0.8306,0.8324,-1.6000
0.8321,0.8285,-1.5964
0.8335,0.8245,-1.5928
0.8349,0.8205,-1.5892
0.8363,0.8165,-1.5856
0.8377,0.8124,-1.5820
0.8391,0.8084,-1.5784
0.8405,0.8043,-1.5747
0.8417,0.8002,-1.5714
0.8429,0.7963,-1.5683
0.8439,0.7923,-1.5654
0.8448,0.7884,-1.5627
0.8457,0.7846,-1.5602
0.8465,0.7808,-1.5579
0.8472,0.7770,-1.5557
0.8478,0.7732,-1.5536
0.8484,0.7695,-1.5516
0.8490,0.7657,-1.5497
0.8495,0.7620,-1.5479
0.8499,0.7583,-1.5462
0.8503,0.7546,-1.5445
0.8507,0.7509,-1.5429
0.8511,0.7472,-1.5414
0.8514,0.7436,-1.5399
0.8517,0.7399,-1.5384
0.8520,0.7362,-1.5370
0.8523,0.7326,-1.5355
0.8525,0.7289,-1.5341
0.8527,0.7252,-1.5328
0.8529,0.7216,-1.5314
0.8532,0.7179,-1.5300
0.8533,0.7142,-1.5287
0.8535,0.7106,-1.5273
0.8537,0.7069,-1.5260
0.8539,0.7032,-1.5245
0.8543,0.6994,-1.5227
0.8547,0.6956,-1.5207
0.8552,0.6918,-1.5184
0.8558,0.6879,-1.5160
0.8565,0.6839,-1.5134
0.8572,0.6800,-1.5106
0.8580,0.6760,-1.5077
0.8589,0.6719,-1.5046
0.8598,0.6679,-1.5014
0.8607,0.6638,-1.4980
0.8617,0.6597,-1.4946
0.8626,0.6556,-1.4911
0.8637,0.6514,-1.4875
0.8647,0.6473,-1.4839
0.8656,0.6432,-1.4805
0.8664,0.6392,-1.4773
0.8671,0.6352,-1.4744
0.8677,0.6312,-1.4715
0.8683,0.6273,-1.4689
0.8689,0.6234,-1.4663
0.8695,0.6200,-1.4637
0.8702,0.6169,-1.4610
0.8710,0.6142,-1.4583
0.8718,0.6118,-1.4556
0.8727,0.6097,-1.4528
0.8736,0.6078,-1.4500
0.8746,0.6061,-1.4472
0.8756,0.6046,-1.4444
0.8765,0.6031,-1.4420
0.8771,0.6015,-1.4398
0.8776,0.5998,-1.4381
0.8780,0.5981,-1.4365
0.8783,0.5963,-1.4353
0.8785,0.5944,-1.4341
0.8788,0.5923,-1.4328
0.8790,0.5900,-1.4313
0.8793,0.5875,-1.4297
0.8796,0.5849,-1.4280
0.8799,0.5821,-1.4262
0.8802,0.5791,-1.4244
0.8805,0.5761,-1.4224
0.8809,0.5729,-1.4203
0.8812,0.5696,-1.4181
0.8816,0.5662,-1.4159
0.8819,0.5627,-1.4136
0.8823,0.5592,-1.4112
0.8827,0.5556,-1.4088
0.8830,0.5519,-1.4063
0.8834,0.5482,-1.4038
0.8838,0.5445,-1.4014
0.8840,0.5408,-1.3991
0.8843,0.5371,-1.3968
0.8845,0.5334,-1.3947
0.8847,0.5298,-1.3926
0.8848,0.5261,-1.3905
0.8850,0.5224,-1.3886
0.8851,0.5188,-1.3866
0.8852,0.5151,-1.3847
0.8852,0.5115,-1.3828
0.8853,0.5078,-1.3810
0.8853,0.5041,-1.3791
0.8853,0.5005,-1.3773
0.8853,0.4968,-1.3755
0.8853,0.4932,-1.3737
0.8853,0.4895,-1.3719
0.8853,0.4858,-1.3702
0.8852,0.4821,-1.3684
0.8852,0.4785,-1.3666
0.8852,0.4748,-1.3648
0.8851,0.4711,-1.3631
0.8850,0.4675,-1.3615
0.8848,0.4639,-1.3599
0.8846,0.4604,-1.3584
0.8845,0.4569,-1.3570
0.8842,0.4534,-1.3556
0.8840,0.4500,-1.3543
0.8837,0.4465,-1.3530
0.8835,0.4431,-1.3518
0.8832,0.4397,-1.3505
0.8829,0.4363,-1.3493
0.8825,0.4329,-1.3481
0.8822,0.4295,-1.3469
0.8819,0.4261,-1.3457
0.8815,0.4228,-1.3446
0.8812,0.4194,-1.3434
0.8808,0.4160,-1.3422
0.8805,0.4127,-1.3411
0.8801,0.4093,-1.3399
0.8797,0.4059,-1.3387
0.8793,0.4026,-1.3375
0.8789,0.3992,-1.3364
0.8785,0.3958,-1.3352
0.8781,0.3925,-1.3341
0.8777,0.3891,-1.3329
0.8773,0.3858,-1.3318
0.8768,0.3824,-1.3306
0.8764,0.3791,-1.3295
0.8759,0.3757,-1.3283
0.8755,0.3724,-1.3272
0.8750,0.3690,-1.3260
0.8746,0.3657,-1.3248
0.8741,0.3623,-1.3236
0.8736,0.3590,-1.3224
