TR1,CR1,FR1
-0.0582,0.6765,-1.6154
-0.0542,0.6778,-1.6163
-0.0503,0.6791,-1.6172
-0.0463,0.6804,-1.6181
-0.0423,0.6818,-1.6190
-0.0384,0.6831,-1.6198
-0.0344,0.6844,-1.6206
-0.0304,0.6858,-1.6214
-0.0265,0.6871,-1.6221
-0.0225,0.6884,-1.6228
-0.0185,0.6896,-1.6235
-0.0145,0.6907,-1.6241
-0.0105,0.6917,-1.6246
-0.0065,0.6926,-1.6250
-0.0025,0.6933,-1.6253
0.0015,0.6940,-1.6256
0.0055,0.6946,-1.6259
0.0096,0.6951,-1.6260
0.0136,0.6955,-1.6261
0.0176,0.6959,-1.6262
0.0217,0.6962,-1.6262
0.0257,0.6965,-1.6262
0.0298,0.6967,-1.6261
0.0338,0.6968,-1.6259
0.0379,0.6970,-1.6257
0.0419,0.6970,-1.6255
0.0460,0.6970,-1.6252
0.0500,0.6970,-1.6249
0.0541,0.6970,-1.6245
0.0581,0.6969,-1.6241
0.0622,0.6968,-1.6237
0.0662,0.6966,-1.6232
0.0702,0.6964,-1.6226
0.0743,0.6962,-1.6221
0.0783,0.6960,-1.6215
0.0824,0.6957,-1.6208
0.0864,0.6954,-1.6201
0.0905,0.6951,-1.6194
0.0945,0.6949,-1.6187
0.0985,0.6947,-1.6180
0.1025,0.6946,-1.6173
0.1065,0.6945,-1.6166
0.1105,0.6945,-1.6159
0.1145,0.6945,-1.6151
0.1185,0.6945,-1.6144
0.1225,0.6946,-1.6136
0.1265,0.6947,-1.6129
0.1304,0.6948,-1.6121
0.1344,0.6949,-1.6112
0.1383,0.6950,-1.6104
0.1423,0.6951,-1.6095
0.1462,0.6952,-1.6086
0.1502,0.6954,-1.6077
0.1541,0.6953,-1.6067
0.1581,0.6952,-1.6056
0.1620,0.6949,-1.6045
0.1659,0.6945,-1.6032
0.1698,0.6939,-1.6019
0.1738,0.6933,-1.6005
0.1777,0.6926,-1.5990
0.1816,0.6918,-1.5975
0.1855,0.6909,-1.5959
0.1894,0.6900,-1.5943
0.1933,0.6890,-1.5926
0.1972,0.6879,-1.5908
0.2011,0.6867,-1.5890
0.2049,0.6853,-1.5871
0.2088,0.6838,-1.5851
0.2126,0.6821,-1.5830
0.2164,0.6803,-1.5808
0.2201,0.6784,-1.5786
0.2239,0.6763,-1.5762
0.2276,0.6741,-1.5738
0.2314,0.6719,-1.5714
0.2351,0.6695,-1.5689
0.2388,0.6671,-1.5663
0.2424,0.6646,-1.5636
0.2461,0.6621,-1.5610
0.2497,0.6594,-1.5582
0.2534,0.6568,-1.5554
0.2570,0.6541,-1.5526
0.2607,0.6514,-1.5497
0.2643,0.6488,-1.5469
0.2680,0.6462,-1.5440
0.2716,0.6436,-1.5411
0.2753,0.6410,-1.5381
0.2789,0.6384,-1.5352
0.2825,0.6358,-1.5322
0.2862,0.6333,-1.5291
0.2898,0.6307,-1.5261
0.2935,0.6281,-1.5230
0.2971,0.6255,-1.5199
0.3007,0.6229,-1.5167
0.3043,0.6202,-1.5135
0.3079,0.6175,-1.5102
0.3114,0.6146,-1.5069
0.3150,0.6116,-1.5035
0.3185,0.6086,-1.5001
0.3220,0.6056,-1.4966
0.3255,0.6024,-1.4930
0.3289,0.5992,-1.4894
0.3324,0.5960,-1.4857
0.3358,0.5927,-1.4820
0.3392,0.5894,-1.4783
0.3426,0.5860,-1.4745
0.3460,0.5826,-1.4706
0.3494,0.5791,-1.4667
0.3528,0.5756,-1.4627
0.3561,0.5720,-1.4587
0.3594,0.5683,-1.4547
0.3627,0.5646,-1.4506
0.3660,0.5608,-1.4464
0.3692,0.5570,-1.4422
0.3725,0.5531,-1.4379
0.3757,0.5492,-1.4336
0.3789,0.5453,-1.4293
0.3821,0.5413,-1.4249
0.3853,0.5373,-1.4204
0.3885,0.5332,-1.4159
0.3917,0.5292,-1.4116
0.3949,0.5252,-1.4072
0.3980,0.5211,-1.4027
0.4012,0.5170,-1.3982
0.4043,0.5128,-1.3936
0.4073,0.5084,-1.3890
0.4102,0.5039,-1.3843
0.4131,0.4993,-1.3795
0.4159,0.4946,-1.3746
0.4187,0.4898,-1.3697
0.4215,0.4849,-1.3648
0.4242,0.4800,-1.3598
0.4268,0.4749,-1.3547
0.4294,0.4698,-1.3496
0.4318,0.4644,-1.3443
0.4342,0.4590,-1.3389
0.4365,0.4535,-1.3335
0.4387,0.4479,-1.3282
0.4408,0.4422,-1.3228
0.4429,0.4365,-1.3173
0.4450,0.4307,-1.3119
0.4470,0.4249,-1.3064
0.4490,0.4190,-1.3009
0.4510,0.4131,-1.2954
0.4530,0.4072,-1.2897
0.4551,0.4013,-1.2840
0.4572,0.3954,-1.2783
0.4593,0.3895,-1.2725
0.4614,0.3836,-1.2666
0.4635,0.3777,-1.2607
0.4656,0.3718,-1.2547
0.4677,0.3657,-1.2488
0.4696,0.3597,-1.2428
0.4716,0.3535,-1.2367
0.4735,0.3474,-1.2307
0.4753,0.3411,-1.2245
0.4772,0.3349,-1.2184
0.4790,0.3286,-1.2122
0.4808,0.3222,-1.2060
0.4825,0.3159,-1.1997
0.4842,0.3095,-1.1934
0.4859,0.3030,-1.1870
0.4876,0.2965,-1.1805
0.4894,0.2901,-1.1740
0.4911,0.2836,-1.1674
0.4929,0.2771,-1.1608
0.4947,0.2706,-1.1540
0.4965,0.2641,-1.1472
0.4983,0.2575,-1.1403
0.5002,0.2510,-1.1334
0.5021,0.2444,-1.1263
0.5039,0.2378,-1.1192
0.5058,0.2312,-1.1120
0.5076,0.2245,-1.1048
0.5093,0.2178,-1.0976
0.5110,0.2111,-1.0903
0.5127,0.2042,-1.0830
0.5143,0.1974,-1.0757
0.5158,0.1905,-1.0683
0.5174,0.1835,-1.0608
0.5189,0.1765,-1.0533
0.5204,0.1695,-1.0458
0.5218,0.1624,-1.0381
0.5232,0.1553,-1.0304
0.5246,0.1481,-1.0227
0.5260,0.1409,-1.0150
0.5272,0.1337,-1.0073
0.5283,0.1265,-0.9997
0.5294,0.1193,-0.9920
0.5304,0.1120,-0.9844
0.5313,0.1047,-0.9768
0.5322,0.0974,-0.9691
0.5331,0.0900,-0.9614
0.5339,0.0826,-0.9536
0.5347,0.0752,-0.9458
0.5356,0.0677,-0.9377
0.5365,0.0601,-0.9296
0.5374,0.0525,-0.9213
0.5383,0.0448,-0.9128
0.5392,0.0370,-0.9042
0.5402,0.0292,-0.8955
0.5411,0.0213,-0.8867
0.5421,0.0133,-0.8777
0.5431,0.0053,-0.8686
0.5439,-0.0027,-0.8595
0.5446,-0.0105,-0.8508
0.5452,-0.0182,-0.8423
0.5456,-0.0259,-0.8340
0.5459,-0.0334,-0.8259
0.5461,-0.0409,-0.8180
0.5462,-0.0484,-0.8102
0.5462,-0.0557,-0.8025
0.5461,-0.0631,-0.7949
0.5460,-0.0705,-0.7872
0.5458,-0.0780,-0.7793
0.5457,-0.0856,-0.7712
0.5457,-0.0933,-0.7630
0.5456,-0.1012,-0.7545
0.5455,-0.1091,-0.7458
0.5455,-0.1171,-0.7370
0.5458,-0.1247,-0.7283
0.5464,-0.1319,-0.7195
0.5467,-0.1383,-0.7120
0.5468,-0.1434,-0.7064
0.5465,-0.1476,-0.7021
0.5460,-0.1511,-0.6990
0.5452,-0.1538,-0.6970
0.5442,-0.1559,-0.6960
0.5430,-0.1574,-0.6958
0.5416,-0.1583,-0.6965
0.5401,-0.1588,-0.6979
0.5384,-0.1589,-0.7000
0.5366,-0.1585,-0.7026
0.5346,-0.1579,-0.7057
0.5326,-0.1569,-0.7092
0.5304,-0.1557,-0.7131
0.5282,-0.1543,-0.7174
0.5258,-0.1527,-0.7219
0.5234,-0.1509,-0.7267
0.5209,-0.1490,-0.7317
0.5183,-0.1471,-0.7365
0.5157,-0.1451,-0.7415
0.5130,-0.1430,-0.7467
0.5102,-0.1409,-0.7519
0.5074,-0.1386,-0.7573
0.5046,-0.1363,-0.7628
0.5017,-0.1340,-0.7683
0.4988,-0.1316,-0.7738
0.4959,-0.1291,-0.7794
0.4929,-0.1267,-0.7851
0.4899,-0.1242,-0.7907
0.4869,-0.1217,-0.7963
0.4838,-0.1192,-0.8020
0.4808,-0.1168,-0.8076
0.4777,-0.1143,-0.8132
0.4745,-0.1118,-0.8188
0.4714,-0.1093,-0.8244
0.4682,-0.1069,-0.8299
0.4651,-0.1044,-0.8354
0.4619,-0.1020,-0.8408
0.4587,-0.0996,-0.8463
0.4554,-0.0972,-0.8516
0.4522,-0.0948,-0.8570
0.4489,-0.0925,-0.8622
0.4457,-0.0902,-0.8675
0.4424,-0.0879,-0.8726
0.4391,-0.0856,-0.8778
0.4358,-0.0833,-0.8828
0.4324,-0.0811,-0.8879
