tr,cr,fr,z
0.240,0.234,-1.531,0.000
0.235,0.234,-1.532,0.000
0.230,0.235,-1.534,0.000
0.225,0.235,-1.536,0.000
0.221,0.235,-1.537,0.000
0.216,0.236,-1.539,0.000
0.211,0.236,-1.540,0.000
0.206,0.237,-1.542,0.000
0.202,0.237,-1.543,0.000
0.197,0.238,-1.545,0.000
0.192,0.238,-1.546,0.000
0.187,0.238,-1.547,0.000
0.182,0.239,-1.549,0.000
0.178,0.239,-1.550,0.000
0.173,0.239,-1.551,0.000
0.168,0.240,-1.552,0.000
0.163,0.240,-1.554,0.000
0.158,0.240,-1.555,0.000
0.153,0.241,-1.556,0.000
0.148,0.241,-1.557,0.000
0.144,0.241,-1.558,0.000
0.139,0.241,-1.559,0.000
0.134,0.242,-1.560,0.000
0.129,0.242,-1.561,0.000
0.124,0.242,-1.562,0.000
0.119,0.242,-1.563,0.000
0.114,0.243,-1.563,0.000
0.109,0.243,-1.564,0.000
0.104,0.243,-1.564,0.000
0.099,0.243,-1.565,0.000
0.094,0.243,-1.566,0.000
0.089,0.243,-1.566,0.000
0.084,0.243,-1.567,0.000
0.079,0.244,-1.567,0.000
0.074,0.244,-1.568,0.000
0.069,0.244,-1.568,0.000
0.064,0.244,-1.568,0.000
0.059,0.244,-1.569,0.000
0.054,0.244,-1.569,0.000
0.050,0.244,-1.570,0.000
0.045,0.244,-1.570,0.000
0.040,0.245,-1.571,0.000
0.036,0.247,-1.573,0.000
0.033,0.249,-1.575,0.000
0.029,0.252,-1.577,0.001
0.026,0.255,-1.580,0.001
0.024,0.258,-1.583,0.001
0.021,0.262,-1.586,0.001
0.019,0.266,-1.590,0.002
0.017,0.271,-1.593,0.002
0.016,0.276,-1.597,0.002
0.014,0.281,-1.601,0.003
0.013,0.286,-1.606,0.003
0.011,0.292,-1.610,0.004
0.010,0.298,-1.615,0.004
0.009,0.304,-1.619,0.005
0.008,0.310,-1.624,0.005
0.008,0.316,-1.629,0.005
0.007,0.322,-1.634,0.006
0.006,0.329,-1.639,0.006
0.006,0.335,-1.644,0.007
0.005,0.342,-1.649,0.007
0.004,0.348,-1.654,0.008
0.004,0.355,-1.659,0.008
0.004,0.362,-1.664,0.009
0.003,0.369,-1.669,0.010
0.003,0.376,-1.674,0.010
0.003,0.383,-1.679,0.011
0.002,0.390,-1.685,0.011
0.002,0.397,-1.690,0.012
0.002,0.404,-1.695,0.012
0.002,0.411,-1.700,0.013
0.002,0.418,-1.705,0.013
0.001,0.425,-1.710,0.014
0.001,0.432,-1.715,0.014
0.001,0.440,-1.720,0.015
0.001,0.447,-1.725,0.016
0.001,0.454,-1.730,0.016
0.001,0.461,-1.735,0.017
0.001,0.469,-1.740,0.017
0.001,0.476,-1.744,0.018
0.002,0.482,-1.749,0.018
0.003,0.489,-1.753,0.019
0.005,0.495,-1.757,0.019
0.006,0.502,-1.762,0.020
0.008,0.508,-1.765,0.020
0.010,0.514,-1.769,0.021
0.012,0.520,-1.773,0.021
0.014,0.526,-1.777,0.022
0.017,0.531,-1.780,0.022
0.019,0.537,-1.784,0.022
0.022,0.543,-1.787,0.023
0.025,0.548,-1.791,0.023
0.028,0.554,-1.794,0.024
0.030,0.559,-1.797,0.024
0.033,0.564,-1.800,0.025
0.037,0.570,-1.803,0.025
0.040,0.575,-1.806,0.025
0.043,0.580,-1.809,0.026
