tr2,cr2,fr2
-0.9679,0.1583,-0.8725
-0.9681,0.1593,-0.8725
-0.9683,0.1606,-0.8731
-0.9684,0.1625,-0.8743
-0.9684,0.1647,-0.8760
-0.9684,0.1672,-0.8783
-0.9683,0.1701,-0.8810
-0.9682,0.1733,-0.8840
-0.9680,0.1767,-0.8875
-0.9677,0.1804,-0.8912
-0.9675,0.1842,-0.8952
-0.9672,0.1882,-0.8994
-0.9668,0.1924,-0.9038
-0.9664,0.1967,-0.9085
-0.9661,0.2011,-0.9132
-0.9656,0.2057,-0.9182
-0.9652,0.2103,-0.9232
-0.9648,0.2150,-0.9284
-0.9643,0.2198,-0.9336
-0.9638,0.2247,-0.9389
-0.9633,0.2295,-0.9441
-0.9629,0.2343,-0.9491
-0.9625,0.2389,-0.9538
-0.9622,0.2434,-0.9582
-0.9620,0.2478,-0.9624
-0.9617,0.2522,-0.9664
-0.9615,0.2564,-0.9702
-0.9614,0.2606,-0.9739
-0.9613,0.2648,-0.9774
-0.9611,0.2689,-0.9809
-0.9611,0.2730,-0.9842
-0.9610,0.2770,-0.9874
-0.9610,0.2810,-0.9905
-0.9609,0.2849,-0.9935
-0.9609,0.2887,-0.9963
-0.9609,0.2926,-0.9991
-0.9609,0.2964,-1.0018
-0.9609,0.3002,-1.0044
-0.9610,0.3039,-1.0070
-0.9610,0.3076,-1.0094
-0.9611,0.3113,-1.0119
-0.9611,0.3149,-1.0142
-0.9612,0.3186,-1.0165
-0.9613,0.3222,-1.0188
-0.9613,0.3258,-1.0210
-0.9614,0.3293,-1.0231
-0.9615,0.3328,-1.0251
-0.9616,0.3363,-1.0271
-0.9617,0.3397,-1.0290
-0.9618,0.3431,-1.0309
-0.9619,0.3466,-1.0328
-0.9620,0.3500,-1.0347
-0.9621,0.3534,-1.0365
-0.9622,0.3568,-1.0384
-0.9622,0.3603,-1.0404
-0.9622,0.3640,-1.0427
-0.9622,0.3677,-1.0451
-0.9622,0.3715,-1.0476
-0.9621,0.3753,-1.0503
-0.9620,0.3793,-1.0530
-0.9618,0.3832,-1.0559
