tr,cr,fr,z
-0.858,0.182,-0.995,0.001
-0.859,0.179,-0.989,0.001
-0.861,0.176,-0.983,0.001
-0.862,0.173,-0.977,0.001
-0.864,0.170,-0.971,0.001
-0.865,0.166,-0.965,0.001
-0.867,0.163,-0.959,0.001
-0.868,0.160,-0.953,0.001
-0.870,0.157,-0.947,0.001
-0.871,0.153,-0.940,0.001
-0.873,0.150,-0.933,0.001
-0.874,0.146,-0.927,0.001
-0.876,0.142,-0.920,0.001
-0.877,0.138,-0.913,0.000
-0.879,0.135,-0.906,0.000
-0.880,0.131,-0.899,0.000
-0.881,0.127,-0.892,0.000
-0.883,0.122,-0.885,0.000
-0.884,0.118,-0.877,0.000
-0.886,0.114,-0.870,0.000
-0.887,0.110,-0.862,0.000
-0.889,0.106,-0.855,0.000
-0.890,0.101,-0.847,0.000
-0.891,0.097,-0.839,0.000
-0.893,0.092,-0.832,0.000
-0.894,0.088,-0.824,0.000
-0.896,0.085,-0.817,0.000
-0.897,0.081,-0.810,0.000
-0.898,0.078,-0.804,0.000
-0.899,0.074,-0.797,0.000
-0.901,0.071,-0.790,0.000
-0.902,0.067,-0.783,0.000
-0.903,0.063,-0.776,0.000
-0.905,0.060,-0.769,0.000
-0.906,0.056,-0.761,0.000
-0.907,0.053,-0.754,0.000
-0.909,0.049,-0.747,0.000
-0.910,0.045,-0.739,0.000
-0.911,0.040,-0.731,0.000
-0.912,0.036,-0.723,0.000
-0.914,0.031,-0.714,0.000
-0.915,0.027,-0.706,0.000
-0.916,0.023,-0.700,0.000
-0.917,0.020,-0.694,0.001
-0.918,0.018,-0.688,0.001
-0.919,0.017,-0.684,0.001
-0.920,0.016,-0.681,0.001
-0.920,0.015,-0.678,0.002
-0.921,0.016,-0.677,0.002
-0.921,0.017,-0.676,0.002
-0.922,0.018,-0.677,0.003
-0.922,0.021,-0.678,0.003
-0.922,0.023,-0.680,0.004
-0.922,0.026,-0.683,0.004
-0.922,0.030,-0.686,0.004
-0.922,0.033,-0.690,0.005
-0.922,0.037,-0.694,0.005
-0.922,0.042,-0.699,0.006
-0.922,0.046,-0.704,0.006
-0.921,0.051,-0.709,0.007
-0.921,0.056,-0.714,0.008
-0.921,0.061,-0.720,0.008
-0.920,0.066,-0.726,0.009
-0.920,0.071,-0.732,0.009
-0.920,0.076,-0.738,0.010
-0.919,0.082,-0.745,0.010
-0.919,0.087,-0.751,0.011
-0.918,0.093,-0.758,0.011
-0.918,0.098,-0.764,0.012
-0.917,0.104,-0.771,0.013
-0.917,0.110,-0.777,0.013
-0.916,0.115,-0.784,0.014
-0.916,0.121,-0.791,0.014
-0.915,0.127,-0.797,0.015
-0.915,0.132,-0.804,0.016
-0.914,0.138,-0.811,0.016
-0.914,0.144,-0.817,0.017
-0.913,0.149,-0.823,0.017
-0.913,0.154,-0.828,0.018
-0.912,0.160,-0.834,0.019
-0.912,0.165,-0.839,0.019
-0.912,0.170,-0.845,0.020
-0.911,0.175,-0.850,0.021
-0.911,0.180,-0.855,0.021
-0.911,0.185,-0.860,0.022
-0.910,0.190,-0.864,0.023
-0.910,0.194,-0.869,0.023
-0.910,0.199,-0.873,0.024
-0.910,0.204,-0.878,0.025
-0.909,0.209,-0.882,0.025
-0.909,0.213,-0.887,0.026
-0.909,0.218,-0.891,0.027
-0.909,0.222,-0.895,0.027
-0.909,0.227,-0.899,0.028
-0.908,0.232,-0.903,0.029
-0.908,0.236,-0.907,0.029
-0.908,0.241,-0.911,0.030
-0.908,0.245,-0.915,0.031
-0.908,0.249,-0.918,0.031
-0.908,0.254,-0.922,0.032
-0.908,0.258,-0.926,0.033
-0.907,0.263,-0.929,0.033
-0.907,0.267,-0.933,0.034
-0.907,0.271,-0.937,0.035
-0.907,0.276,-0.940,0.035
-0.907,0.280,-0.944,0.036
-0.907,0.284,-0.947,0.037
-0.906,0.288,-0.950,0.037
-0.906,0.293,-0.954,0.038
-0.906,0.297,-0.958,0.039
-0.906,0.302,-0.962,0.039
-0.905,0.306,-0.966,0.040
-0.905,0.311,-0.970,0.041
-0.905,0.316,-0.975,0.041
-0.904,0.320,-0.979,0.042
-0.904,0.325,-0.984,0.043
-0.903,0.330,-0.989,0.043
-0.903,0.335,-0.993,0.044
-0.902,0.340,-0.998,0.044
-0.902,0.345,-1.003,0.045
-0.901,0.349,-1.008,0.046
-0.900,0.354,-1.013,0.046
-0.900,0.359,-1.018,0.047
-0.899,0.364,-1.023,0.048
-0.899,0.369,-1.028,0.048
-0.898,0.374,-1.033,0.049
-0.897,0.379,-1.038,0.049
-0.897,0.384,-1.043,0.050
-0.896,0.389,-1.048,0.051
-0.895,0.394,-1.053,0.051
-0.895,0.399,-1.058,0.052
-0.894,0.404,-1.063,0.052
-0.893,0.409,-1.068,0.053
-0.892,0.414,-1.073,0.054
-0.892,0.418,-1.078,0.054
-0.891,0.423,-1.082,0.055
-0.890,0.428,-1.087,0.055
-0.890,0.433,-1.092,0.056
-0.889,0.438,-1.097,0.057
-0.888,0.443,-1.102,0.057
-0.887,0.448,-1.107,0.058
-0.887,0.453,-1.111,0.058
-0.886,0.457,-1.116,0.059
-0.885,0.462,-1.121,0.059
-0.884,0.467,-1.126,0.060
-0.883,0.472,-1.131,0.060
-0.882,0.476,-1.137,0.061
-0.881,0.481,-1.142,0.061
-0.880,0.485,-1.147,0.062
-0.879,0.490,-1.153,0.062
-0.878,0.495,-1.158,0.063
-0.877,0.499,-1.164,0.063
-0.876,0.504,-1.169,0.063
-0.874,0.508,-1.175,0.064
-0.873,0.512,-1.180,0.064
-0.872,0.517,-1.186,0.064
-0.871,0.521,-1.192,0.065
-0.869,0.526,-1.197,0.065
-0.868,0.530,-1.203,0.065
-0.867,0.534,-1.208,0.065
-0.865,0.539,-1.214,0.066
-0.864,0.543,-1.220,0.066
-0.863,0.547,-1.225,0.066
-0.861,0.551,-1.231,0.067
-0.860,0.556,-1.236,0.067
-0.859,0.560,-1.242,0.067
-0.857,0.564,-1.248,0.067
-0.856,0.568,-1.253,0.068
-0.854,0.572,-1.259,0.068
-0.853,0.576,-1.264,0.068
-0.851,0.580,-1.270,0.068
-0.850,0.585,-1.275,0.069
-0.849,0.589,-1.281,0.069
-0.847,0.593,-1.286,0.069
-0.846,0.597,-1.291,0.069
-0.844,0.601,-1.297,0.070
-0.843,0.605,-1.302,0.070
-0.841,0.609,-1.307,0.070
-0.840,0.613,-1.313,0.070
-0.838,0.617,-1.318,0.070
-0.836,0.620,-1.323,0.071
-0.835,0.624,-1.329,0.071
-0.833,0.628,-1.334,0.071
-0.832,0.632,-1.339,0.071
-0.830,0.636,-1.344,0.071
-0.829,0.640,-1.349,0.072
-0.827,0.643,-1.355,0.072
-0.825,0.647,-1.360,0.072
-0.824,0.651,-1.365,0.072
-0.822,0.655,-1.370,0.072
-0.821,0.658,-1.375,0.073
-0.819,0.662,-1.380,0.073
-0.817,0.666,-1.385,0.073
-0.816,0.670,-1.390,0.073
-0.814,0.673,-1.395,0.073
-0.813,0.677,-1.400,0.074
-0.811,0.681,-1.405,0.074
-0.809,0.684,-1.410,0.074
-0.808,0.688,-1.415,0.074
-0.806,0.692,-1.420,0.074
-0.804,0.695,-1.424,0.075
-0.803,0.699,-1.429,0.075
-0.801,0.702,-1.434,0.075
-0.799,0.706,-1.439,0.075
-0.797,0.710,-1.444,0.075
-0.796,0.713,-1.448,0.075
-0.794,0.717,-1.453,0.076
-0.792,0.720,-1.458,0.076
-0.791,0.724,-1.463,0.076
-0.789,0.727,-1.467,0.076
-0.787,0.730,-1.472,0.076
-0.785,0.734,-1.477,0.076
-0.784,0.737,-1.481,0.077
-0.782,0.741,-1.486,0.077
-0.780,0.744,-1.490,0.077
-0.778,0.748,-1.495,0.077
-0.776,0.751,-1.499,0.077
-0.775,0.754,-1.504,0.077
-0.773,0.758,-1.509,0.078
-0.771,0.761,-1.513,0.078
-0.769,0.764,-1.517,0.078
-0.767,0.768,-1.522,0.078
-0.766,0.771,-1.526,0.078
-0.764,0.774,-1.531,0.078
-0.762,0.777,-1.535,0.078
-0.760,0.781,-1.540,0.079
-0.758,0.784,-1.544,0.079
-0.756,0.787,-1.548,0.079
-0.754,0.790,-1.553,0.079
-0.753,0.794,-1.557,0.079
-0.751,0.797,-1.561,0.079
-0.749,0.800,-1.565,0.079
-0.747,0.803,-1.570,0.080
-0.745,0.806,-1.574,0.080
-0.743,0.808,-1.578,0.080
-0.741,0.811,-1.582,0.080
