tr,cr,fr,z
-0.762,0.336,-1.278,0.001
-0.764,0.334,-1.274,0.001
-0.766,0.331,-1.269,0.001
-0.768,0.329,-1.265,0.001
-0.770,0.327,-1.261,0.001
-0.772,0.325,-1.256,0.001
-0.774,0.323,-1.252,0.001
-0.775,0.321,-1.247,0.001
-0.777,0.319,-1.243,0.001
-0.779,0.317,-1.239,0.001
-0.781,0.315,-1.234,0.001
-0.783,0.313,-1.230,0.001
-0.784,0.311,-1.225,0.001
-0.786,0.309,-1.221,0.001
-0.788,0.307,-1.216,0.001
-0.790,0.305,-1.212,0.001
-0.791,0.302,-1.207,0.001
-0.793,0.300,-1.202,0.001
-0.795,0.297,-1.197,0.001
-0.796,0.294,-1.192,0.001
-0.798,0.291,-1.187,0.001
-0.800,0.288,-1.182,0.001
-0.801,0.284,-1.176,0.000
-0.803,0.281,-1.171,0.000
-0.805,0.278,-1.166,0.000
-0.806,0.276,-1.161,0.000
-0.808,0.273,-1.157,0.000
-0.809,0.271,-1.152,0.000
-0.811,0.269,-1.148,0.000
-0.812,0.268,-1.144,0.000
-0.814,0.266,-1.140,0.000
-0.815,0.264,-1.136,0.001
-0.817,0.263,-1.132,0.001
-0.818,0.261,-1.127,0.001
-0.820,0.259,-1.123,0.001
-0.821,0.256,-1.118,0.001
-0.823,0.254,-1.113,0.001
-0.824,0.252,-1.108,0.001
-0.826,0.249,-1.103,0.001
-0.828,0.246,-1.098,0.001
-0.829,0.243,-1.093,0.001
-0.831,0.240,-1.087,0.001
-0.832,0.237,-1.082,0.001
-0.834,0.234,-1.076,0.001
-0.835,0.231,-1.071,0.001
-0.837,0.228,-1.065,0.000
-0.838,0.225,-1.059,0.000
-0.840,0.222,-1.053,0.000
-0.841,0.219,-1.048,0.000
-0.843,0.216,-1.042,0.000
-0.845,0.213,-1.037,0.000
-0.846,0.211,-1.032,0.000
-0.848,0.208,-1.026,0.000
-0.849,0.205,-1.020,0.000
-0.851,0.202,-1.015,0.000
-0.852,0.199,-1.009,0.000
-0.854,0.196,-1.003,0.001
-0.855,0.193,-0.997,0.001
-0.857,0.190,-0.992,0.001
-0.858,0.187,-0.986,0.001
-0.860,0.184,-0.980,0.001
-0.861,0.181,-0.974,0.001
-0.863,0.178,-0.967,0.001
-0.864,0.175,-0.961,0.001
