tr2,cr2,fr2
-0.9207,-0.0368,-0.5444
-0.9209,-0.0353,-0.5454
-0.9210,-0.0331,-0.5473
-0.9210,-0.0303,-0.5501
-0.9210,-0.0271,-0.5535
-0.9209,-0.0235,-0.5576
-0.9208,-0.0194,-0.5622
-0.9206,-0.0151,-0.5673
-0.9204,-0.0105,-0.5728
-0.9201,-0.0056,-0.5787
-0.9198,-0.0005,-0.5849
-0.9195,0.0048,-0.5913
-0.9191,0.0103,-0.5980
-0.9187,0.0159,-0.6048
-0.9183,0.0216,-0.6119
-0.9179,0.0274,-0.6190
-0.9175,0.0333,-0.6263
-0.9170,0.0393,-0.6336
-0.9165,0.0453,-0.6411
-0.9160,0.0513,-0.6483
-0.9156,0.0570,-0.6552
-0.9153,0.0626,-0.6617
-0.9150,0.0681,-0.6679
-0.9147,0.0734,-0.6737
-0.9145,0.0785,-0.6793
-0.9143,0.0835,-0.6845
-0.9142,0.0885,-0.6896
-0.9140,0.0933,-0.6944
-0.9139,0.0981,-0.6993
-0.9139,0.1028,-0.7039
-0.9138,0.1075,-0.7084
-0.9138,0.1120,-0.7126
-0.9138,0.1165,-0.7167
-0.9138,0.1208,-0.7205
-0.9138,0.1251,-0.7243
-0.9138,0.1294,-0.7280
-0.9138,0.1336,-0.7316
-0.9139,0.1377,-0.7351
-0.9139,0.1418,-0.7384
-0.9140,0.1459,-0.7417
-0.9141,0.1499,-0.7449
-0.9141,0.1539,-0.7480
-0.9142,0.1578,-0.7510
-0.9143,0.1617,-0.7540
-0.9144,0.1655,-0.7569
-0.9145,0.1693,-0.7595
-0.9146,0.1730,-0.7621
-0.9147,0.1767,-0.7647
-0.9148,0.1804,-0.7673
-0.9149,0.1840,-0.7698
-0.9150,0.1877,-0.7722
-0.9152,0.1913,-0.7747
-0.9153,0.1949,-0.7771
-0.9153,0.1987,-0.7799
-0.9153,0.2026,-0.7828
-0.9153,0.2066,-0.7859
-0.9153,0.2107,-0.7892
-0.9152,0.2149,-0.7926
-0.9151,0.2191,-0.7962
-0.9150,0.2234,-0.7998
-0.9149,0.2278,-0.8036
-0.9147,0.2322,-0.8074
-0.9145,0.2367,-0.8113
-0.9144,0.2411,-0.8153
-0.9142,0.2456,-0.8193
-0.9139,0.2502,-0.8233
-0.9137,0.2547,-0.8274
-0.9135,0.2593,-0.8315
-0.9132,0.2639,-0.8356
-0.9130,0.2685,-0.8397
-0.9127,0.2730,-0.8438
-0.9125,0.2776,-0.8480
-0.9122,0.2822,-0.8521
-0.9119,0.2868,-0.8562
-0.9116,0.2914,-0.8604
-0.9114,0.2960,-0.8645
-0.9111,0.3006,-0.8686
-0.9108,0.3052,-0.8726
-0.9105,0.3097,-0.8767
-0.9102,0.3143,-0.8808
-0.9099,0.3188,-0.8848
-0.9095,0.3235,-0.8890
-0.9092,0.3281,-0.8933
-0.9087,0.3329,-0.8978
-0.9083,0.3377,-0.9025
-0.9078,0.3425,-0.9072
-0.9073,0.3474,-0.9120
-0.9068,0.3523,-0.9169
-0.9062,0.3572,-0.9218
-0.9056,0.3622,-0.9269
-0.9050,0.3672,-0.9319
-0.9044,0.3722,-0.9370
-0.9038,0.3772,-0.9421
-0.9032,0.3822,-0.9472
-0.9025,0.3872,-0.9524
-0.9018,0.3922,-0.9576
-0.9011,0.3971,-0.9628
-0.9004,0.4020,-0.9683
-0.8995,0.4068,-0.9738
-0.8986,0.4116,-0.9795
-0.8977,0.4163,-0.9853
-0.8967,0.4209,-0.9911
-0.8957,0.4255,-0.9971
-0.8946,0.4300,-1.0031
-0.8935,0.4345,-1.0091
-0.8924,0.4389,-1.0152
-0.8912,0.4433,-1.0213
-0.8901,0.4476,-1.0275
-0.8889,0.4519,-1.0336
-0.8876,0.4562,-1.0398
-0.8864,0.4604,-1.0460
-0.8851,0.4646,-1.0522
-0.8838,0.4688,-1.0584
-0.8825,0.4729,-1.0646
-0.8812,0.4770,-1.0708
-0.8799,0.4810,-1.0769
-0.8786,0.4851,-1.0831
-0.8772,0.4891,-1.0892
-0.8758,0.4930,-1.0954
-0.8745,0.4970,-1.1015
-0.8731,0.5008,-1.1075
-0.8717,0.5046,-1.1135
-0.8703,0.5084,-1.1195
-0.8689,0.5120,-1.1255
-0.8674,0.5156,-1.1313
-0.8660,0.5192,-1.1372
-0.8646,0.5227,-1.1430
-0.8631,0.5261,-1.1488
-0.8617,0.5295,-1.1545
-0.8602,0.5329,-1.1602
-0.8587,0.5362,-1.1659
-0.8573,0.5395,-1.1715
-0.8558,0.5428,-1.1771
-0.8543,0.5460,-1.1827
-0.8528,0.5492,-1.1882
-0.8513,0.5524,-1.1937
-0.8498,0.5555,-1.1992
-0.8483,0.5586,-1.2047
-0.8468,0.5617,-1.2101
-0.8452,0.5647,-1.2154
-0.8437,0.5678,-1.2208
-0.8422,0.5708,-1.2261
-0.8406,0.5738,-1.2314
-0.8391,0.5767,-1.2366
-0.8376,0.5794,-1.2417
-0.8360,0.5820,-1.2467
-0.8345,0.5845,-1.2516
-0.8330,0.5868,-1.2564
-0.8315,0.5890,-1.2611
-0.8300,0.5911,-1.2657
-0.8285,0.5931,-1.2702
