TR1,CR1,FR1
-0.5153,-0.0684,-0.8149
-0.5164,-0.0673,-0.8149
-0.5174,-0.0655,-0.8158
-0.5182,-0.0632,-0.8174
-0.5190,-0.0603,-0.8197
-0.5197,-0.0569,-0.8224
-0.5204,-0.0531,-0.8257
-0.5210,-0.0490,-0.8294
-0.5215,-0.0445,-0.8335
-0.5220,-0.0397,-0.8380
-0.5224,-0.0347,-0.8427
-0.5228,-0.0294,-0.8476
-0.5231,-0.0239,-0.8528
-0.5234,-0.0183,-0.8582
-0.5237,-0.0125,-0.8637
-0.5239,-0.0065,-0.8694
-0.5242,-0.0005,-0.8752
-0.5244,0.0057,-0.8811
-0.5245,0.0119,-0.8870
-0.5247,0.0184,-0.8934
-0.5248,0.0250,-0.8998
-0.5249,0.0316,-0.9063
-0.5249,0.0383,-0.9128
-0.5249,0.0451,-0.9194
-0.5249,0.0519,-0.9260
-0.5248,0.0587,-0.9327
-0.5247,0.0655,-0.9393
-0.5245,0.0724,-0.9460
-0.5244,0.0792,-0.9526
-0.5242,0.0861,-0.9592
-0.5239,0.0930,-0.9659
-0.5233,0.0998,-0.9728
-0.5226,0.1065,-0.9797
-0.5217,0.1131,-0.9864
-0.5207,0.1196,-0.9933
-0.5195,0.1261,-1.0002
-0.5182,0.1326,-1.0072
-0.5168,0.1391,-1.0143
-0.5153,0.1455,-1.0214
-0.5138,0.1519,-1.0285
-0.5121,0.1582,-1.0357
-0.5103,0.1644,-1.0428
-0.5084,0.1706,-1.0500
-0.5065,0.1768,-1.0572
-0.5045,0.1829,-1.0643
-0.5024,0.1889,-1.0715
-0.5003,0.1949,-1.0786
-0.4981,0.2008,-1.0857
-0.4959,0.2067,-1.0927
-0.4936,0.2125,-1.0997
-0.4913,0.2184,-1.1067
-0.4890,0.2242,-1.1137
-0.4866,0.2300,-1.1206
-0.4842,0.2357,-1.1275
-0.4818,0.2415,-1.1344
-0.4794,0.2472,-1.1412
-0.4770,0.2529,-1.1479
-0.4745,0.2586,-1.1546
-0.4721,0.2642,-1.1613
-0.4696,0.2698,-1.1680
-0.4671,0.2754,-1.1745
-0.4645,0.2810,-1.1811
-0.4620,0.2864,-1.1875
-0.4593,0.2918,-1.1939
-0.4567,0.2971,-1.2002
-0.4540,0.3023,-1.2064
-0.4513,0.3075,-1.2126
-0.4485,0.3125,-1.2187
-0.4458,0.3176,-1.2248
-0.4430,0.3225,-1.2308
-0.4402,0.3275,-1.2368
-0.4374,0.3325,-1.2427
-0.4346,0.3375,-1.2486
-0.4318,0.3425,-1.2544
-0.4290,0.3475,-1.2602
-0.4262,0.3525,-1.2660
-0.4234,0.3575,-1.2717
-0.4206,0.3625,-1.2774
-0.4178,0.3675,-1.2831
-0.4150,0.3725,-1.2887
-0.4122,0.3775,-1.2942
-0.4094,0.3825,-1.2997
-0.4065,0.3874,-1.3052
-0.4037,0.3924,-1.3106
-0.4009,0.3973,-1.3160
-0.3980,0.4022,-1.3214
-0.3952,0.4072,-1.3267
-0.3923,0.4120,-1.3319
-0.3895,0.4169,-1.3372
-0.3866,0.4218,-1.3423
-0.3837,0.4266,-1.3474
-0.3808,0.4314,-1.3525
-0.3779,0.4362,-1.3576
-0.3750,0.4410,-1.3626
-0.3721,0.4458,-1.3675
-0.3692,0.4505,-1.3724
-0.3663,0.4552,-1.3773
-0.3633,0.4600,-1.3821
-0.3604,0.4646,-1.3869
-0.3574,0.4693,-1.3916
-0.3544,0.4738,-1.3963
-0.3514,0.4783,-1.4009
-0.3483,0.4827,-1.4054
-0.3452,0.4871,-1.4099
-0.3422,0.4915,-1.4144
-0.3390,0.4958,-1.4188
-0.3359,0.5000,-1.4231
-0.3328,0.5043,-1.4274
-0.3296,0.5085,-1.4317
-0.3264,0.5126,-1.4359
-0.3232,0.5167,-1.4401
-0.3200,0.5208,-1.4442
-0.3168,0.5248,-1.4483
-0.3135,0.5287,-1.4523
-0.3102,0.5326,-1.4562
-0.3069,0.5365,-1.4602
-0.3036,0.5404,-1.4640
-0.3003,0.5442,-1.4679
-0.2970,0.5480,-1.4717
-0.2937,0.5517,-1.4754
-0.2903,0.5554,-1.4791
-0.2869,0.5591,-1.4828
-0.2836,0.5629,-1.4866
-0.2803,0.5667,-1.4903
-0.2769,0.5704,-1.4940
-0.2736,0.5741,-1.4977
-0.2702,0.5778,-1.5011
-0.2668,0.5815,-1.5047
-0.2634,0.5852,-1.5082
-0.2601,0.5889,-1.5117
-0.2567,0.5925,-1.5151
-0.2532,0.5959,-1.5185
