tr,cr,fr,z
0.038,0.073,-1.181,0
0.034,0.073,-1.182,0
0.031,0.073,-1.182,0
0.028,0.073,-1.182,0
0.024,0.073,-1.182,0
0.021,0.073,-1.183,0
0.017,0.073,-1.183,0
0.014,0.073,-1.183,0
0.01,0.073,-1.183,0
0.007,0.074,-1.183,0
0.003,0.074,-1.183,0
0,0.074,-1.183,0
-0.003,0.074,-1.183,0
-0.007,0.073,-1.183,0
-0.01,0.073,-1.183,0
-0.014,0.073,-1.183,0
-0.017,0.073,-1.183,0
-0.021,0.073,-1.183,0
-0.024,0.073,-1.182,0
-0.028,0.073,-1.182,0
-0.031,0.073,-1.182,0
-0.035,0.073,-1.182,0
-0.038,0.073,-1.181,0
-0.041,0.073,-1.181,0
-0.045,0.073,-1.181,0
-0.048,0.072,-1.18,0
-0.052,0.072,-1.18,0
-0.055,0.072,-1.179,0
-0.059,0.072,-1.179,0
-0.062,0.072,-1.179,0
-0.066,0.071,-1.178,0
-0.069,0.071,-1.177,0
-0.073,0.071,-1.177,0
-0.076,0.071,-1.176,0
-0.079,0.071,-1.176,0
-0.083,0.07,-1.175,0
-0.086,0.07,-1.174,0
-0.09,0.07,-1.174,0
-0.093,0.069,-1.173,0
-0.097,0.069,-1.172,0
-0.1,0.069,-1.171,0
-0.104,0.068,-1.171,0
-0.107,0.068,-1.17,0
-0.11,0.068,-1.169,0
-0.114,0.067,-1.168,0
-0.117,0.067,-1.167,0
-0.121,0.067,-1.166,0
-0.124,0.066,-1.165,0
-0.127,0.066,-1.164,0
-0.131,0.065,-1.163,0
-0.134,0.065,-1.162,0
-0.138,0.065,-1.161,0
-0.141,0.064,-1.16,0
-0.145,0.064,-1.159,0
-0.148,0.063,-1.157,0
-0.151,0.063,-1.156,0
-0.155,0.062,-1.155,0
-0.158,0.062,-1.154,0
-0.161,0.061,-1.152,0
-0.165,0.061,-1.151,0
-0.168,0.06,-1.15,0
-0.172,0.06,-1.148,0
-0.175,0.059,-1.147,0
-0.178,0.058,-1.145,0
-0.182,0.058,-1.144,0
-0.185,0.057,-1.142,0
-0.188,0.057,-1.141,0
-0.192,0.056,-1.139,0
-0.195,0.055,-1.138,0
-0.198,0.055,-1.136,0
-0.202,0.054,-1.135,0
-0.205,0.053,-1.133,0
-0.208,0.053,-1.131,0
-0.211,0.052,-1.13,0
-0.215,0.051,-1.128,0
-0.218,0.051,-1.126,0
-0.221,0.05,-1.124,0
-0.224,0.049,-1.122,0
-0.228,0.048,-1.121,0
-0.231,0.048,-1.119,0
-0.234,0.047,-1.117,0
-0.237,0.046,-1.115,0
-0.241,0.045,-1.113,0
-0.244,0.044,-1.111,0
-0.247,0.044,-1.109,0
-0.25,0.043,-1.107,0
-0.254,0.042,-1.105,0
-0.257,0.041,-1.103,0
-0.26,0.04,-1.1,0
-0.262,0.039,-1.099,0
-0.264,0.039,-1.098,0
-0.266,0.038,-1.096,0
-0.268,0.038,-1.095,0
-0.27,0.037,-1.093,0
-0.273,0.036,-1.092,0
-0.275,0.036,-1.09,0
-0.277,0.035,-1.088,0
-0.28,0.034,-1.086,0
-0.283,0.033,-1.084,0
-0.285,0.033,-1.082,0
