tr,cr,fr,z
0.805,0.313,-1.415,0.000
0.803,0.314,-1.419,0.000
0.801,0.315,-1.423,0.000
0.799,0.317,-1.427,0.000
0.798,0.318,-1.431,0.000
0.796,0.319,-1.434,0.000
0.793,0.321,-1.438,0.000
0.791,0.322,-1.442,0.000
0.789,0.323,-1.446,0.000
0.787,0.325,-1.451,0.000
0.785,0.326,-1.455,0.000
0.783,0.327,-1.459,0.000
0.781,0.329,-1.463,0.000
0.778,0.330,-1.467,0.000
0.776,0.331,-1.471,0.000
0.774,0.333,-1.475,0.000
0.772,0.334,-1.479,0.000
0.770,0.335,-1.483,0.000
0.768,0.337,-1.486,0.000
0.765,0.338,-1.490,0.000
0.763,0.339,-1.494,0.000
0.761,0.340,-1.498,0.000
0.759,0.342,-1.502,0.000
0.756,0.343,-1.506,0.000
0.754,0.344,-1.509,0.000
0.752,0.345,-1.512,0.000
0.751,0.346,-1.514,0.000
0.750,0.346,-1.516,0.000
0.750,0.347,-1.517,0.000
0.749,0.347,-1.517,0.000
0.749,0.347,-1.518,0.000
0.748,0.348,-1.519,0.000
0.747,0.348,-1.521,0.000
0.746,0.349,-1.523,0.000
0.745,0.349,-1.525,0.000
0.743,0.350,-1.527,0.000
0.742,0.351,-1.529,0.000
0.740,0.351,-1.532,0.000
0.739,0.352,-1.534,0.000
0.737,0.353,-1.537,0.000
0.735,0.354,-1.540,0.000
0.733,0.355,-1.543,0.000
0.731,0.356,-1.546,0.000
0.729,0.357,-1.549,0.000
0.727,0.358,-1.552,0.000
0.725,0.359,-1.556,0.000
0.723,0.360,-1.559,0.000
0.720,0.361,-1.562,0.000
0.718,0.362,-1.566,0.000
0.716,0.363,-1.569,0.000
0.713,0.365,-1.572,0.000
0.711,0.366,-1.576,0.000
0.708,0.367,-1.579,0.000
0.706,0.368,-1.583,0.000
0.703,0.369,-1.586,0.000
0.701,0.370,-1.590,0.000
0.698,0.371,-1.593,0.000
0.696,0.372,-1.597,0.000
0.693,0.373,-1.600,0.000
0.691,0.374,-1.604,0.000
0.688,0.375,-1.607,0.000
0.685,0.376,-1.611,0.000
0.683,0.377,-1.614,0.000
0.680,0.378,-1.618,0.000
0.677,0.379,-1.621,0.000
0.674,0.380,-1.624,0.000
0.672,0.381,-1.628,0.000
0.669,0.382,-1.631,0.000
0.666,0.383,-1.635,0.000
0.663,0.384,-1.638,0.000
0.660,0.385,-1.641,0.000
0.657,0.386,-1.645,0.000
0.655,0.387,-1.648,0.000
0.652,0.388,-1.651,0.000
0.649,0.389,-1.655,0.000
0.646,0.390,-1.658,0.000
0.643,0.391,-1.661,0.000
0.640,0.392,-1.664,0.000
0.637,0.393,-1.668,0.000
0.634,0.394,-1.671,0.000
0.631,0.394,-1.674,0.000
0.628,0.395,-1.677,0.000
0.625,0.396,-1.680,0.000
0.622,0.397,-1.683,0.000
0.619,0.398,-1.687,0.000
0.616,0.399,-1.690,0.000
0.613,0.399,-1.693,0.000
0.610,0.400,-1.696,0.000
0.607,0.401,-1.699,0.000
0.603,0.402,-1.702,0.000
0.600,0.403,-1.705,0.000
0.597,0.403,-1.708,0.000
0.594,0.404,-1.711,0.000
0.591,0.405,-1.714,0.000
0.588,0.406,-1.717,0.000
0.584,0.406,-1.720,0.000
0.581,0.407,-1.722,0.000
0.578,0.408,-1.725,0.000
0.575,0.408,-1.728,0.000
0.572,0.409,-1.731,0.000
0.568,0.410,-1.734,0.000
0.565,0.410,-1.737,0.000
