x,y
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
398,283
397.85546875,283.19921875
398.125,283.27734375
398.3671875,283.15625
397.65234375,282.76953125
397.765625,282.6171875
397.796875,282.9140625
397.375,281.80859375
398.34765625,283.2734375
397.765625,283.5
397.81640625,283.27734375
397.71484375,282.8359375
397.6875,282.66015625
397.83984375,282.734375
397.20703125,282.484375
397.734375,282.68359375
397.59765625,282.5
397.5,282.16796875
397.5,282.26953125
397.76953125,282.63671875
396.74609375,281.5
398.19921875,283.5
397.8125,283
398.3671875,283.48046875
398.11328125,283.34765625
397.7265625,282.73828125
397.64453125,282.5
398.11328125,283.5
398.3203125,283.5
397.81640625,283.5
398.25390625,283.4296875
397.6171875,282.8515625
397.5703125,282.8515625
397.6640625,282.81640625
397.83984375,282.82421875
397.67578125,282.75390625
397.81640625,282.58203125
397.79296875,282.7734375
397.71875,282.5
397.625,282.625
398.26171875,283.328125
397.4296875,283.16015625
397.75,282.84375
398.29296875,283.5
398.29296875,283.23046875
397.7421875,282.90234375
397.71875,282.86328125
397.515625,282.77734375
397.6171875,283.02734375
397.45703125,282.70703125
397.53515625,283.36328125
397.4140625,283.36328125
397.32421875,283.36328125
397.52734375,282.453125
397.6015625,283.2734375
396.546875,282.5546875
397.46875,283.36328125
397.53125,283.546875
397.5390625,283.203125
397.6171875,283.3828125
397.87109375,283.359375
397.61328125,283.47265625
397.57421875,283.36328125
397.92578125,283.32421875
397.48046875,282.36328125
397.4921875,283.1796875
397.53125,282.36328125
397.984375,283.36328125
397.44921875,283.36328125
397.3046875,282.69921875
397.30078125,282.640625
397.40625,282.36328125
397.57421875,282.78515625
398.00390625,283.21875
397.26171875,282.99609375
397.68359375,283.40625
396.890625,282.28515625
397.203125,282.70703125
397.3046875,283.28515625
397.20703125,283.28515625
397.4296875,283.2890625
397.24609375,283.37109375
397.37109375,283.32421875
397.21875,283.28515625
397.22265625,283.28515625
396.984375,283.28515625
396.78125,283.04296875
397.171875,283.52734375
396.88671875,283.28515625
396.9375,283.28515625
396.84375,283.28515625
396.87109375,283.28515625
396.69140625,283.18359375
396.33984375,283.3125
397.33984375,283.5625
397.36328125,283.39453125
397.54296875,283.35546875
397.12109375,283.28515625
397.453125,283.39453125
397.46484375,283.33203125
397.453125,283.33984375
397.70703125,283.59375
397.79296875,283.5625
397.4140625,283.28515625
397.48828125,283.28515625
397.44921875,283.37890625
397.7109375,283.28515625
397.87890625,283.28515625
397.91015625,283.28125
397.84765625,283.28515625
397.51953125,283
397.84765625,283.0859375
398.3984375,283.48828125
397.9375,283.28515625
397.96484375,283.28515625
397.88671875,283.07421875
397.328125,282.44921875
398.07421875,283.25390625
398.16015625,283.28515625
398.3828125,283.6171875
398.453125,283.28515625
398.52734375,283.1640625
399.1015625,283.78515625
398.94921875,284.1015625
399.32421875,284.28515625
398.84765625,283.57421875
399.6015625,283.62109375
400.89453125,284.33203125
401.76171875,284.28515625
402.3359375,284.0546875
404.6015625,284.125
405.94921875,284.4140625
407.54296875,284.0390625
408.77734375,283.28515625
411.21875,283.34375
412.6875,282.4140625
414.98046875,283.08203125
418.328125,283.4140625
419.8828125,282.4453125
421.1875,282.55859375
423.6015625,282.07421875
425.98828125,282.28515625
428.33203125,282.2421875
431.921875,281.28515625
434.73828125,276.9296875
436.6015625,271.12890625
439.94140625,265.4140625
441.765625,258.41015625
444.87109375,253.41015625
446.10546875,247.609375
445.58203125,242.25
445.13671875,236.7734375
445.0859375,232.7890625
445.99609375,228.75
446.28515625,223.9375
447.81640625,218.640625
451.08203125,214.4921875
452.84765625,207.75
457.08203125,203.90234375
460.08203125,197.625
464.9453125,192.64453125
469.203125,187.7578125
474.25,183.62890625
479.875,178.75
484.9765625,174.75
491.02734375,170.71875
497.97265625,168.60546875
503.9609375,163.75
511.2265625,160.75
518.03125,155.75
529.25390625,149.75
536.12890625,145.75
539.8984375,143.25
546.2578125,140.71875
551.34375,138.73828125
557.20703125,138.23828125
562.26953125,136.8359375
569.02734375,135.953125
576.10546875,135.23828125
579.74609375,134.8515625
586.71484375,135.3515625
593.8203125,135.125
600.65625,135.44140625
606.984375,135.3515625
613.08203125,135.0234375
620.58984375,135.7890625
627.203125,136.78125
634.24609375,138.125
640.76953125,139.0234375
647.03515625,140.73828125
653.91796875,142.328125
659.73828125,142.640625
665.84375,145.9921875
672.12890625,148.375
677.4375,149.96875
682.31640625,153.6484375
686.44921875,157.12109375
690.703125,160.4765625
694.69140625,165.03125
697.8125,168.48046875
701.2890625,174.26171875
704.05859375,178.49609375
706.6171875,183.05078125
708.796875,187.7890625
710.50390625,193.53125
713.0234375,198.83203125
716.23828125,203.296875
718.828125,209.7890625
721.06640625,214.8984375
728.51953125,228.26171875
725.5,222.7109375
725.9375,222.9375
727.1796875,223.171875
726.76171875,223.27734375
726.81640625,222.76171875
726.3515625,222.51953125
725.5,224.4609375
726.55078125,222.328125
725.46484375,222.9921875
726.27734375,222.15234375
725.73046875,221.34765625
725.359375,220.34765625
724.8203125,221.87890625
726.58203125,220.84765625
727.72265625,221.140625
727.8203125,220.34765625
728.09765625,219.6171875
728.18359375,220.34765625
729.34375,221.47265625
728.9921875,220.45703125
729.58984375,220.84765625
729.62109375,220.34765625
729.39453125,219.84765625
729.51171875,219.84765625
729.43359375,219.84765625
730.07421875,220.84765625
723.31640625,221.34765625
724.375,221.97265625
723.94921875,221.09765625
722.6640625,223.09765625
731,228.125
731.1953125,228.31640625
731.19921875,228.31640625
731.234375,228.31640625
731.3203125,228.359375
731.1953125,228.40234375
731.09765625,228.31640625
731.04296875,228.31640625
731.10546875,228.31640625
731.1953125,228.31640625
731.1953125,228.3984375
731.12890625,228.31640625
731.12890625,228.31640625
731.40234375,228.41796875
731.953125,229.09765625
732.921875,229.41796875
733.02734375,230.0859375
733.203125,229.81640625
732.87109375,229.31640625
733.02734375,229.4296875
733.94921875,229.9296875
734.3046875,229.9296875
731.984375,229.4296875
734.5546875,229.80078125
734.296875,229.6171875
734.359375,230.46875
734.75,230.8515625
734.1015625,230.515625
734.66015625,230.80078125
735.82421875,231.00390625
735.75390625,232.18359375
736.5,232.5
737,234.00390625
737.34765625,235.12109375
738.1875,238.24609375
741.125,243.125
741.15234375,243.4921875
741.3984375,243.4921875
741.703125,244.53515625
741.734375,244.53515625
741.921875,245.03515625
742.05859375,245.53515625
741.93359375,245.5625
742.46875,245.53515625
743.55078125,245.53515625
742.921875,246.03515625
742.78515625,246.03515625
743.921875,246.03515625
742.80859375,247.03515625
742.72265625,247.03515625
743.06640625,247.53515625
743.72265625,247.49609375
743.1328125,247.53515625
743.86328125,247.03515625
744.40625,247.03515625
743.921875,247.53515625
743.9453125,247.53515625
744.26171875,247.453125
744.56640625,247.27734375
743.93359375,247.53515625
744.9140625,247.03515625
744.546875,247.03515625
744.4453125,247.03515625
745.265625,247.03515625
745.359375,247.03515625
744.8359375,247.53515625
744.81640625,247.53515625
745.3984375,247.03515625
745.3984375,247.03515625
745.36328125,247.15625
745.4296875,247.109375
745.4296875,247.2890625
745.4296875,247.2890625
745.6484375,247.0859375
744.9609375,247.03515625
744.72265625,247.90234375
744.3203125,248.03515625
745.18359375,248.03515625
745.03515625,248.03515625
745.64453125,248.09765625
744.22265625,248.171875
745.02734375,248.03515625
745.0546875,248.03515625
745.50390625,248.03515625
746.015625,248.03515625
744.72265625,248.03515625
744.328125,248.03515625
745.72265625,248.40234375
745.14453125,248.03515625
746.0859375,248.03515625
746.51953125,248.03515625
745.33203125,248.109375
745.44921875,248.046875
745.046875,248.03515625
745.02734375,248.03515625
744.50390625,248.03515625
743.72265625,248.33984375
744.22265625,248.49609375
744.22265625,248.49609375
743.84375,248.3984375
744.22265625,247.7734375
743.4609375,248.3984375
743.22265625,248.1796875
743.78515625,248.25390625
743.78515625,248.25390625
743.609375,248.44140625
743.94140625,248.4921875
743.8125,248.54296875
743.72265625,249.1640625
743.72265625,248.64453125
743.72265625,249.20703125
744.22265625,248.43359375
744.77734375,248.0703125
744.46484375,248.375
743.67578125,248.49609375
745.32421875,247.33984375
746.22265625,246.70703125
747.01171875,246.97265625
746.7734375,246.83984375
745.72265625,247.69140625
745.5234375,248.33984375
745.22265625,247.65625
745.7890625,248.33984375
744.72265625,248.57421875
744.22265625,248.9609375
744.453125,248.33984375
744.20703125,248.06640625
745.22265625,247.61328125
744.05859375,248.33984375
745.07421875,247.33984375
745.22265625,246.96875
744.4296875,247.76171875
743.4140625,248.1640625
743.22265625,247.94921875
744.22265625,247.73828125
744.1171875,248.2890625
744.22265625,247.40234375
744.59765625,247.11328125
744.22265625,247.58984375
743.75390625,248.33984375
744.22265625,247.48828125
744.45703125,247.3828125
744.15234375,247.19921875
745.22265625,246.82421875
745.328125,246.75
744.96875,247.33984375
744.94140625,247.1328125
745.22265625,246.921875
745.14453125,247.05078125
745.05078125,246.93359375
745.22265625,246.71875
745.0703125,247.33984375
744.78125,247.01953125
745.22265625,246.65234375
745.02734375,247.33984375
745.22265625,246.6171875
745.203125,247.1171875
745.171875,247.13671875
745.22265625,247.03515625
745.47265625,246.546875
745.3046875,246.55078125
744.37109375,247.33984375
744.07421875,247.015625
744.8203125,246.92578125
744.8203125,246.92578125
744.94140625,246.9765625
744.22265625,246.9609375
744.078125,247.02734375
744.22265625,246.90625
745.2421875,246.453125
746.23828125,245.76953125
746.22265625,245.98046875
746.22265625,245.98046875
746.22265625,245.61328125
746.5625,246.33984375
746.22265625,245.98046875
747.05078125,245.98046875
746.265625,246.53515625
746.22265625,247.078125
746.23046875,246.33984375
747.13671875,245.96875
747.10546875,246.0546875
747.10546875,246.0546875
747.23828125,246.44140625
746.92578125,246.5
747.22265625,245.875
747.22265625,245.91796875
748.22265625,245.69140625
748.03515625,246.33984375
748.22265625,245.5625
748.41015625,245.375
748.22265625,244.96875
749.22265625,244.671875
749.4921875,245.33984375
749.22265625,244.63671875
749.6484375,245.33984375
748.75,245.4765625
748.75,245.80859375
748.6484375,245.4765625
748.75,245.80859375
748.62109375,245.4765625
748.25,246.05859375
748.0390625,245.4765625
749.3125,245.68359375
748.91015625,245.4765625
749.53125,245.58984375
749.71484375,245.75390625
749.4375,245.4765625
750.44140625,245.5
749.75,245.7109375
750.1171875,245.4765625
750.64453125,245.4765625
751.0625,245.4765625
750.828125,245.4765625
751.25,245.53515625
750.2109375,245.4765625
749.25,245.87109375
749.25,245.55859375
748.25,246.35546875
749.30859375,245.4921875
748.75,246.1640625
749.25,245.62890625
747.87109375,246.4765625
748.38671875,246.4765625
748.25,246.53515625
747.5234375,246.4765625
747.8359375,246.4765625
747.7734375,246.4765625
747.75,246.4765625
747.61328125,246.4765625
747.953125,246.4765625
748.46484375,246.4765625
748.39453125,246.4765625
748.609375,246.4765625
748.62890625,246.4765625
748.35546875,246.4765625
748.34765625,246.4765625
748.421875,246.52734375
748.3515625,246.53515625
748.29296875,246.5625
748.65625,246.6484375
748.25,246.609375
747.25,247.28515625
747.75,246.4765625
749.46875,246.5859375
749.75,246.49609375
749.25,246.79296875
748.75,246.49609375
750.27734375,246.51171875
749.25,246.59375
749.25,246.546875
748.25,246.8359375
747.75,246.4765625
749.25,246.66796875
748.75,246.51171875
750.49609375,246.72265625
749.81640625,246.4765625
749.25,246.625
748.25,246.6953125
748.4453125,246.4765625
749.25,246.765625
748.75,246.5
750.25,246.51171875
749.25,246.6796875
748.75,246.57421875
749.09765625,247.234375
748.75,246.62890625
750.25,246.63671875
748.75,246.59375
750.25,246.796875
749.640625,246.4765625
751.25,246.546875
750.75,246.58984375
750.33203125,246.87109375
749.9375,246.57421875
751.25,246.625
750.25,246.828125
749.75,246.5390625
749.17578125,247.265625
749.75,246.6328125
750.25,246.63671875
749.97265625,246.4765625
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
749.47265625,246.7578125
