jointFR1,jointFR2,jointFR3,footFRx,footFRy,footFRz,jointMR1,jointMR2,jointMR3,footMRx,footMRy,footMRz,jointHR1,jointHR2,jointHR3,footHRx,footHRy,footHRz
0.77448236942291,0.67435050010681,-1.7432552576065,0.31943473219872,-0.18854475021362,0.4503601193428,0.25166070461273,0.59544467926025,-1.5975980758667,0.11364219337702,-0.20286077260971,0.45445340871811,-0.52461290359497,0.51293653249741,-1.5392100811005,-0.1177946254611,-0.22216755151749,0.40704724192619
0.77491569519043,0.67242479324341,-1.7433289289474,0.31940901279449,-0.18835969269276,0.44991147518158,0.25226897001266,0.59342509508133,-1.5984553098679,0.11369769275188,-0.20258371531963,0.45403671264648,-0.52530068159103,0.51268750429153,-1.5411959886551,-0.11773376166821,-0.22174587845802,0.4067796766758
0.77534878253937,0.67043840885162,-1.7433451414108,0.31938323378563,-0.18819558620453,0.44945105910301,0.25287574529648,0.59140211343765,-1.5993095636368,0.11374981701374,-0.20232319831848,0.45361402630806,-0.52599376440048,0.51244759559631,-1.543189406395,-0.11767573654652,-0.22133655846119,0.40650644898415
0.7757865190506,0.66842555999756,-1.7433416843414,0.31935033202171,-0.18801298737526,0.44900298118591,0.25347834825516,0.58938229084015,-1.6001688241959,0.11379306018353,-0.20204944908619,0.4532016813755,-0.52669334411621,0.51221120357513,-1.5451840162277,-0.11762404441833,-0.22092095017433,0.4062374830246
0.77623462677002,0.66640102863312,-1.7433353662491,0.31932416558266,-0.18781742453575,0.44855135679245,0.25408113002777,0.5873726606369,-1.6010435819626,0.11384174227715,-0.20176286995411,0.45279201865196,-0.52739948034286,0.51198327541351,-1.5471884012222,-0.11756687611341,-0.22049397230148,0.40597546100616
0.77668845653534,0.66435670852661,-1.7433137893677,0.31930378079414,-0.18764261901379,0.44808360934258,0.25468599796295,0.58535438776016,-1.6019098758698,0.11389500647783,-0.20149166882038,0.45237293839455,-0.52810031175613,0.51175183057785,-1.5491924285889,-0.11750228703022,-0.22007697820663,0.40570774674416
0.77714323997498,0.66229814291,-1.7432789802551,0.3192752301693,-0.18746981024742,0.44762191176414,0.25528913736343,0.58332312107086,-1.6027591228485,0.11393950134516,-0.2012257874012,0.45195585489273,-0.52877980470657,0.51149868965149,-1.5511800050735,-0.11743927001953,-0.21967016160488,0.40543353557587
0.77760350704193,0.66023880243301,-1.7432465553284,0.31924530863762,-0.18727193772793,0.447171241045,0.25589191913605,0.58129280805588,-1.6036103963852,0.11398237943649,-0.20093955099583,0.45154869556427,-0.5294401049614,0.51122802495956,-1.5531576871872,-0.11737162619829,-0.21925200521946,0.40516483783722
0.77806973457336,0.65817272663116,-1.7432088851929,0.31922453641891,-0.18708176910877,0.44670739769936,0.2564982175827,0.5792583823204,-1.6044592857361,0.11403381824493,-0.20065648853779,0.45113551616669,-0.53008204698563,0.51094579696655,-1.5551323890686,-0.11729291826487,-0.21883398294449,0.40489557385445
0.77853548526764,0.65609121322632,-1.7431534528732,0.31920185685158,-0.18691170215607,0.44623655080795,0.2571057677269,0.57720392942429,-1.6052820682526,0.11408293992281,-0.20039138197899,0.45071542263031,-0.53070741891861,0.51064389944077,-1.5570919513702,-0.11721336096525,-0.21843114495277,0.40461748838425
0.77900123596191,0.65400648117065,-1.743093252182,0.31917119026184,-0.18672367930412,0.44578105211258,0.25770974159241,0.57514697313309,-1.6061018705368,0.11412273347378,-0.20011229813099,0.45030617713928,-0.53132277727127,0.51032400131226,-1.5590353012085,-0.1171373128891,-0.21802407503128,0.40434125065804
0.77946782112122,0.65194255113602,-1.7430648803711,0.31913781166077,-0.18651886284351,0.44532796740532,0.25830924510956,0.57311761379242,-1.6069617271423,0.1141657307744,-0.19981798529625,0.449901252985,-0.53193205595016,0.5099960565567,-1.5609750747681,-0.11705403774977,-0.21760737895966,0.40407001972198
0.77991938591003,0.6499365568161,-1.7431309223175,0.31909421086311,-0.18632735311985,0.44486725330353,0.25890243053436,0.57111209630966,-1.6078575849533,0.11421059072018,-0.1995363086462,0.44948890805244,-0.5325345993042,0.50965738296509,-1.5629074573517,-0.1169661283493,-0.21720014512539,0.40379348397255
0.78034746646881,0.64801096916199,-1.7433228492737,0.31902679800987,-0.18612940609455,0.44442057609558,0.25948584079742,0.56912440061569,-1.6087793111801,0.1142447963357,-0.1992568820715,0.44908040761948,-0.53313279151917,0.50930202007294,-1.5648220777512,-0.11688387393951,-0.21680103242397,0.40351220965385
0.78075909614563,0.64616942405701,-1.7436443567276,0.31894427537918,-0.18589995801449,0.44399157166481,0.26006156206131,0.56716388463974,-1.609739780426,0.11427549272776,-0.1989554464817,0.44868305325508,-0.53373044729233,0.50893759727478,-1.5667285919189,-0.1168013215065,-0.21638931334019,0.40323767066002
0.78115940093994,0.64438927173615,-1.7440646886826,0.31886020302773,-0.18567246198654,0.44355461001396,0.26063603162766,0.56521964073181,-1.6107267141342,0.11431355774403,-0.19865536689758,0.44828072190285,-0.53432583808899,0.50856101512909,-1.5686256885529,-0.11671082675457,-0.21597787737846,0.40296173095703
0.7815455198288,0.64264667034149,-1.7445484399796,0.3187655210495,-0.18546018004417,0.44311526417732,0.26120746135712,0.56327152252197,-1.6117105484009,0.11434792727232,-0.19837154448032,0.44787275791168,-0.53491204977036,0.5081399679184,-1.5704772472382,-0.11662209033966,-0.21558393537998,0.40267330408096
0.78192126750946,0.64094096422195,-1.745090007782,0.31865662336349,-0.18522684276104,0.44269412755966,0.26177424192429,0.56132531166077,-1.6126983165741,0.1143736243248,-0.19807459414005,0.44747504591942,-0.53548866510391,0.5076584815979,-1.5722652673721,-0.11653848737478,-0.21518896520138,0.40238219499588
0.78229463100433,0.63926553726196,-1.7456796169281,0.318549066782,-0.18497973680496,0.44227343797684,0.26234102249146,0.55938678979874,-1.6136997938156,0.11440470069647,-0.19776549935341,0.44707962870598,-0.53605788946152,0.50712764263153,-1.5740048885345,-0.11644882708788,-0.21478743851185,0.4020918905735
0.78266382217407,0.63759934902191,-1.746289730072,0.31844314932823,-0.18475198745728,0.44184011220932,0.26291012763977,0.55743849277496,-1.6146911382675,0.11444018781185,-0.19747160375118,0.4466749727726,-0.5366182923317,0.50655168294907,-1.5756988525391,-0.116355240345,-0.21439750492573,0.40179312229157
