jointHR1,jointHR2,jointHR3,footHRx,footHRy,footHRz,force
-0.90345185995102,0.48552003502846,-1.5974462032318,-0.17448724806309,-0.15445232391357,0.39408826828003,0.0
-0.8734419529254608,0.5050074458122285,-1.6294191800630922,-0.16688853960771077,-0.15793343461477152,0.39548916083115543,0.0
-0.8112085690865176,0.5185937147874085,-1.6296676122225306,-0.1592435653393123,-0.16971138692818924,0.3985866399911754,0.0
-0.7614266505608215,0.5481077891129708,-1.6161962655874462,-0.1559535666154,-0.18167435664397,0.4066927662262523,0.0
-0.7337219623418992,0.6120610145422138,-1.6257115419094383,-0.1551100233426477,-0.18968614018880384,0.41974591750365153,0.0
-0.7108908433180601,0.6776907123052123,-1.6325414730952155,-0.15466699004173617,-0.19701501727104154,0.43356890174058615,0.0
-0.6869733425287061,0.7323941175754269,-1.6250290320469691,-0.15417626729378692,-0.20517089619086692,0.4469507932662915,0.0
-0.6607694350756124,0.7725943785447377,-1.6010835812641846,-0.15341914502474155,-0.21435385025464307,0.45965482409183767,0.0
-0.6353280085783747,0.8095148022358231,-1.5737686432325,-0.15217946011286615,-0.22308688209607308,0.47261652808922844,0.0
-0.6112243762383069,0.8467667286212608,-1.5470435894452539,-0.15043850701588693,-0.23101685826594845,0.4860284878657423,0.0
-0.586928995756,0.8781710679714462,-1.5141533063008386,-0.14824978204874,-0.23894514601964228,0.4993803386504808,0.0
-0.5595199053104092,0.9001118770012476,-1.4729211605512307,-0.14506128544990923,-0.24741721726381077,0.5121815388019269,0.0
-0.529123333784253,0.9114500421744123,-1.4226851738416386,-0.14084451588300387,-0.25650253662696076,0.5242073765167838,0.0
-0.49163845181465,0.90578484535217,-1.3622471094131,-0.13457532227039,-0.2669253051281,0.5338928103447,0.0
-0.4481373291749231,0.8789069835956262,-1.291186112623977,-0.12645921340355845,-0.2786293259033769,0.5400161743164061,0.0
-0.40258792271981003,0.830734230004823,-1.215609944783723,-0.1171073615551,-0.2905736015393192,0.5408747333746668,0.0
-0.36420991787543233,0.7712839704293455,-1.167544557498046,-0.10813692269416847,-0.2990333139896392,0.5328642313297015,0.0
-0.3384527747447677,0.7198033149425761,-1.1575146088233617,-0.10100387495297845,-0.30258429967440004,0.5198794740896955,0.0
-0.31623129661266847,0.6762327322593131,-1.164902723752531,-0.09398051695181762,-0.30372366538414997,0.5060060620307931,0.0
-0.2937384568727969,0.636966554018167,-1.1792328632795077,-0.08650229527400047,-0.3035153930003823,0.4922297757405539,0.0
-0.2710798612007724,0.6009902312205377,-1.1985819156353077,-0.07870176950326287,-0.30202686786651306,0.4787287047276154,0.0
-0.2466567021149877,0.5758430132499123,-1.232073307037354,-0.07005089693344538,-0.29860619169015384,0.4662032242004661,0.0
-0.22290401275341232,0.5647293375088616,-1.2850738855508537,-0.06139215741019961,-0.2925634659253646,0.4547492105227285,0.0
-0.20533685500805232,0.5595892346822315,-1.349458905366777,-0.05443371058656654,-0.2841349450441485,0.44364044070243847,0.0
-0.19484298962813465,0.552804905634657,-1.4149486376688847,-0.049393749580933316,-0.2742197192632208,0.43265473154875,0.0
-0.1895167139860277,0.5435342742846584,-1.4789792299271076,-0.0456889991003737,-0.2632753757330116,0.4220910828847131,0.0
-0.18704354763031,0.5351665019989,-1.5446115732193,-0.042599860578775,-0.2513230741024,0.41246902942657,0.0
-0.1853255125192523,0.52737606488741,-1.6112451278246307,-0.039591147349431234,-0.23861912924509462,0.4038409155148723,0.0
-0.1810737573183485,0.5349356440397446,-1.6918399700751536,-0.035829886507529704,-0.2246655386227831,0.3983186850181008,0.0
-0.1730121924327,0.5623617172241215,-1.7881098802273228,-0.031405937499724854,-0.20986898931173312,0.3962151683293869,0.0
-0.1837793359389631,0.58959659246298,-1.879054069519077,-0.031382558724054696,-0.1951974240633154,0.39510455269079847,1.0
-0.2529931526917684,0.5995345344910231,-1.9140990514021845,-0.04284400263657922,-0.18724676508169769,0.3946058085331531,1.0
-0.3398349376825199,0.6002030647717992,-1.9133906456140155,-0.057729484943243516,-0.18297611750089537,0.3944783692176523,1.0
-0.4265037752114821,0.5973564478067246,-1.9007176344211154,-0.07293830754665195,-0.17916085399113693,0.3944211189563423,1.0
-0.51043594800509,0.5913913525067823,-1.8791889319053308,-0.08817840539492101,-0.17540739132807615,0.39437183508506074,1.0
-0.5905900551722552,0.5821337470641484,-1.8492531593029078,-0.10341091797902226,-0.17166959895537384,0.3943215654446523,1.0
-0.6656172275543207,0.5688597559928923,-1.8099320668440768,-0.11864164930123383,-0.16816618006963155,0.3942677241105262,1.0
-0.7359357109436608,0.5519069203963631,-1.7629596453446768,-0.13387391888178157,-0.16454533430246307,0.39421809178132305,1.0
-0.8015844271733168,0.5311284386194709,-1.7086647840647002,-0.14911100841485378,-0.16081722997702,0.39416927328476387,1.0
-0.86224853992462,0.50598794221878,-1.6463996171951,-0.16435571014881,-0.15708538889885,0.39411741495132,1.0
