Time (s),CPG0,CPG1,Z_POS (Meters),CL0 (Degrees),FL0 (Degrees),TL0 (Degrees)
38.949999,-0.8635,-0.1197,-1.926,2.552,1.985,1.921
38.969999,-0.8627,0.1165,-1.925,2.551,1.984,1.997
38.989999,-0.8547,0.3511,-1.925,2.55,1.984,2.072
39.009999,-0.8404,0.5201,-1.925,2.548,1.984,2.136
39.029999,-0.827,0.6178,-1.925,2.532,1.984,2.185
39.049999,-0.7921,0.7305,-1.925,2.499,1.984,2.22
39.069999,-0.7485,0.8101,-1.925,2.457,1.984,2.244
39.089999,-0.7072,0.8458,-1.925,2.415,1.984,2.26
39.109999,-0.676,0.8552,-1.925,2.384,1.984,2.275
39.129999,-0.6539,0.8557,-1.924,2.361,1.984,2.289
39.149999,-0.6277,0.8603,-1.913,2.342,1.984,2.305
39.169999,-0.5915,0.8674,-1.891,2.326,1.984,2.32
39.189999,-0.5463,0.8723,-1.883,2.309,1.984,2.333
39.209999,-0.4843,0.877,-1.902,2.289,1.984,2.341
39.219999,-0.4044,0.8778,-1.931,2.27,1.984,2.334
39.239999,-0.3117,0.8715,-1.926,2.239,1.986,2.306
39.259999,-0.1922,0.863,-1.925,2.2,1.984,2.268
39.279999,-0.02766,0.8516,-1.918,2.17,1.984,2.243
39.299999,0.2011,0.835,-1.863,2.166,1.983,2.244
39.319999,0.4819,0.8085,-1.78,2.192,1.983,2.271
39.339999,0.7216,0.7645,-1.7,2.222,1.984,2.305
39.359999,0.8408,0.6983,-1.663,2.227,1.984,2.319
39.379999,0.8802,0.6283,-1.665,2.204,1.984,2.301
39.399999,0.8879,0.5526,-1.656,2.166,1.984,2.252
39.419999,0.8814,0.4127,-1.669,2.124,1.984,2.168
39.439999,0.8697,0.2714,-1.693,2.085,1.984,2.05
39.459999,0.8533,0.1051,-1.714,2.059,1.984,1.906
39.469999,0.8316,-0.09581,-1.72,2.05,1.984,1.807
39.489999,0.8169,-0.3425,-1.732,2.026,1.984,1.622
39.499999,0.7848,-0.6033,-1.733,2.01,1.984,1.531
39.519999,0.7352,-0.7835,-1.747,1.987,1.983,1.391
39.529999,0.6727,-0.8582,-1.763,1.98,1.984,1.331
39.549999,0.6035,-0.8768,-1.802,1.967,1.984,1.237
39.569999,0.5328,-0.878,-1.827,1.96,1.984,1.167
39.589999,0.4565,-0.8736,-1.841,1.953,1.984,1.116
39.609999,0.3738,-0.8688,-1.845,1.945,1.984,1.081
39.629999,0.2822,-0.8645,-1.826,1.941,1.984,1.062
39.639999,0.1616,-0.8563,-1.824,1.942,1.984,1.067
39.659999,-0.003464,-0.8438,-1.863,1.945,1.984,1.084
39.679999,-0.227,-0.8244,-1.924,1.943,1.984,1.113
39.699999,-0.4918,-0.7935,-1.926,1.938,1.981,1.137
39.719999,-0.7166,-0.7457,-1.925,1.939,1.979,1.171
39.739999,-0.8368,-0.6762,-1.925,1.957,1.999,1.228
39.759999,-0.8763,-0.5945,-1.925,1.994,2.132,1.314
39.779999,-0.8829,-0.5084,-1.912,2.108,2.252,1.447
39.799999,-0.8794,-0.4138,-1.914,2.287,2.102,1.646
39.819999,-0.877,-0.2611,-1.926,2.398,1.995,1.816
39.839999,-0.8703,-0.05427,-1.925,2.463,1.985,1.949
39.849999,-0.8595,0.1911,-1.925,2.475,1.985,2.011
39.869999,-0.8476,0.4162,-1.925,2.471,1.984,2.108
39.889999,-0.8207,0.6021,-1.925,2.448,1.984,2.17
39.909999,-0.7857,0.7348,-1.925,2.422,1.984,2.21
39.929999,-0.7494,0.8056,-1.925,2.395,1.984,2.235
39.949999,-0.6953,0.8557,-1.904,2.364,1.984,2.258
39.969999,-0.6339,0.8781,-1.848,2.339,1.984,2.28
39.989999,-0.5755,0.882,-1.779,2.32,1.984,2.302
40.009999,-0.4996,0.8866,-1.709,2.302,1.984,2.322
40.029999,-0.4146,0.8834,-1.682,2.28,1.984,2.331
40.049999,-0.3215,0.8745,-1.69,2.247,1.984,2.323
40.069999,-0.2093,0.8634,-1.703,2.208,1.984,2.293
40.089999,-0.0597,0.8508,-1.736,2.163,1.984,2.232
40.099999,0.144,0.8334,-1.76,2.133,1.984,2.165
40.119999,0.4112,0.8107,-1.74,2.087,1.984,2.025
40.139999,0.671,0.7738,-1.66,2.061,1.984,1.862
40.159999,0.823,0.7188,-1.644,2.043,1.984,1.688
40.169999,0.8772,0.656,-1.675,2.028,1.984,1.593
40.189999,0.89,0.5933,-1.787,2.002,1.984,1.438
40.199999,0.8896,0.5242,-1.855,1.992,1.984,1.37
40.219999,0.8853,0.4515,-1.931,1.986,1.982,1.27
40.239999,0.8795,0.369,-1.921,1.972,1.984,1.19
40.249999,0.8721,0.2681,-1.911,1.965,1.984,1.157
40.259999,0.8633,0.1402,-1.898,1.96,1.984,1.136
40.279999,0.8505,-0.03537,-1.861,1.952,1.984,1.114
40.299999,0.8308,-0.2707,-1.803,1.95,1.984,1.118
40.309999,0.7995,-0.5382,-1.761,1.958,1.984,1.135
40.329999,0.7525,-0.7475,-1.677,1.965,1.984,1.167
40.349999,0.6933,-0.8475,-1.628,1.964,1.984,1.199
40.359999,0.6267,-0.8764,-1.621,1.963,1.993,1.218
40.379999,0.5585,-0.8804,-1.628,1.965,2.021,1.252
40.389999,0.4871,-0.8771,-1.634,1.968,2.057,1.273
40.409999,0.4067,-0.8711,-1.619,1.979,2.134,1.314
40.429999,0.3196,-0.8665,-1.592,1.996,2.23,1.359
40.439999,0.2116,-0.8598,-1.567,2.013,2.295,1.39
40.459999,0.06534,-0.8491,-1.504,2.061,2.387,1.451
40.469999,-0.1354,-0.8328,-1.459,2.119,2.385,1.497
40.489999,-0.3908,-0.8069,-1.403,2.22,2.363,1.584
40.499999,-0.6428,-0.7659,-1.403,2.266,2.34,1.63
40.519999,-0.8021,-0.7075,-1.458,2.344,2.283,1.709
40.539999,-0.8645,-0.6387,-1.563,2.413,2.199,1.78
40.559999,-0.8808,-0.5662,-1.706,2.476,2.089,1.849
40.579999,-0.8813,-0.4901,-1.875,2.528,2.0,1.913
40.599999,-0.8766,-0.4048,-1.926,2.557,1.986,1.908
40.619999,-0.8694,-0.3017,-1.925,2.555,1.985,1.964
40.639999,-0.8691,-0.1197,-1.925,2.552,1.984,2.042
40.659999,-0.8634,0.1183,-1.925,2.549,1.983,2.114
40.669999,-0.8477,0.3627,-1.925,2.545,1.984,2.147
40.689999,-0.8301,0.5532,-1.925,2.517,1.985,2.194
40.709999,-0.7872,0.7223,-1.925,2.479,1.985,2.225
40.729999,-0.7264,0.8308,-1.925,2.439,1.985,2.245
40.749999,-0.6614,0.8727,-1.925,2.406,1.985,2.261
40.759999,-0.5922,0.8862,-1.925,2.394,1.984,2.269
40.779999,-0.5233,0.8862,-1.925,2.377,1.984,2.282
40.789999,-0.4501,0.8821,-1.925,2.367,1.984,2.29
40.809999,-0.3661,0.8761,-1.924,2.353,1.984,2.303
40.829999,-0.265,0.8678,-1.909,2.342,1.984,2.315
40.849999,-0.1669,0.8478,-1.878,2.332,1.984,2.326
40.869999,-0.08527,0.8172,-1.837,2.321,1.984,2.337
40.889999,-0.02624,0.7797,-1.79,2.306,1.984,2.345
40.909999,0.04025,0.7522,-1.763,2.283,1.984,2.347
40.919999,0.1417,0.7354,-1.766,2.261,1.984,2.335
40.939999,0.2777,0.7136,-1.783,2.216,1.984,2.299
40.959999,0.4221,0.67,-1.81,2.165,1.984,2.227
40.969999,0.5425,0.5943,-1.823,2.135,1.984,2.148
40.979999,0.6442,0.507,-1.828,2.11,1.984,2.05
40.999999,0.725,0.4134,-1.828,2.073,1.984,1.861
41.009999,0.7826,0.3127,-1.827,2.049,1.984,1.761
41.019999,0.8062,0.1773,-1.828,2.027,1.984,1.661
41.039999,0.8051,0.00191,-1.844,1.996,1.984,1.481
41.059999,0.7875,-0.2099,-1.837,1.974,1.983,1.349
41.069999,0.7559,-0.4423,-1.803,1.969,1.983,1.293
41.089999,0.7215,-0.6601,-1.732,1.962,1.984,1.207
41.109999,0.6775,-0.8018,-1.704,1.956,1.984,1.144
41.119999,0.6255,-0.8623,-1.704,1.952,1.984,1.119
41.139999,0.5662,-0.8785,-1.716,1.947,1.984,1.085
41.149999,0.4981,-0.8778,-1.737,1.946,1.984,1.081
41.159999,0.4178,-0.8716,-1.766,1.947,1.984,1.088
41.179999,0.3209,-0.8636,-1.818,1.946,1.984,1.109
41.189999,0.1985,-0.8544,-1.845,1.939,1.984,1.129
41.209999,0.04131,-0.8439,-1.901,1.928,1.985,1.163
41.219999,-0.1667,-0.8285,-1.925,1.93,1.99,1.182
41.239999,-0.4262,-0.8017,-1.925,1.938,2.003,1.212
41.259999,-0.6702,-0.7587,-1.925,1.954,2.03,1.249
41.269999,-0.8146,-0.6986,-1.925,1.973,2.081,1.295
41.289999,-0.8683,-0.6292,-1.883,2.061,2.199,1.406
41.299999,-0.8817,-0.5532,-1.81,2.161,2.153,1.505
41.319999,-0.8811,-0.4725,-1.655,2.319,2.009,1.703
41.339999,-0.8757,-0.381,-1.515,2.416,1.987,1.864
41.359999,-0.8678,-0.2686,-1.434,2.469,1.985,1.996
41.379999,-0.8566,-0.1224,-1.423,2.478,1.984,2.103
41.389999,-0.8418,0.08002,-1.452,2.451,1.984,2.143
41.409999,-0.8185,0.342,-1.508,2.404,1.983,2.203
41.429999,-0.781,0.6115,-1.548,2.365,1.983,2.248
41.449999,-0.7268,0.7902,-1.549,2.336,1.983,2.285
41.469999,-0.6579,0.8657,-1.556,2.312,1.984,2.311
41.479999,-0.5921,0.883,-1.595,2.294,1.984,2.314
41.499999,-0.5269,0.8841,-1.716,2.253,1.984,2.307
41.519999,-0.4585,0.8803,-1.853,2.208,1.984,2.273
41.529999,-0.3845,0.8737,-1.928,2.178,1.983,2.221
41.549999,-0.2798,0.8709,-1.925,2.129,1.983,2.111
41.559999,-0.1406,0.8627,-1.925,2.107,1.983,2.025
41.579999,0.05101,0.8493,-1.925,2.067,1.984,1.866
41.599999,0.3087,0.8289,-1.925,2.028,1.984,1.713
41.619999,0.5877,0.7947,-1.925,1.98,1.985,1.569
41.629999,0.7838,0.7433,-1.925,1.953,1.984,1.49
41.649999,0.8657,0.6812,-1.925,1.915,1.984,1.362
41.659999,0.8881,0.6177,-1.923,1.903,1.984,1.304
41.679999,0.8909,0.5554,-1.897,1.886,1.983,1.219
41.689999,0.8881,0.4916,-1.866,1.887,1.983,1.193
41.709999,0.8829,0.4163,-1.793,1.902,1.984,1.165
41.729999,0.8765,0.3277,-1.729,1.925,1.984,1.165
41.739999,0.8683,0.2158,-1.718,1.929,1.984,1.176
41.749999,0.8573,0.06626,-1.725,1.93,1.984,1.19
41.769999,0.8418,-0.1368,-1.777,1.934,1.989,1.216
41.779999,0.8172,-0.3939,-1.813,1.94,2.004,1.234
41.789999,0.7503,-0.605,-1.845,1.947,2.035,1.258
41.809999,0.6573,-0.7301,-1.857,1.962,2.107,1.301
41.819999,0.5344,-0.7815,-1.83,1.975,2.171,1.331
41.839999,0.3662,-0.7899,-1.692,2.003,2.291,1.386
41.849999,0.2881,-0.8317,-1.595,2.038,2.342,1.425
41.869999,0.1738,-0.8426,-1.429,2.123,2.387,1.501
41.889999,0.01248,-0.8378,-1.333,2.22,2.368,1.583
41.899999,-0.2089,-0.8216,-1.305,2.266,2.345,1.628
41.919999,-0.4813,-0.7896,-1.312,2.343,2.292,1.704
41.939999,-0.7141,-0.7398,-1.377,2.409,2.211,1.775
41.959999,-0.835,-0.6729,-1.424,2.468,2.104,1.842
41.969999,-0.8744,-0.5977,-1.446,2.5,2.03,1.881
41.989999,-0.8818,-0.5194,-1.497,2.54,1.988,1.948
41.999999,-0.8791,-0.4339,-1.546,2.544,1.985,1.986
42.019999,-0.8727,-0.3334,-1.663,2.545,1.984,2.054
42.039999,-0.8646,-0.2001,-1.76,2.545,1.984,2.124
42.049999,-0.8515,-0.02419,-1.808,2.529,1.984,2.166
42.059999,-0.8328,0.212,-1.868,2.494,1.984,2.196
42.079999,-0.803,0.4884,-1.925,2.436,1.983,2.238
42.089999,-0.7534,0.7233,-1.925,2.406,1.982,2.253
42.109999,-0.6892,0.8419,-1.919,2.377,1.982,2.292
42.129999,-0.6163,0.8814,-1.891,2.383,1.983,2.321
42.139999,-0.5552,0.8833,-1.877,2.389,1.983,2.319
42.159999,-0.4995,0.8781,-1.875,2.394,1.984,2.313
42.169999,-0.442,0.8725,-1.886,2.383,1.984,2.309
42.179999,-0.3778,0.8665,-1.882,2.363,1.983,2.307
42.199999,-0.3298,0.8509,-1.818,2.334,1.983,2.311
42.219999,-0.2847,0.8377,-1.752,2.312,1.984,2.322
42.229999,-0.2465,0.8233,-1.74,2.299,1.984,2.327
42.249999,-0.2148,0.8089,-1.744,2.269,1.984,2.328
42.259999,-0.1316,0.8143,-1.764,2.244,1.984,2.312
42.279999,0.004458,0.815,-1.802,2.196,1.984,2.268
42.289999,0.209,0.8077,-1.803,2.164,1.983,2.216
42.299999,0.4712,0.7881,-1.794,2.134,1.984,2.136
42.319999,0.7116,0.7537,-1.795,2.093,1.984,1.978
42.329999,0.8389,0.6993,-1.816,2.077,1.984,1.878
42.349999,0.881,0.6377,-1.895,2.044,1.984,1.683
42.359999,0.89,0.5759,-1.93,2.03,1.984,1.585
42.379999,0.8886,0.5063,-1.925,2.005,1.983,1.43
42.389999,0.8839,0.4312,-1.925,1.995,1.984,1.357
42.409999,0.8776,0.3441,-1.913,1.975,1.984,1.244
42.419999,0.8696,0.2354,-1.898,1.967,1.983,1.203
42.429999,0.8592,0.09283,-1.882,1.962,1.983,1.176
42.449999,0.8442,-0.1014,-1.866,1.959,1.984,1.147
42.459999,0.821,-0.3515,-1.869,1.961,1.984,1.152
42.479999,0.7844,-0.6095,-1.909,1.956,1.984,1.166
42.489999,0.7341,-0.7868,-1.928,1.949,1.983,1.179
42.509999,0.6737,-0.861,-1.925,1.946,1.983,1.203
42.529999,0.612,-0.8819,-1.919,1.952,2.003,1.24
42.539999,0.5511,-0.8845,-1.904,1.966,2.061,1.278
42.549999,0.4883,-0.8815,-1.865,1.991,2.157,1.331
42.559999,0.4193,-0.8766,-1.75,2.065,2.188,1.407
42.579999,0.3377,-0.8704,-1.462,2.209,2.187,1.542
42.599999,0.2347,-0.8625,-1.193,2.323,2.148,1.656
42.619999,0.09711,-0.852,-0.9704,2.405,2.103,1.743
42.629999,-0.09219,-0.8367,-0.8881,2.444,2.058,1.788
42.649999,-0.3393,-0.813,-0.7929,2.505,1.995,1.864
42.659999,-0.5997,-0.7752,-0.7495,2.53,1.987,1.905
42.679999,-0.7805,-0.7198,-0.7027,2.544,1.984,1.975
42.689999,-0.8576,-0.6521,-0.6894,2.545,1.984,2.015
42.709999,-0.8794,-0.5802,-0.6702,2.546,1.983,2.089
42.719999,-0.8818,-0.505,-0.6673,2.538,1.984,2.135
42.739999,-0.8778,-0.4219,-0.6963,2.503,1.985,2.203
42.749999,-0.871,-0.3229,-0.7424,2.465,1.984,2.227
42.759999,-0.8626,-0.1904,-0.7976,2.428,1.984,2.249
42.769999,-0.8499,-0.01171,-0.8557,2.395,1.984,2.268
42.789999,-0.8348,0.2282,-0.959,2.338,1.984,2.294
42.799999,-0.809,0.4963,-1.015,2.304,1.984,2.291
42.819999,-0.7664,0.7153,-1.132,2.242,1.984,2.265
42.829999,-0.7149,0.8259,-1.197,2.203,1.984,2.214
42.849999,-0.6505,0.8721,-1.332,2.14,1.984,2.095
42.859999,-0.5909,0.8815,-1.399,2.115,1.984,1.997
42.879999,-0.5334,0.8806,-1.527,2.073,1.984,1.809
42.899999,-0.4749,0.8767,-1.645,2.034,1.984,1.624
42.909999,-0.4021,0.8744,-1.701,2.014,1.984,1.535
42.929999,-0.2986,0.8733,-1.794,1.987,1.984,1.395
42.949999,-0.1619,0.8659,-1.868,1.971,1.984,1.29
42.969999,0.02588,0.8532,-1.924,1.96,1.983,1.213
42.979999,0.2775,0.8328,-1.925,1.957,1.983,1.178
42.999999,0.3613,0.6923,-1.906,1.951,1.984,1.124
43.019999,0.2629,0.4786,-1.891,1.947,1.984,1.086
43.029999,-0.007544,0.3258,-1.881,1.945,1.984,1.076
43.049999,-0.5575,0.2255,-1.84,1.943,1.984,1.068
43.069999,-0.84,0.325,-1.817,1.946,1.984,1.081
43.079999,-0.8406,0.5059,-1.819,1.944,1.984,1.1
43.099999,-0.8196,0.6358,-1.832,1.934,1.984,1.136
43.119999,-0.7828,0.7496,-1.849,1.925,1.986,1.169
43.139999,-0.7135,0.8478,-1.864,1.923,1.995,1.2
43.159999,-0.6495,0.8768,-1.868,1.929,2.01,1.23
43.169999,-0.5992,0.8781,-1.861,1.937,2.03,1.249
43.189999,-0.5421,0.8801,-1.847,1.952,2.076,1.284
43.209999,-0.4747,0.8804,-1.856,1.969,2.144,1.32
43.229999,-0.3982,0.8765,-1.862,1.986,2.233,1.361
43.249999,-0.299,0.8721,-1.838,2.011,2.333,1.406
43.269999,-0.1761,0.8619,-1.762,2.056,2.413,1.459
43.279999,-0.02315,0.8451,-1.684,2.109,2.41,1.503
43.299999,-0.03688,0.7452,-1.503,2.209,2.384,1.585
43.319999,-0.1055,0.6856,-1.356,2.293,2.343,1.661
43.339999,-0.2414,0.6495,-1.263,2.36,2.289,1.727
43.349999,-0.4355,0.6386,-1.241,2.399,2.232,1.766
43.369999,-0.4673,0.7443,-1.217,2.464,2.117,1.836
43.389999,-0.4628,0.8082,-1.199,2.518,2.009,1.901
43.409999,-0.4205,0.8436,-1.166,2.542,1.986,1.961
43.419999,-0.3477,0.8585,-1.155,2.545,1.984,1.996
43.439999,-0.2686,0.8536,-1.143,2.545,1.984,2.06
43.459999,-0.1655,0.8456,-1.12,2.545,1.983,2.128
43.479999,-0.02613,0.8339,-1.102,2.531,1.984,2.195
43.489999,0.1856,0.8233,-1.118,2.496,1.984,2.22
43.509999,0.4623,0.8043,-1.169,2.434,1.984,2.257
43.529999,0.7076,0.7643,-1.219,2.38,1.983,2.286
43.549999,0.838,0.7073,-1.222,2.334,1.983,2.308
43.569999,0.8747,0.6056,-1.199,2.293,1.983,2.317
43.579999,0.8776,0.46,-1.191,2.262,1.984,2.303
43.599999,0.8657,0.2793,-1.177,2.205,1.984,2.255
43.609999,0.8389,0.06581,-1.172,2.169,1.984,2.188
43.629999,0.7977,-0.1526,-1.152,2.114,1.984,2.046
43.649999,0.7358,-0.3623,-1.112,2.075,1.984,1.877
43.669999,0.6416,-0.5309,-1.069,2.042,1.984,1.697
43.679999,0.5309,-0.6547,-1.061,2.022,1.984,1.601
43.699999,0.4176,-0.7392,-1.066,1.992,1.984,1.447
43.709999,0.3185,-0.7968,-1.094,1.983,1.984,1.381
43.729999,0.2285,-0.832,-1.2,1.972,1.984,1.277
43.749999,0.0965,-0.8393,-1.311,1.962,1.984,1.198
43.769999,-0.08977,-0.8312,-1.386,1.955,1.984,1.138
43.779999,-0.3349,-0.8105,-1.413,1.951,1.984,1.114
43.799999,-0.5953,-0.7743,-1.441,1.946,1.984,1.081
43.819999,-0.778,-0.7198,-1.45,1.943,1.984,1.069
43.839999,-0.8579,-0.6486,-1.456,1.944,1.984,1.077
43.849999,-0.8807,-0.5665,-1.461,1.943,1.984,1.095
43.869999,-0.8831,-0.4713,-1.481,1.936,1.984,1.13
43.889999,-0.8784,-0.3574,-1.514,1.926,1.985,1.163
43.899999,-0.8692,-0.2224,-1.528,1.925,1.991,1.182
43.919999,-0.8558,-0.05012,-1.55,1.929,2.005,1.216
43.939999,-0.8376,0.1794,-1.558,1.938,2.03,1.248
43.959999,-0.8075,0.4557,-1.564,1.952,2.07,1.28
43.969999,-0.7626,0.6983,-1.562,1.961,2.113,1.303
43.989999,-0.7033,0.8289,-1.554,1.98,2.203,1.345
44.009999,-0.6307,0.8781,-1.534,2.004,2.306,1.391
44.029999,-0.5562,0.8887,-1.49,2.044,2.396,1.443
44.039999,-0.4777,0.8874,-1.451,2.095,2.404,1.485
44.059999,-0.3888,0.8823,-1.389,2.194,2.389,1.567
44.079999,-0.2795,0.875,-1.397,2.282,2.35,1.645
44.089999,-0.1353,0.8651,-1.434,2.323,2.316,1.686
44.109999,0.06282,0.8508,-1.501,2.388,2.235,1.76
44.119999,0.201,0.7846,-1.507,2.428,2.165,1.802
44.139999,0.1748,0.638,-1.512,2.493,2.035,1.875
44.159999,0.0554,0.5308,-1.496,2.536,1.988,1.94
44.179999,-0.2163,0.4487,-1.451,2.545,1.984,2.001
44.189999,-0.6169,0.41,-1.441,2.546,1.984,2.037
44.209999,-0.8149,0.486,-1.451,2.544,1.983,2.109
44.229999,-0.8353,0.5799,-1.414,2.531,1.983,2.177
44.239999,-0.8193,0.6552,-1.406,2.5,1.984,2.204
44.249999,-0.7768,0.7659,-1.42,2.464,1.984,2.226
44.269999,-0.7087,0.8522,-1.472,2.406,1.984,2.262
44.279999,-0.6553,0.8716,-1.507,2.382,1.984,2.28
44.299999,-0.6168,0.8707,-1.603,2.345,1.984,2.308
44.309999,-0.5737,0.873,-1.661,2.324,1.984,2.316
44.329999,-0.5231,0.8749,-1.768,2.283,1.984,2.32
44.349999,-0.4561,0.8773,-1.839,2.235,1.984,2.297
44.359999,-0.3671,0.8772,-1.865,2.2,1.984,2.251
44.369999,-0.3449,0.8437,-1.887,2.165,1.984,2.173
44.389999,-0.4089,0.7963,-1.925,2.112,1.984,2.013
44.399999,-0.5376,0.7549,-1.925,2.094,1.984,1.915
44.419999,-0.6482,0.7505,-1.925,2.057,1.985,1.718
44.429999,-0.6712,0.7995,-1.925,2.042,1.984,1.618
44.449999,-0.639,0.8487,-1.909,2.013,1.984,1.439
44.459999,-0.5754,0.8778,-1.875,1.999,1.984,1.36
44.479999,-0.5151,0.8799,-1.808,1.98,1.984,1.244
44.489999,-0.4516,0.8765,-1.798,1.974,1.984,1.207
44.509999,-0.3798,0.8712,-1.829,1.965,1.984,1.161
44.519999,-0.2835,0.8672,-1.863,1.965,1.984,1.161
44.529999,-0.1526,0.8601,-1.907,1.96,1.983,1.168
44.549999,0.008952,0.8424,-1.925,1.957,1.984,1.184
44.569999,0.2246,0.8206,-1.925,1.959,1.983,1.209
44.579999,0.4812,0.7887,-1.925,1.968,2.007,1.242
44.599999,0.7099,0.7451,-1.924,1.993,2.137,1.316
44.619999,0.8287,0.6736,-1.847,2.07,2.256,1.421
44.629999,0.8721,0.5967,-1.746,2.164,2.213,1.511
44.639999,0.8816,0.5075,-1.64,2.246,2.155,1.594
44.659999,0.8785,0.4005,-1.476,2.373,2.053,1.725
44.679999,0.8723,0.296,-1.359,2.46,1.992,1.827
44.689999,0.8626,0.1645,-1.306,2.495,1.986,1.877
44.709999,0.8501,-0.00575,-1.233,2.539,1.984,1.963
44.729999,0.8332,-0.2318,-1.214,2.545,1.984,2.039
44.749999,0.8046,-0.4989,-1.226,2.546,1.984,2.115
44.769999,0.7596,-0.7221,-1.248,2.529,1.984,2.185
44.789999,0.7002,-0.8362,-1.222,2.482,1.984,2.234
44.799999,0.6313,-0.8713,-1.234,2.447,1.984,2.252
44.819999,0.5614,-0.878,-1.296,2.391,1.984,2.281
44.839999,0.4901,-0.8762,-1.386,2.347,1.984,2.306
44.859999,0.4132,-0.8719,-1.469,2.308,1.983,2.32
44.879999,0.3314,-0.8684,-1.49,2.268,1.984,2.318
44.889999,0.2267,-0.8613,-1.501,2.237,1.984,2.293
44.909999,0.08612,-0.8509,-1.549,2.179,1.984,2.223
44.929999,-0.1073,-0.8353,-1.625,2.125,1.984,2.11
44.939999,-0.3576,-0.8108,-1.668,2.103,1.983,2.013
44.959999,-0.6155,-0.7719,-1.747,2.069,1.984,1.83
44.979999,-0.7887,-0.7154,-1.794,2.038,1.984,1.647
44.999999,-0.8603,-0.6474,-1.819,2.009,1.984,1.488
45.009999,-0.8814,-0.5646,-1.818,1.996,1.984,1.416
45.029999,-0.8824,-0.4773,-1.793,1.978,1.984,1.303
45.039999,-0.8772,-0.3789,-1.767,1.972,1.984,1.255
45.059999,-0.8691,-0.2591,-1.708,1.963,1.984,1.179
45.079999,-0.8563,-0.1089,-1.665,1.956,1.984,1.123
45.099999,-0.8395,0.097,-1.646,1.95,1.984,1.085
45.109999,-0.8138,0.3634,-1.642,1.948,1.984,1.075
45.129999,-0.7729,0.6332,-1.644,1.945,1.984,1.07
45.139999,-0.7137,0.8051,-1.646,1.946,1.984,1.082
45.149999,-0.6432,0.871,-1.647,1.943,1.984,1.102
45.169999,-0.5792,0.8831,-1.659,1.933,1.984,1.138
45.189999,-0.516,0.8825,-1.698,1.924,1.987,1.171
45.199999,-0.4497,0.8782,-1.717,1.925,1.994,1.191
45.219999,-0.3748,0.8724,-1.755,1.933,2.011,1.226
45.239999,-0.2642,0.8708,-1.795,1.945,2.042,1.26
45.259999,-0.1155,0.8625,-1.844,1.959,2.094,1.295
45.269999,0.08975,0.8483,-1.87,1.969,2.146,1.319
45.289999,0.3568,0.8251,-1.897,1.988,2.249,1.366
45.309999,0.5188,0.7168,-1.847,2.02,2.352,1.418
45.329999,0.4955,0.4626,-1.761,2.074,2.42,1.476
45.339999,0.3718,0.2642,-1.703,2.135,2.404,1.523
45.359999,-0.00756,0.09851,-1.547,2.234,2.369,1.608
45.379999,-0.6096,0.07733,-1.392,2.313,2.326,1.681
45.389999,-0.8779,0.2293,-1.34,2.353,2.283,1.719
45.409999,-0.8602,0.3955,-1.277,2.421,2.191,1.79
45.419999,-0.8436,0.5238,-1.26,2.459,2.118,1.83
45.439999,-0.8065,0.6783,-1.241,2.516,2.008,1.899
45.459999,-0.7369,0.8214,-1.212,2.542,1.986,1.962
45.469999,-0.6831,0.8614,-1.205,2.545,1.984,1.999
45.489999,-0.6517,0.8624,-1.205,2.545,1.984,2.066
45.509999,-0.6338,0.8571,-1.224,2.546,1.984,2.136
45.519999,-0.6059,0.8623,-1.254,2.526,1.984,2.175
45.539999,-0.5604,0.8718,-1.346,2.476,1.984,2.23
45.559999,-0.4936,0.8798,-1.463,2.416,1.984,2.264
45.569999,-0.4093,0.8809,-1.524,2.388,1.984,2.281
45.589999,-0.3063,0.8759,-1.642,2.341,1.984,2.306
45.599999,-0.1853,0.8637,-1.701,2.314,1.984,2.31
45.619999,-0.03998,0.8452,-1.771,2.263,1.984,2.301
45.629999,-0.08245,0.7379,-1.795,2.228,1.984,2.269
45.649999,-0.2858,0.6319,-1.85,2.166,1.984,2.182
45.659999,-0.5369,0.605,-1.88,2.136,1.984,2.091
45.679999,-0.7418,0.6098,-1.928,2.095,1.983,1.919
45.699999,-0.7559,0.7289,-1.925,2.06,1.984,1.737
45.709999,-0.7172,0.8206,-1.922,2.043,1.984,1.637
45.729999,-0.6818,0.8508,-1.909,2.017,1.984,1.46
45.749999,-0.6302,0.8721,-1.882,1.994,1.984,1.32
45.759999,-0.582,0.876,-1.848,1.982,1.984,1.262
45.779999,-0.5367,0.874,-1.771,1.966,1.984,1.18
45.799999,-0.4782,0.8753,-1.718,1.958,1.984,1.136
45.819999,-0.3991,0.8764,-1.717,1.956,1.984,1.123
45.829999,-0.302,0.8716,-1.735,1.953,1.984,1.134
45.849999,-0.1883,0.8598,-1.75,1.943,1.984,1.156
45.859999,-0.03645,0.8464,-1.745,1.937,1.984,1.173
45.879999,0.1699,0.8281,-1.72,1.933,1.988,1.203
45.899999,0.4338,0.8032,-1.675,1.939,2.003,1.234
45.909999,0.687,0.767,-1.644,1.946,2.026,1.253
45.929999,0.8295,0.7121,-1.597,1.96,2.08,1.288
45.939999,0.8789,0.6497,-1.571,1.969,2.132,1.313
45.959999,0.8901,0.5873,-1.485,1.987,2.234,1.359
45.979999,0.8874,0.4907,-1.329,2.015,2.339,1.409
45.989999,0.8787,0.3678,-1.22,2.052,2.377,1.445
