Time (s),sf1,sf2,sf3,sf4,sf5,sf6
19.97,+9.833e-02,+1.055e-01,+1.483e-01,+7.962e-02,+9.608e-02,+1.409e-01
19.99,+9.858e-02,+1.052e-01,+1.485e-01,+7.946e-02,+9.589e-02,+1.410e-01
20.0,+9.883e-02,+1.050e-01,+1.486e-01,+7.930e-02,+9.570e-02,+1.412e-01
20.01,+9.906e-02,+1.048e-01,+1.487e-01,+7.915e-02,+9.550e-02,+1.413e-01
20.03,+9.290e-02,+1.045e-01,+1.489e-01,+7.899e-02,+9.531e-02,+1.415e-01
20.05,+8.931e-02,+1.043e-01,+1.490e-01,+7.883e-02,+9.512e-02,+1.416e-01
20.06,+8.719e-02,+1.041e-01,+1.491e-01,+7.867e-02,+9.493e-02,+1.417e-01
20.07,+8.591e-02,+1.039e-01,+1.493e-01,+7.851e-02,+9.474e-02,+1.419e-01
20.09,+8.511e-02,+1.037e-01,+1.494e-01,+7.836e-02,+9.455e-02,+1.420e-01
20.1,+8.458e-02,+1.035e-01,+1.495e-01,+7.820e-02,+1.008e-01,+1.422e-01
20.12,+8.421e-02,+1.033e-01,+1.496e-01,+7.804e-02,+1.044e-01,+1.423e-01
20.13,+8.392e-02,+1.031e-01,+1.498e-01,+7.789e-02,+1.066e-01,+1.425e-01
20.14,+8.369e-02,+1.029e-01,+1.499e-01,+7.773e-02,+1.079e-01,+1.426e-01
20.15,+8.348e-02,+1.027e-01,+1.500e-01,+7.758e-02,+1.087e-01,+1.428e-01
20.17,+8.329e-02,+1.025e-01,+1.502e-01,+7.742e-02,+1.093e-01,+1.429e-01
20.18,+8.312e-02,+1.023e-01,+1.503e-01,+7.727e-02,+1.097e-01,+1.430e-01
20.2,+8.294e-02,+1.021e-01,+1.504e-01,+7.711e-02,+1.100e-01,+1.432e-01
20.21,+8.277e-02,+1.082e-01,+1.505e-01,+7.696e-02,+1.103e-01,+1.433e-01
20.23,+8.260e-02,+1.119e-01,+1.507e-01,+7.680e-02,+1.041e-01,+1.435e-01
20.25,+8.244e-02,+1.140e-01,+1.508e-01,+7.665e-02,+1.070e-01,+1.436e-01
20.26,+8.227e-02,+1.153e-01,+1.509e-01,+7.650e-02,+1.086e-01,+1.437e-01
20.28,+8.211e-02,+1.161e-01,+1.511e-01,+7.634e-02,+1.097e-01,+1.439e-01
20.29,+8.194e-02,+1.167e-01,+1.512e-01,+7.619e-02,+1.104e-01,+1.440e-01
20.31,+8.178e-02,+1.171e-01,+1.513e-01,+7.604e-02,+1.045e-01,+1.442e-01
20.33,+8.161e-02,+1.174e-01,+1.514e-01,+7.589e-02,+1.010e-01,+1.443e-01
20.34,+8.145e-02,+1.177e-01,+1.516e-01,+8.214e-02,+9.895e-02,+1.444e-01
20.36,+8.129e-02,+1.179e-01,+1.517e-01,+7.940e-02,+9.770e-02,+1.446e-01
20.37,+8.113e-02,+1.181e-01,+1.518e-01,+7.778e-02,+9.690e-02,+1.447e-01
20.38,+8.096e-02,+1.183e-01,+1.519e-01,+7.679e-02,+9.637e-02,+1.449e-01
20.4,+8.080e-02,+1.185e-01,+1.521e-01,+7.616e-02,+9.598e-02,+1.450e-01
20.41,+8.064e-02,+1.187e-01,+1.522e-01,+7.574e-02,+9.568e-02,+1.451e-01
20.43,+8.048e-02,+1.125e-01,+1.523e-01,+7.543e-02,+9.542e-02,+1.453e-01
20.44,+8.032e-02,+1.089e-01,+1.524e-01,+7.519e-02,+9.519e-02,+1.454e-01
20.45,+8.016e-02,+1.067e-01,+1.525e-01,+7.499e-02,+9.498e-02,+1.455e-01
20.47,+8.640e-02,+1.054e-01,+1.527e-01,+7.481e-02,+9.478e-02,+1.457e-01
20.49,+8.366e-02,+1.046e-01,+1.528e-01,+7.465e-02,+9.459e-02,+1.458e-01
20.5,+8.203e-02,+1.040e-01,+1.529e-01,+7.449e-02,+9.439e-02,+1.460e-01
20.52,+8.743e-02,+1.036e-01,+1.530e-01,+7.433e-02,+9.420e-02,+1.461e-01
20.53,+9.061e-02,+1.032e-01,+1.532e-01,+7.418e-02,+9.401e-02,+1.462e-01
20.55,+9.252e-02,+1.030e-01,+1.533e-01,+7.403e-02,+9.382e-02,+1.464e-01
20.57,+9.372e-02,+1.027e-01,+1.534e-01,+7.388e-02,+9.363e-02,+1.465e-01
20.58,+9.450e-02,+1.025e-01,+1.535e-01,+7.374e-02,+9.345e-02,+1.466e-01
20.6,+9.505e-02,+1.023e-01,+1.536e-01,+7.359e-02,+9.326e-02,+1.468e-01
20.61,+9.546e-02,+1.021e-01,+1.538e-01,+7.344e-02,+9.307e-02,+1.469e-01
20.63,+9.580e-02,+1.019e-01,+1.539e-01,+7.329e-02,+9.289e-02,+1.470e-01
20.64,+9.609e-02,+1.017e-01,+1.540e-01,+7.315e-02,+9.270e-02,+1.472e-01
20.65,+9.636e-02,+1.015e-01,+1.541e-01,+7.300e-02,+9.252e-02,+1.473e-01
20.67,+9.662e-02,+1.013e-01,+1.542e-01,+7.285e-02,+9.233e-02,+1.474e-01
20.69,+9.686e-02,+1.011e-01,+1.544e-01,+7.271e-02,+9.215e-02,+1.476e-01
20.7,+9.710e-02,+1.008e-01,+1.545e-01,+7.256e-02,+9.196e-02,+1.477e-01
20.72,+9.094e-02,+1.006e-01,+1.546e-01,+7.242e-02,+9.178e-02,+1.478e-01
20.73,+8.736e-02,+1.004e-01,+1.547e-01,+7.227e-02,+9.159e-02,+1.480e-01
20.74,+8.524e-02,+1.002e-01,+1.548e-01,+7.213e-02,+9.141e-02,+1.481e-01
20.76,+8.397e-02,+1.000e-01,+1.550e-01,+7.198e-02,+9.123e-02,+1.482e-01
20.77,+8.317e-02,+9.984e-02,+1.551e-01,+7.184e-02,+9.745e-02,+1.484e-01
20.79,+8.264e-02,+9.964e-02,+1.552e-01,+7.170e-02,+1.011e-01,+1.485e-01
20.81,+8.227e-02,+9.945e-02,+1.553e-01,+7.155e-02,+1.032e-01,+1.486e-01
20.82,+8.199e-02,+9.925e-02,+1.554e-01,+7.141e-02,+1.046e-01,+1.488e-01
20.84,+8.176e-02,+9.905e-02,+1.555e-01,+7.127e-02,+1.054e-01,+1.489e-01
20.85,+8.156e-02,+9.885e-02,+1.557e-01,+7.113e-02,+1.060e-01,+1.490e-01
20.87,+8.137e-02,+9.865e-02,+1.558e-01,+7.098e-02,+1.064e-01,+1.491e-01
20.89,+8.760e-02,+9.845e-02,+1.559e-01,+7.724e-02,+1.068e-01,+1.493e-01
20.9,+9.125e-02,+1.047e-01,+1.560e-01,+8.092e-02,+1.070e-01,+1.494e-01
20.91,+9.343e-02,+1.083e-01,+1.561e-01,+8.312e-02,+1.009e-01,+1.495e-01
20.93,+9.478e-02,+1.104e-01,+1.562e-01,+8.449e-02,+9.730e-02,+1.497e-01
20.94,+9.564e-02,+1.117e-01,+1.500e-01,+8.538e-02,+1.016e-01,+1.498e-01
20.96,+9.624e-02,+1.126e-01,+1.463e-01,+8.600e-02,+1.041e-01,+1.499e-01
20.97,+9.668e-02,+1.131e-01,+1.440e-01,+8.646e-02,+1.056e-01,+1.500e-01
20.99,+9.703e-02,+1.135e-01,+1.426e-01,+8.683e-02,+1.066e-01,+1.502e-01
21.01,+9.733e-02,+1.139e-01,+1.417e-01,+8.715e-02,+1.073e-01,+1.439e-01
21.02,+9.760e-02,+1.141e-01,+1.411e-01,+8.744e-02,+1.077e-01,+1.402e-01
21.04,+9.785e-02,+1.144e-01,+1.406e-01,+8.772e-02,+1.081e-01,+1.380e-01
21.05,+9.810e-02,+1.146e-01,+1.402e-01,+8.798e-02,+1.084e-01,+1.366e-01
21.07,+9.834e-02,+1.148e-01,+1.398e-01,+8.824e-02,+1.086e-01,+1.357e-01
21.08,+9.857e-02,+1.150e-01,+1.459e-01,+8.850e-02,+1.088e-01,+1.351e-01
21.1,+9.881e-02,+1.088e-01,+1.494e-01,+8.875e-02,+1.091e-01,+1.346e-01
21.11,+9.904e-02,+1.052e-01,+1.515e-01,+8.900e-02,+1.093e-01,+1.406e-01
21.13,+9.927e-02,+1.030e-01,+1.527e-01,+8.925e-02,+1.095e-01,+1.441e-01
21.15,+9.950e-02,+1.017e-01,+1.471e-01,+8.950e-02,+1.097e-01,+1.461e-01
21.16,+9.973e-02,+1.073e-01,+1.437e-01,+8.335e-02,+1.099e-01,+1.474e-01
21.17,+9.996e-02,+1.106e-01,+1.417e-01,+7.978e-02,+1.101e-01,+1.481e-01
21.19,+1.002e-01,+1.125e-01,+1.404e-01,+7.768e-02,+1.103e-01,+1.422e-01
21.21,+9.401e-02,+1.137e-01,+1.396e-01,+7.642e-02,+1.105e-01,+1.387e-01
21.22,+9.682e-02,+1.145e-01,+1.390e-01,+7.564e-02,+1.108e-01,+1.366e-01
21.24,+9.852e-02,+1.150e-01,+1.385e-01,+8.153e-02,+1.110e-01,+1.353e-01
21.25,+9.958e-02,+1.154e-01,+1.381e-01,+8.499e-02,+1.112e-01,+1.344e-01
21.27,+1.003e-01,+1.157e-01,+1.378e-01,+8.707e-02,+1.114e-01,+1.338e-01
21.28,+9.439e-02,+1.159e-01,+1.439e-01,+8.836e-02,+1.116e-01,+1.334e-01
21.3,+9.095e-02,+1.161e-01,+1.474e-01,+8.921e-02,+1.118e-01,+1.330e-01
21.31,+9.531e-02,+1.164e-01,+1.495e-01,+8.980e-02,+1.120e-01,+1.327e-01
21.32,+9.790e-02,+1.166e-01,+1.507e-01,+8.384e-02,+1.122e-01,+1.324e-01
21.33,+9.947e-02,+1.168e-01,+1.515e-01,+8.677e-02,+1.060e-01,+1.321e-01
21.35,+1.005e-01,+1.106e-01,+1.519e-01,+8.856e-02,+1.024e-01,+1.318e-01
21.37,+1.011e-01,+1.069e-01,+1.523e-01,+8.968e-02,+1.066e-01,+1.315e-01
21.38,+9.520e-02,+1.112e-01,+1.525e-01,+9.042e-02,+1.091e-01,+1.377e-01
21.4,+9.174e-02,+1.137e-01,+1.527e-01,+9.095e-02,+1.107e-01,+1.412e-01
21.41,+8.970e-02,+1.152e-01,+1.529e-01,+9.136e-02,+1.052e-01,+1.433e-01
21.42,+8.846e-02,+1.097e-01,+1.530e-01,+9.169e-02,+1.020e-01,+1.381e-01
21.44,+8.768e-02,+1.065e-01,+1.531e-01,+9.199e-02,+1.001e-01,+1.351e-01
21.45,+8.716e-02,+1.046e-01,+1.533e-01,+9.226e-02,+9.896e-02,+1.332e-01
21.47,+8.679e-02,+1.035e-01,+1.534e-01,+9.253e-02,+9.821e-02,+1.321e-01
21.49,+8.650e-02,+1.027e-01,+1.535e-01,+9.278e-02,+9.770e-02,+1.313e-01
21.5,+8.627e-02,+1.022e-01,+1.536e-01,+9.303e-02,+9.732e-02,+1.307e-01
21.52,+8.606e-02,+1.018e-01,+1.538e-01,+9.327e-02,+9.703e-02,+1.367e-01
21.53,+8.586e-02,+1.015e-01,+1.539e-01,+9.351e-02,+1.032e-01,+1.402e-01
21.55,+8.568e-02,+1.012e-01,+1.540e-01,+8.736e-02,+1.068e-01,+1.422e-01
21.57,+8.550e-02,+1.010e-01,+1.541e-01,+8.378e-02,+1.089e-01,+1.434e-01
21.58,+8.533e-02,+1.008e-01,+1.542e-01,+8.167e-02,+1.102e-01,+1.442e-01
21.6,+8.516e-02,+1.006e-01,+1.544e-01,+8.040e-02,+1.110e-01,+1.447e-01
21.61,+8.498e-02,+1.004e-01,+1.545e-01,+7.961e-02,+1.052e-01,+1.450e-01
21.63,+8.481e-02,+1.002e-01,+1.546e-01,+7.909e-02,+1.018e-01,+1.453e-01
21.64,+8.464e-02,+9.995e-02,+1.547e-01,+7.873e-02,+9.976e-02,+1.455e-01
21.65,+8.447e-02,+9.975e-02,+1.548e-01,+7.845e-02,+9.852e-02,+1.456e-01
21.67,+8.430e-02,+9.955e-02,+1.550e-01,+8.463e-02,+9.773e-02,+1.458e-01
21.68,+8.414e-02,+9.935e-02,+1.551e-01,+8.826e-02,+9.720e-02,+1.459e-01
21.69,+9.037e-02,+9.915e-02,+1.552e-01,+8.403e-02,+9.681e-02,+1.461e-01
21.71,+8.762e-02,+9.895e-02,+1.553e-01,+8.155e-02,+9.651e-02,+1.462e-01
21.73,+8.598e-02,+9.875e-02,+1.554e-01,+8.007e-02,+9.625e-02,+1.464e-01
21.74,+8.497e-02,+9.856e-02,+1.555e-01,+7.916e-02,+9.602e-02,+1.465e-01
21.76,+8.433e-02,+9.836e-02,+1.557e-01,+7.857e-02,+9.581e-02,+1.466e-01
21.77,+9.029e-02,+9.816e-02,+1.558e-01,+7.817e-02,+9.561e-02,+1.468e-01
21.79,+9.379e-02,+9.797e-02,+1.559e-01,+7.787e-02,+9.541e-02,+1.469e-01
21.81,+9.588e-02,+9.777e-02,+1.560e-01,+7.764e-02,+9.522e-02,+1.470e-01
21.82,+9.717e-02,+1.040e-01,+1.561e-01,+7.744e-02,+9.502e-02,+1.472e-01
21.84,+9.858e-02,+9.953e-02,+1.564e-01,+7.709e-02,+9.464e-02,+1.474e-01
21.85,+9.901e-02,+9.850e-02,+1.565e-01,+7.693e-02,+9.445e-02,+1.476e-01
21.86,+9.295e-02,+9.783e-02,+1.566e-01,+7.677e-02,+9.426e-02,+1.477e-01
21.88,+9.582e-02,+1.038e-01,+1.567e-01,+7.661e-02,+9.407e-02,+1.478e-01
21.89,+9.756e-02,+1.072e-01,+1.568e-01,+7.646e-02,+9.389e-02,+1.480e-01
21.91,+9.865e-02,+1.093e-01,+1.569e-01,+7.630e-02,+1.001e-01,+1.481e-01
21.93,+9.936e-02,+1.106e-01,+1.570e-01,+7.615e-02,+9.733e-02,+1.482e-01
21.94,+9.347e-02,+1.114e-01,+1.572e-01,+7.600e-02,+9.567e-02,+1.484e-01
21.96,+9.004e-02,+1.119e-01,+1.573e-01,+7.584e-02,+1.010e-01,+1.485e-01
21.97,+8.801e-02,+1.123e-01,+1.574e-01,+7.569e-02,+1.042e-01,+1.486e-01
21.99,+8.678e-02,+1.126e-01,+1.575e-01,+7.554e-02,+1.061e-01,+1.488e-01
22.0,+8.600e-02,+1.065e-01,+1.576e-01,+7.539e-02,+1.073e-01,+1.489e-01
22.02,+8.549e-02,+1.029e-01,+1.577e-01,+7.524e-02,+1.080e-01,+1.490e-01
22.03,+8.512e-02,+1.008e-01,+1.578e-01,+7.509e-02,+1.085e-01,+1.491e-01
22.05,+8.461e-02,+9.867e-02,+1.581e-01,+7.479e-02,+1.092e-01,+1.494e-01
22.07,+8.440e-02,+9.812e-02,+1.582e-01,+7.464e-02,+1.095e-01,+1.495e-01
22.09,+8.403e-02,+9.741e-02,+1.584e-01,+7.434e-02,+1.036e-01,+1.498e-01
22.11,+8.386e-02,+9.715e-02,+1.585e-01,+7.419e-02,+1.064e-01,+1.499e-01
22.13,+8.369e-02,+9.692e-02,+1.586e-01,+7.404e-02,+1.081e-01,+1.500e-01
22.14,+8.352e-02,+9.670e-02,+1.587e-01,+7.390e-02,+1.091e-01,+1.502e-01
22.16,+8.335e-02,+9.650e-02,+1.588e-01,+7.375e-02,+1.098e-01,+1.503e-01
22.17,+8.318e-02,+9.630e-02,+1.589e-01,+7.360e-02,+1.103e-01,+1.504e-01
22.18,+8.301e-02,+9.610e-02,+1.591e-01,+7.345e-02,+1.106e-01,+1.506e-01
22.19,+8.285e-02,+9.591e-02,+1.592e-01,+7.331e-02,+1.045e-01,+1.507e-01
22.21,+8.268e-02,+9.571e-02,+1.593e-01,+7.316e-02,+1.010e-01,+1.508e-01
22.22,+8.252e-02,+9.552e-02,+1.594e-01,+7.301e-02,+9.885e-02,+1.509e-01
22.24,+8.235e-02,+9.533e-02,+1.595e-01,+7.927e-02,+9.756e-02,+1.511e-01
22.25,+8.219e-02,+9.514e-02,+1.596e-01,+7.654e-02,+9.675e-02,+1.512e-01
22.27,+8.202e-02,+9.495e-02,+1.597e-01,+8.132e-02,+9.620e-02,+1.513e-01
22.29,+8.186e-02,+9.476e-02,+1.598e-01,+8.416e-02,+9.580e-02,+1.514e-01
22.3,+8.169e-02,+9.457e-02,+1.599e-01,+8.588e-02,+9.550e-02,+1.516e-01
22.32,+8.153e-02,+9.438e-02,+1.600e-01,+8.697e-02,+9.524e-02,+1.517e-01
22.33,+8.137e-02,+9.419e-02,+1.601e-01,+8.130e-02,+9.501e-02,+1.518e-01
22.35,+8.120e-02,+9.400e-02,+1.603e-01,+7.801e-02,+9.480e-02,+1.519e-01
22.36,+8.744e-02,+9.381e-02,+1.604e-01,+8.247e-02,+9.460e-02,+1.521e-01
22.379999,+8.470e-02,+9.363e-02,+1.605e-01,+8.512e-02,+9.440e-02,+1.522e-01
22.389999,+8.947e-02,+9.344e-02,+1.606e-01,+8.033e-02,+9.421e-02,+1.523e-01
22.409999,+9.228e-02,+9.325e-02,+1.607e-01,+7.754e-02,+9.402e-02,+1.524e-01
22.419999,+9.399e-02,+9.307e-02,+1.608e-01,+8.229e-02,+9.383e-02,+1.526e-01
22.439999,+9.507e-02,+9.288e-02,+1.609e-01,+8.510e-02,+9.364e-02,+1.527e-01
22.449999,+9.578e-02,+9.269e-02,+1.610e-01,+8.682e-02,+9.346e-02,+1.528e-01
22.469999,+9.629e-02,+9.891e-02,+1.611e-01,+8.790e-02,+9.327e-02,+1.529e-01
22.489999,+9.668e-02,+1.025e-01,+1.612e-01,+8.862e-02,+9.308e-02,+1.530e-01
22.499999,+9.700e-02,+1.047e-01,+1.613e-01,+8.914e-02,+9.290e-02,+1.532e-01
22.519999,+9.729e-02,+1.060e-01,+1.614e-01,+8.955e-02,+9.271e-02,+1.533e-01
22.529999,+9.115e-02,+1.069e-01,+1.615e-01,+8.988e-02,+9.252e-02,+1.534e-01
22.549999,+9.398e-02,+1.074e-01,+1.616e-01,+9.018e-02,+9.234e-02,+1.471e-01
22.569999,+9.569e-02,+1.079e-01,+1.617e-01,+9.046e-02,+9.855e-02,+1.434e-01
22.579999,+9.677e-02,+1.082e-01,+1.618e-01,+9.072e-02,+9.579e-02,+1.412e-01
22.589999,+9.748e-02,+1.085e-01,+1.619e-01,+8.457e-02,+9.413e-02,+1.398e-01
22.609999,+9.799e-02,+1.087e-01,+1.620e-01,+8.101e-02,+9.311e-02,+1.389e-01
22.629999,+9.837e-02,+1.090e-01,+1.558e-01,+7.891e-02,+9.245e-02,+1.383e-01
22.639999,+9.869e-02,+1.092e-01,+1.520e-01,+8.405e-02,+9.199e-02,+1.378e-01
22.659999,+9.897e-02,+1.094e-01,+1.562e-01,+8.708e-02,+9.805e-02,+1.374e-01
22.669999,+9.283e-02,+1.032e-01,+1.586e-01,+8.892e-02,+1.016e-01,+1.435e-01
22.689999,+8.926e-02,+9.960e-02,+1.600e-01,+9.007e-02,+1.037e-01,+1.470e-01
22.699999,+8.715e-02,+1.039e-01,+1.609e-01,+9.083e-02,+1.050e-01,+1.490e-01
22.719999,+8.587e-02,+1.064e-01,+1.614e-01,+8.497e-02,+1.058e-01,+1.502e-01
22.729999,+8.508e-02,+1.079e-01,+1.618e-01,+8.156e-02,+1.064e-01,+1.510e-01
22.739999,+8.455e-02,+1.025e-01,+1.620e-01,+8.595e-02,+1.004e-01,+1.515e-01
22.749999,+8.418e-02,+9.928e-02,+1.558e-01,+8.856e-02,+9.694e-02,+1.518e-01
22.759999,+8.389e-02,+1.038e-01,+1.585e-01,+9.015e-02,+1.013e-01,+1.520e-01
22.769999,+8.366e-02,+1.064e-01,+1.601e-01,+9.116e-02,+1.038e-01,+1.458e-01
22.789999,+8.345e-02,+1.080e-01,+1.611e-01,+8.545e-02,+1.054e-01,+1.422e-01
22.799999,+8.326e-02,+1.090e-01,+1.617e-01,+8.212e-02,+1.064e-01,+1.400e-01
22.809999,+8.308e-02,+1.097e-01,+1.556e-01,+8.016e-02,+1.070e-01,+1.386e-01
22.829999,+8.291e-02,+1.102e-01,+1.521e-01,+7.897e-02,+1.011e-01,+1.377e-01
22.839999,+8.274e-02,+1.105e-01,+1.563e-01,+7.823e-02,+9.760e-02,+1.371e-01
22.849999,+8.257e-02,+1.108e-01,+1.588e-01,+7.774e-02,+9.554e-02,+1.366e-01
22.859999,+8.241e-02,+1.111e-01,+1.602e-01,+7.739e-02,+1.007e-01,+1.362e-01
22.879999,+8.224e-02,+1.113e-01,+1.547e-01,+7.713e-02,+1.037e-01,+1.359e-01
22.889999,+8.848e-02,+1.115e-01,+1.514e-01,+7.691e-02,+1.055e-01,+1.355e-01
22.909999,+9.213e-02,+1.117e-01,+1.494e-01,+7.672e-02,+1.067e-01,+1.353e-01
22.929999,+9.432e-02,+1.120e-01,+1.482e-01,+7.655e-02,+1.074e-01,+1.414e-01
22.939999,+9.566e-02,+1.058e-01,+1.473e-01,+7.639e-02,+1.079e-01,+1.449e-01
22.959999,+9.013e-02,+1.021e-01,+1.467e-01,+7.623e-02,+1.083e-01,+1.470e-01
22.969999,+9.330e-02,+1.064e-01,+1.462e-01,+7.607e-02,+1.086e-01,+1.482e-01
22.989999,+9.521e-02,+1.089e-01,+1.459e-01,+7.592e-02,+1.089e-01,+1.426e-01
22.999999,+9.640e-02,+1.104e-01,+1.455e-01,+7.576e-02,+1.091e-01,+1.393e-01
23.019999,+9.718e-02,+1.114e-01,+1.452e-01,+7.561e-02,+1.093e-01,+1.372e-01
23.029999,+9.772e-02,+1.120e-01,+1.449e-01,+7.546e-02,+1.095e-01,+1.360e-01
23.049999,+9.813e-02,+1.125e-01,+1.446e-01,+7.531e-02,+1.098e-01,+1.351e-01
23.059999,+9.846e-02,+1.128e-01,+1.507e-01,+7.516e-02,+1.100e-01,+1.345e-01
23.069999,+9.875e-02,+1.131e-01,+1.542e-01,+7.501e-02,+1.038e-01,+1.405e-01
23.089999,+9.901e-02,+1.133e-01,+1.563e-01,+7.486e-02,+1.002e-01,+1.439e-01
23.099999,+9.926e-02,+1.136e-01,+1.575e-01,+8.111e-02,+1.044e-01,+1.460e-01
23.119999,+9.950e-02,+1.138e-01,+1.582e-01,+8.478e-02,+1.069e-01,+1.472e-01
23.129999,+9.974e-02,+1.140e-01,+1.587e-01,+8.698e-02,+1.085e-01,+1.479e-01
23.149999,+9.357e-02,+1.142e-01,+1.590e-01,+8.834e-02,+1.094e-01,+1.484e-01
23.159999,+8.998e-02,+1.144e-01,+1.592e-01,+8.282e-02,+1.101e-01,+1.487e-01
23.179999,+9.426e-02,+1.146e-01,+1.530e-01,+7.961e-02,+1.105e-01,+1.490e-01
23.199999,+9.680e-02,+1.148e-01,+1.493e-01,+7.771e-02,+1.109e-01,+1.492e-01
23.209999,+9.834e-02,+1.086e-01,+1.535e-01,+7.657e-02,+1.111e-01,+1.493e-01
23.219999,+9.932e-02,+1.114e-01,+1.560e-01,+7.585e-02,+1.114e-01,+1.495e-01
23.239999,+9.998e-02,+1.130e-01,+1.574e-01,+7.538e-02,+1.116e-01,+1.496e-01
23.249999,+9.405e-02,+1.141e-01,+1.583e-01,+7.504e-02,+1.118e-01,+1.498e-01
23.269999,+9.059e-02,+1.148e-01,+1.588e-01,+8.119e-02,+1.057e-01,+1.499e-01
23.289999,+8.855e-02,+1.152e-01,+1.591e-01,+8.480e-02,+1.020e-01,+1.500e-01
23.299999,+8.731e-02,+1.156e-01,+1.594e-01,+8.696e-02,+9.990e-02,+1.502e-01
23.319999,+8.653e-02,+1.095e-01,+1.596e-01,+8.831e-02,+1.050e-01,+1.503e-01
23.329999,+8.601e-02,+1.123e-01,+1.597e-01,+8.918e-02,+1.080e-01,+1.504e-01
23.349999,+8.565e-02,+1.140e-01,+1.599e-01,+8.978e-02,+1.098e-01,+1.505e-01
23.369999,+8.536e-02,+1.150e-01,+1.600e-01,+9.023e-02,+1.109e-01,+1.507e-01
23.379999,+8.513e-02,+1.157e-01,+1.601e-01,+9.059e-02,+1.116e-01,+1.508e-01
23.389999,+8.492e-02,+1.098e-01,+1.602e-01,+9.090e-02,+1.121e-01,+1.509e-01
23.409999,+8.473e-02,+1.063e-01,+1.603e-01,+8.479e-02,+1.125e-01,+1.510e-01
23.419999,+8.455e-02,+1.107e-01,+1.604e-01,+8.123e-02,+1.128e-01,+1.512e-01
23.439999,+8.437e-02,+1.132e-01,+1.605e-01,+7.914e-02,+1.130e-01,+1.513e-01
23.449999,+8.420e-02,+1.148e-01,+1.607e-01,+7.789e-02,+1.133e-01,+1.514e-01
23.469999,+8.403e-02,+1.157e-01,+1.608e-01,+7.710e-02,+1.135e-01,+1.451e-01
23.489999,+8.386e-02,+1.099e-01,+1.609e-01,+7.659e-02,+1.137e-01,+1.414e-01
23.499999,+8.369e-02,+1.066e-01,+1.610e-01,+7.623e-02,+1.139e-01,+1.392e-01
23.509999,+8.352e-02,+1.046e-01,+1.611e-01,+8.237e-02,+1.141e-01,+1.442e-01
23.529999,+8.336e-02,+1.033e-01,+1.612e-01,+8.597e-02,+1.143e-01,+1.472e-01
23.539999,+8.319e-02,+1.025e-01,+1.613e-01,+8.813e-02,+1.145e-01,+1.489e-01
23.559999,+8.942e-02,+1.020e-01,+1.614e-01,+8.946e-02,+1.147e-01,+1.499e-01
23.569999,+9.308e-02,+1.016e-01,+1.615e-01,+9.033e-02,+1.149e-01,+1.441e-01
23.589999,+9.526e-02,+1.013e-01,+1.616e-01,+9.093e-02,+1.151e-01,+1.407e-01
23.609999,+9.660e-02,+1.010e-01,+1.617e-01,+9.138e-02,+1.153e-01,+1.387e-01
23.619999,+9.747e-02,+1.008e-01,+1.554e-01,+9.174e-02,+1.091e-01,+1.374e-01
23.639999,+9.806e-02,+1.006e-01,+1.581e-01,+9.205e-02,+1.055e-01,+1.365e-01
23.649999,+9.850e-02,+1.004e-01,+1.597e-01,+9.233e-02,+1.033e-01,+1.423e-01
23.669999,+9.884e-02,+1.001e-01,+1.606e-01,+9.259e-02,+1.084e-01,+1.457e-01
23.689999,+9.914e-02,+9.994e-02,+1.612e-01,+9.285e-02,+1.114e-01,+1.477e-01
23.699999,+9.941e-02,+9.974e-02,+1.552e-01,+8.669e-02,+1.132e-01,+1.425e-01
23.709999,+9.966e-02,+9.954e-02,+1.516e-01,+8.312e-02,+1.079e-01,+1.394e-01
23.729999,+9.990e-02,+9.934e-02,+1.495e-01,+8.102e-02,+1.048e-01,+1.375e-01
23.739999,+1.001e-01,+9.914e-02,+1.481e-01,+8.615e-02,+1.029e-01,+1.363e-01
23.759999,+1.004e-01,+9.894e-02,+1.472e-01,+8.918e-02,+1.082e-01,+1.355e-01
23.769999,+1.006e-01,+9.874e-02,+1.466e-01,+9.101e-02,+1.113e-01,+1.349e-01
23.789999,+1.008e-01,+9.855e-02,+1.461e-01,+9.216e-02,+1.131e-01,+1.345e-01
23.799999,+1.011e-01,+9.835e-02,+1.457e-01,+9.292e-02,+1.142e-01,+1.341e-01
23.809999,+1.013e-01,+9.815e-02,+1.517e-01,+9.345e-02,+1.150e-01,+1.338e-01
23.829999,+1.015e-01,+1.044e-01,+1.552e-01,+8.746e-02,+1.155e-01,+1.335e-01
23.849999,+1.017e-01,+1.080e-01,+1.573e-01,+9.037e-02,+1.158e-01,+1.332e-01
23.859999,+9.555e-02,+1.101e-01,+1.585e-01,+9.214e-02,+1.097e-01,+1.329e-01
23.879999,+9.196e-02,+1.114e-01,+1.592e-01,+9.325e-02,+1.062e-01,+1.327e-01
23.889999,+8.983e-02,+1.123e-01,+1.597e-01,+9.398e-02,+1.040e-01,+1.324e-01
23.909999,+8.855e-02,+1.064e-01,+1.600e-01,+9.450e-02,+1.091e-01,+1.385e-01
23.929999,+8.774e-02,+1.030e-01,+1.602e-01,+9.490e-02,+1.121e-01,+1.421e-01
23.939999,+8.721e-02,+1.010e-01,+1.604e-01,+8.883e-02,+1.139e-01,+1.442e-01
23.959999,+8.683e-02,+9.976e-02,+1.541e-01,+9.170e-02,+1.150e-01,+1.390e-01
