Time (s),fs1 (User unit),fs2 (User unit),fs3 (User unit),fs4 (User unit),fs5 (User unit),fs6 (User unit)
0.620,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.630,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.640,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.650,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.660,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.670,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.680,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.690,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.700,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.710,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.720,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.730,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.740,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.750,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.760,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.770,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.780,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.790,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.800,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.810,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.820,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.830,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.840,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.850,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.860,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.870,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.880,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.890,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.900,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.910,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.920,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.930,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.940,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
0.950,+1.000e+00,+2.100e+00,+3.200e+00,+4.300e+00,+5.400e+00,+6.500e+00
