__time,/sim_ros_interface/topic/forwardModel/data[0],/sim_ros_interface/topic/forwardModel/data[10],/sim_ros_interface/topic/forwardModel/data[11],/sim_ros_interface/topic/forwardModel/data[12],/sim_ros_interface/topic/forwardModel/data[13],/sim_ros_interface/topic/forwardModel/data[14],/sim_ros_interface/topic/forwardModel/data[15],/sim_ros_interface/topic/forwardModel/data[16],/sim_ros_interface/topic/forwardModel/data[17],/sim_ros_interface/topic/forwardModel/data[18],/sim_ros_interface/topic/forwardModel/data[19],/sim_ros_interface/topic/forwardModel/data[1],/sim_ros_interface/topic/forwardModel/data[20],/sim_ros_interface/topic/forwardModel/data[21],/sim_ros_interface/topic/forwardModel/data[22],/sim_ros_interface/topic/forwardModel/data[23],/sim_ros_interface/topic/forwardModel/data[24],/sim_ros_interface/topic/forwardModel/data[25],/sim_ros_interface/topic/forwardModel/data[26],/sim_ros_interface/topic/forwardModel/data[27],/sim_ros_interface/topic/forwardModel/data[28],/sim_ros_interface/topic/forwardModel/data[29],/sim_ros_interface/topic/forwardModel/data[2],/sim_ros_interface/topic/forwardModel/data[30],/sim_ros_interface/topic/forwardModel/data[31],/sim_ros_interface/topic/forwardModel/data[32],/sim_ros_interface/topic/forwardModel/data[33],/sim_ros_interface/topic/forwardModel/data[34],/sim_ros_interface/topic/forwardModel/data[35],/sim_ros_interface/topic/forwardModel/data[36],/sim_ros_interface/topic/forwardModel/data[37],/sim_ros_interface/topic/forwardModel/data[38],/sim_ros_interface/topic/forwardModel/data[39],/sim_ros_interface/topic/forwardModel/data[3],/sim_ros_interface/topic/forwardModel/data[40],/sim_ros_interface/topic/forwardModel/data[41],/sim_ros_interface/topic/forwardModel/data[42],/sim_ros_interface/topic/forwardModel/data[43],/sim_ros_interface/topic/forwardModel/data[44],/sim_ros_interface/topic/forwardModel/data[45],/sim_ros_interface/topic/forwardModel/data[46],/sim_ros_interface/topic/forwardModel/data[47],/sim_ros_interface/topic/forwardModel/data[48],/sim_ros_interface/topic/forwardModel/data[4],/sim_ros_interface/topic/forwardModel/data[5],/sim_ros_interface/topic/forwardModel/data[6],/sim_ros_interface/topic/forwardModel/data[7],/sim_ros_interface/topic/forwardModel/data[8],/sim_ros_interface/topic/forwardModel/data[9],/sim_ros_interface/topic/forwardModel/layout/data_offset,/sim_ros_interface/topic/sfweights/data[0],/sim_ros_interface/topic/sfweights/data[1],/sim_ros_interface/topic/sfweights/data[2],/sim_ros_interface/topic/sfweights/data[3],/sim_ros_interface/topic/sfweights/data[4],/sim_ros_interface/topic/sfweights/data[5],/sim_ros_interface/topic/sfweights/layout/data_offset
1716562127.374715,0.000000000,1.000000000,0.050116628,1.000000000,0.038278971,0.000370545,0.000161407,1.000000000,0.000000000,1.000000000,0.070558310,0.000000000,1.000000000,0.218063474,0.000036341,-0.000093914,0.000000000,0.000000000,0.000000000,0.147377044,0.000000000,-0.026283491,0.000000000,0.289632112,0.136902526,1.000000000,0.000000000,1.000000000,0.050565835,1.000000000,22.664773941,0.000370545,0.000161407,0.145224333,1.000000000,0.000000000,1.000000000,0.071323380,1.000000000,0.043969482,0.000036341,-0.000093914,0.170000000,0.000000000,-0.143142030,0.289632112,0.136902526,1.000000000,0.000000000,0.000000000,,,,,,,
1716562127.374753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145224333,0.050116628,0.070558310,0.147377044,0.050565835,0.071323380,0.000000000
1716562127.407894,0.000000000,1.000000000,0.049849506,1.000000000,-0.108799711,0.000836302,0.000363875,1.000000000,0.000000000,1.000000000,0.068922520,0.000000000,1.000000000,108.435523987,0.000426725,0.000062278,0.000000000,0.000000000,0.000000000,0.146506280,0.000000000,-0.077277176,0.000000000,0.466129273,0.235670552,1.000000000,0.000000000,1.000000000,0.050297815,1.000000000,0.016568620,0.000836302,0.000363875,0.144357875,1.000000000,0.000000000,1.000000000,0.069686063,1.000000000,94.094184875,0.000426725,0.000062278,0.170000000,0.000000000,-0.137280732,0.466129273,0.235670552,1.000000000,0.000000000,0.000000000,,,,,,,
1716562127.407925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144357875,0.049849506,0.068922520,0.146506280,0.050297815,0.069686063,0.000000000
1716562127.441208,0.000000000,0.000000000,0.049654678,1.000000000,-0.000454640,0.001896247,0.000823587,1.000000000,0.000000000,1.000000000,0.067932710,0.000000000,1.000000000,108.361625671,0.001193276,0.000401577,0.000000000,0.000000000,0.000000000,0.145884931,0.000000000,0.091844879,0.000000000,0.719000995,0.380669683,1.000000000,0.000000000,1.000000000,0.050102092,1.000000000,0.020703426,0.001896247,0.000823587,0.143740833,1.000000000,0.000000000,1.000000000,0.068694733,1.000000000,94.057167053,0.001193276,0.000401577,0.170000000,0.000000000,0.063577719,0.719000995,0.380669683,1.000000000,1.000000000,0.000000000,,,,,,,
1716562127.441241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143740833,0.049654678,0.067932710,0.145884931,0.050102092,0.068694733,0.000000000
1716562127.474545,0.000000000,0.000000000,0.055901147,1.000000000,-0.222080842,0.003963627,0.001765599,1.000000000,0.000000000,1.000000000,0.067311227,0.000000000,1.000000000,199.614898682,0.003036458,0.001192041,0.000000000,0.000000000,0.000000000,0.145406023,0.000000000,-0.000060399,0.000000000,1.050195456,0.581527412,1.000000000,0.000000000,1.000000000,0.049947664,1.000000000,-0.069638558,0.003963627,0.001765599,0.143266201,1.000000000,0.000000000,1.000000000,0.068071723,1.000000000,199.183181763,0.003036458,0.001192041,0.170000000,0.000000000,0.072257221,1.050195456,0.581527412,1.000000000,1.000000000,0.000000000,,,,,,,
1716562127.474582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143266201,0.055901147,0.067311227,0.145406023,0.049947664,0.068071723,0.000000000
1716562127.507898,0.000000000,1.000000000,0.059590437,1.000000000,78.347953796,0.005203088,0.002796846,1.000000000,0.000000000,1.000000000,0.066899806,0.000000000,1.000000000,193.962463379,0.009312052,0.003628045,0.000000000,0.000000000,0.000000000,0.145008534,0.000000000,0.141993284,0.000000000,1.376205802,0.819930911,1.000000000,1.000000000,0.000000000,0.049816862,1.000000000,0.089305982,0.005203088,0.002796846,0.142872989,1.000000000,0.000000000,1.000000000,0.067658775,1.000000000,195.108078003,0.009312052,0.003628045,0.170000000,0.000000000,0.119740114,1.376205802,0.819930911,1.000000000,0.000000000,0.000000000,,,,,,,
1716562127.507941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142872989,0.059590437,0.066899806,0.145008534,0.049816862,0.067658775,0.000000000
