Time (s),CPG0 (User unit),CPG1 (User unit),Z_POS (Meters),CL0 (Degrees),FL0 (Degrees),TL0 (Degrees),ACT0 (User unit),ACT1 (User unit)
14.400,-5.641e-01,+8.847e-01,-1.110e+00,+2.082e+00,+2.396e+00,+1.471e+00,Null,Null
14.410,-5.010e-01,+8.818e-01,-1.025e+00,+2.145e+00,+2.381e+00,+1.522e+00,Null,Null
14.420,Null,Null,-9.497e-01,+2.197e+00,+2.368e+00,+1.565e+00,Null,Null
14.430,-4.344e-01,+8.766e-01,-8.907e-01,+2.246e+00,+2.349e+00,+1.610e+00,Null,Null
14.440,Null,Null,-8.513e-01,+2.286e+00,+2.334e+00,+1.647e+00,Null,Null
14.450,-3.556e-01,+8.712e-01,-8.334e-01,+2.324e+00,+2.308e+00,+1.685e+00,Null,Null
14.460,-2.446e-01,+8.676e-01,-8.362e-01,+2.364e+00,+2.260e+00,+1.727e+00,Null,Null
14.470,Null,Null,-8.524e-01,+2.397e+00,+2.221e+00,+1.761e+00,Null,Null
14.480,-8.935e-02,+8.599e-01,-8.821e-01,+2.434e+00,+2.162e+00,+1.800e+00,Null,Null
14.490,Null,Null,-9.213e-01,+2.464e+00,+2.113e+00,+1.832e+00,Null,Null
14.500,+1.250e-01,+8.451e-01,-9.720e-01,+2.495e+00,+2.048e+00,+1.867e+00,Null,Null
14.510,+3.982e-01,+8.204e-01,-1.029e+00,+2.522e+00,+2.004e+00,+1.906e+00,Null,Null
14.520,Null,Null,-1.077e+00,+2.538e+00,+1.990e+00,+1.937e+00,Null,Null
14.530,+6.625e-01,+7.807e-01,-1.136e+00,+2.543e+00,+1.986e+00,+1.971e+00,Null,Null
14.540,Null,Null,-1.204e+00,+2.545e+00,+1.984e+00,+1.999e+00,Null,Null
14.550,+8.197e-01,+7.247e-01,-1.280e+00,+2.545e+00,+1.984e+00,+2.032e+00,Null,Null
14.560,Null,Null,-1.362e+00,+2.546e+00,+1.984e+00,+2.059e+00,Null,Null
14.570,+8.765e-01,+6.612e-01,-1.453e+00,+2.545e+00,+1.984e+00,+2.093e+00,Null,Null
14.580,Null,Null,-1.534e+00,+2.545e+00,+1.983e+00,+2.123e+00,Null,Null
14.590,+8.901e-01,+5.982e-01,-1.603e+00,+2.542e+00,+1.983e+00,+2.162e+00,Null,Null
14.600,+8.878e-01,+4.970e-01,-1.681e+00,+2.517e+00,+1.985e+00,+2.196e+00,Null,Null
14.610,Null,Null,-1.769e+00,+2.496e+00,+1.984e+00,+2.222e+00,Null,Null
14.620,+8.774e-01,+3.507e-01,-1.866e+00,+2.462e+00,+1.984e+00,+2.242e+00,Null,Null
14.630,Null,Null,-1.926e+00,+2.457e+00,+1.977e+00,+2.255e+00,Null,Null
14.640,+8.593e-01,+1.734e-01,-1.925e+00,+2.437e+00,+1.976e+00,+2.265e+00,Null,Null
14.650,Null,Null,-1.925e+00,+2.407e+00,+1.979e+00,+2.275e+00,Null,Null
14.660,+8.300e-01,-3.408e-02,-1.924e+00,+2.393e+00,+1.982e+00,+2.294e+00,Null,Null
14.670,Null,Null,-1.920e+00,+2.381e+00,+1.984e+00,+2.309e+00,Null,Null
14.680,+8.001e-01,-2.583e-01,-1.911e+00,+2.387e+00,+1.984e+00,+2.319e+00,Null,Null
14.690,+7.708e-01,-5.044e-01,-1.907e+00,+2.391e+00,+1.984e+00,+2.319e+00,Null,Null
14.700,+7.300e-01,-7.127e-01,-1.914e+00,+2.392e+00,+1.984e+00,+2.315e+00,Null,Null
14.710,+6.794e-01,-8.295e-01,-1.925e+00,+2.385e+00,+1.983e+00,+2.311e+00,Null,Null
14.720,Null,Null,-1.925e+00,+2.379e+00,+1.982e+00,+2.307e+00,Null,Null
14.730,+6.144e-01,-8.677e-01,-1.925e+00,+2.364e+00,+1.982e+00,+2.306e+00,Null,Null
14.740,+5.389e-01,-8.729e-01,-1.925e+00,+2.349e+00,+1.982e+00,+2.311e+00,Null,Null
14.750,Null,Null,-1.924e+00,+2.337e+00,+1.984e+00,+2.315e+00,Null,Null
14.760,+4.563e-01,-8.694e-01,-1.914e+00,+2.331e+00,+1.984e+00,+2.323e+00,Null,Null
14.770,Null,Null,-1.898e+00,+2.327e+00,+1.984e+00,+2.330e+00,Null,Null
14.780,+3.648e-01,-8.642e-01,-1.879e+00,+2.327e+00,+1.984e+00,+2.338e+00,Null,Null
14.790,+2.604e-01,-8.589e-01,-1.858e+00,+2.328e+00,+1.984e+00,+2.344e+00,Null,Null
14.800,Null,Null,-1.845e+00,+2.330e+00,+1.984e+00,+2.350e+00,Null,Null
14.810,+1.334e-01,-8.526e-01,-1.840e+00,+2.329e+00,+1.984e+00,+2.354e+00,Null,Null
14.820,Null,Null,-1.843e+00,+2.328e+00,+1.984e+00,+2.358e+00,Null,Null
14.830,-4.194e-02,-8.399e-01,-1.852e+00,+2.320e+00,+1.984e+00,+2.360e+00,Null,Null
14.840,Null,Null,-1.860e+00,+2.313e+00,+1.984e+00,+2.362e+00,Null,Null
14.850,-2.764e-01,-8.192e-01,-1.868e+00,+2.300e+00,+1.984e+00,+2.361e+00,Null,Null
14.860,Null,Null,-1.874e+00,+2.289e+00,+1.984e+00,+2.360e+00,Null,Null
14.870,-5.414e-01,-7.855e-01,-1.880e+00,+2.271e+00,+1.984e+00,+2.353e+00,Null,Null
14.880,-7.477e-01,-7.344e-01,-1.886e+00,+2.244e+00,+1.983e+00,+2.332e+00,Null,Null
14.890,Null,Null,-1.876e+00,+2.221e+00,+1.983e+00,+2.315e+00,Null,Null
14.900,-8.461e-01,-6.691e-01,-1.856e+00,+2.191e+00,+1.984e+00,+2.275e+00,Null,Null
14.910,Null,Null,-1.829e+00,+2.166e+00,+1.984e+00,+2.241e+00,Null,Null
14.920,-8.775e-01,-5.935e-01,-1.799e+00,+2.138e+00,+1.984e+00,+2.176e+00,Null,Null
14.930,Null,Null,-1.769e+00,+2.115e+00,+1.984e+00,+2.122e+00,Null,Null
14.940,-8.829e-01,-5.103e-01,-1.739e+00,+2.094e+00,+1.984e+00,+2.038e+00,Null,Null
14.950,Null,Null,-1.711e+00,+2.077e+00,+1.984e+00,+1.967e+00,Null,Null
14.960,-8.793e-01,-4.188e-01,-1.685e+00,+2.063e+00,+1.984e+00,+1.871e+00,Null,Null
14.970,-8.723e-01,-3.101e-01,-1.669e+00,+2.045e+00,+1.984e+00,+1.771e+00,Null,Null
14.980,Null,Null,-1.668e+00,+2.030e+00,+1.984e+00,+1.676e+00,Null,Null
14.990,-8.619e-01,-1.746e-01,-1.676e+00,+2.011e+00,+1.984e+00,+1.584e+00,Null,Null
15.000,Null,Null,-1.681e+00,+1.995e+00,+1.983e+00,+1.507e+00,Null,Null
15.010,-8.263e-01,+2.513e-01,-1.681e+00,+1.985e+00,+1.983e+00,+1.429e+00,Null,Null
15.020,Null,Null,-1.678e+00,+1.977e+00,+1.984e+00,+1.365e+00,Null,Null
15.030,-7.934e-01,+5.302e-01,-1.676e+00,+1.971e+00,+1.984e+00,+1.307e+00,Null,Null
15.040,-7.430e-01,+7.481e-01,-1.667e+00,+1.966e+00,+1.984e+00,+1.257e+00,Null,Null
15.050,Null,Null,-1.656e+00,+1.962e+00,+1.984e+00,+1.215e+00,Null,Null
15.060,-6.787e-01,+8.502e-01,-1.643e+00,+1.957e+00,+1.984e+00,+1.178e+00,Null,Null
15.070,-6.070e-01,+8.826e-01,-1.625e+00,+1.953e+00,+1.984e+00,+1.147e+00,Null,Null
15.080,Null,Null,-1.605e+00,+1.950e+00,+1.984e+00,+1.121e+00,Null,Null
15.090,-5.370e-01,+8.867e-01,-1.589e+00,+1.947e+00,+1.984e+00,+1.102e+00,Null,Null
15.100,-4.632e-01,+8.837e-01,-1.580e+00,+1.947e+00,+1.984e+00,+1.093e+00,Null,Null
15.110,Null,Null,-1.582e+00,+1.946e+00,+1.984e+00,+1.086e+00,Null,Null
15.120,-3.795e-01,+8.781e-01,-1.592e+00,+1.947e+00,+1.984e+00,+1.090e+00,Null,Null
15.130,Null,Null,-1.602e+00,+1.947e+00,+1.984e+00,+1.094e+00,Null,Null
15.140,-2.768e-01,+8.708e-01,-1.607e+00,+1.946e+00,+1.984e+00,+1.107e+00,Null,Null
15.150,-1.327e-01,+8.634e-01,-1.608e+00,+1.939e+00,+1.984e+00,+1.125e+00,Null,Null
15.160,+6.601e-02,+8.500e-01,-1.610e+00,+1.932e+00,+1.984e+00,+1.146e+00,Null,Null
15.170,Null,Null,-1.610e+00,+1.927e+00,+1.984e+00,+1.163e+00,Null,Null
15.180,+3.279e-01,+8.279e-01,-1.606e+00,+1.925e+00,+1.988e+00,+1.181e+00,Null,Null
15.190,+6.049e-01,+7.922e-01,-1.596e+00,+1.929e+00,+1.997e+00,+1.201e+00,Null,Null
15.200,Null,Null,-1.579e+00,+1.932e+00,+2.005e+00,+1.218e+00,Null,Null
15.210,+7.927e-01,+7.396e-01,-1.557e+00,+1.937e+00,+2.021e+00,+1.236e+00,Null,Null
15.220,Null,Null,-1.530e+00,+1.943e+00,+2.034e+00,+1.252e+00,Null,Null
15.230,+8.684e-01,+6.768e-01,-1.510e+00,+1.950e+00,+2.059e+00,+1.270e+00,Null,Null
15.240,+8.886e-01,+6.134e-01,-1.490e+00,+1.957e+00,+2.100e+00,+1.293e+00,Null,Null
15.250,+8.908e-01,+5.510e-01,-1.468e+00,+1.970e+00,+2.158e+00,+1.320e+00,Null,Null
15.260,Null,Null,-1.443e+00,+1.980e+00,+2.207e+00,+1.343e+00,Null,Null
15.270,+8.878e-01,+4.869e-01,-1.416e+00,+1.995e+00,+2.270e+00,+1.371e+00,Null,Null
15.280,Null,Null,-1.384e+00,+2.008e+00,+2.321e+00,+1.395e+00,Null,Null
15.290,+8.830e-01,+4.163e-01,-1.340e+00,+2.030e+00,+2.371e+00,+1.425e+00,Null,Null
15.300,Null,Null,-1.285e+00,+2.050e+00,+2.412e+00,+1.451e+00,Null,Null
15.310,+8.770e-01,+3.324e-01,-1.217e+00,+2.092e+00,+2.424e+00,+1.488e+00,Null,Null
15.320,+8.695e-01,+2.259e-01,-1.138e+00,+2.154e+00,+2.402e+00,+1.535e+00,Null,Null
15.330,Null,Null,-1.062e+00,+2.205e+00,+2.384e+00,+1.577e+00,Null,Null
15.340,+8.593e-01,+8.257e-02,-1.003e+00,+2.253e+00,+2.362e+00,+1.620e+00,Null,Null
15.350,Null,Null,-9.631e-01,+2.291e+00,+2.344e+00,+1.656e+00,Null,Null
15.360,+8.441e-01,-1.147e-01,-9.427e-01,+2.329e+00,+2.314e+00,+1.693e+00,Null,Null
15.370,+8.207e-01,-3.685e-01,-9.429e-01,+2.369e+00,+2.264e+00,+1.734e+00,Null,Null
15.380,Null,Null,-9.572e-01,+2.402e+00,+2.223e+00,+1.769e+00,Null,Null
15.390,+7.836e-01,-6.259e-01,-9.814e-01,+2.437e+00,+2.162e+00,+1.806e+00,Null,Null
15.400,Null,Null,-1.006e+00,+2.466e+00,+2.112e+00,+1.837e+00,Null,Null
15.410,+7.309e-01,-7.947e-01,-1.033e+00,+2.497e+00,+2.045e+00,+1.873e+00,Null,Null
15.420,Null,Null,-1.058e+00,+2.520e+00,+2.003e+00,+1.902e+00,Null,Null
15.430,+6.700e-01,-8.635e-01,-1.070e+00,+2.537e+00,+1.989e+00,+1.935e+00,Null,Null
15.440,Null,Null,-1.086e+00,+2.543e+00,+1.985e+00,+1.962e+00,Null,Null
15.450,+6.046e-01,-8.806e-01,-1.107e+00,+2.545e+00,+1.984e+00,+1.993e+00,Null,Null
15.460,+5.396e-01,-8.819e-01,-1.126e+00,+2.545e+00,+1.984e+00,+2.028e+00,Null,Null
15.470,Null,Null,-1.143e+00,+2.545e+00,+1.983e+00,+2.057e+00,Null,Null
15.480,+4.713e-01,-8.781e-01,-1.160e+00,+2.545e+00,+1.983e+00,+2.095e+00,Null,Null
15.490,Null,Null,-1.177e+00,+2.546e+00,+1.983e+00,+2.125e+00,Null,Null
15.500,+3.943e-01,-8.725e-01,-1.200e+00,+2.541e+00,+1.984e+00,+2.165e+00,Null,Null
15.510,+3.076e-01,-8.673e-01,-1.244e+00,+2.514e+00,+1.985e+00,+2.198e+00,Null,Null
15.520,Null,Null,-1.301e+00,+2.490e+00,+1.984e+00,+2.223e+00,Null,Null
15.530,+1.954e-01,-8.593e-01,-1.372e+00,+2.456e+00,+1.984e+00,+2.242e+00,Null,Null
15.540,+4.300e-02,-8.476e-01,-1.459e+00,+2.424e+00,+1.984e+00,+2.260e+00,Null,Null
15.550,Null,Null,-1.552e+00,+2.396e+00,+1.984e+00,+2.276e+00,Null,Null
15.560,-1.784e-01,-8.263e-01,-1.644e+00,+2.371e+00,+1.984e+00,+2.291e+00,Null,Null
15.570,Null,Null,-1.733e+00,+2.351e+00,+1.983e+00,+2.304e+00,Null,Null
15.580,-4.506e-01,-7.945e-01,-1.820e+00,+2.331e+00,+1.984e+00,+2.314e+00,Null,Null
15.590,Null,Null,-1.906e+00,+2.315e+00,+1.984e+00,+2.322e+00,Null,Null
15.600,-6.946e-01,-7.454e-01,-1.933e+00,+2.325e+00,+1.972e+00,+2.324e+00,Null,Null
15.610,Null,Null,-1.928e+00,+2.306e+00,+1.973e+00,+2.325e+00,Null,Null
15.620,-8.279e-01,-6.784e-01,-1.926e+00,+2.282e+00,+1.974e+00,+2.314e+00,Null,Null
15.630,-8.714e-01,-6.094e-01,-1.921e+00,+2.275e+00,+1.977e+00,+2.319e+00,Null,Null
15.640,Null,Null,-1.908e+00,+2.270e+00,+1.984e+00,+2.325e+00,Null,Null
15.650,-8.811e-01,-5.365e-01,-1.869e+00,+2.299e+00,+1.984e+00,+2.345e+00,Null,Null
15.660,Null,Null,-1.816e+00,+2.324e+00,+1.984e+00,+2.361e+00,Null,Null
15.670,-8.795e-01,-4.578e-01,-1.765e+00,+2.350e+00,+1.984e+00,+2.366e+00,Null,Null
15.680,Null,Null,-1.721e+00,+2.373e+00,+1.984e+00,+2.370e+00,Null,Null
15.690,-8.744e-01,-3.629e-01,-1.693e+00,+2.383e+00,+1.984e+00,+2.362e+00,Null,Null
15.700,Null,Null,-1.679e+00,+2.391e+00,+1.984e+00,+2.355e+00,Null,Null
15.710,-8.667e-01,-2.417e-01,-1.681e+00,+2.381e+00,+1.984e+00,+2.346e+00,Null,Null
15.720,Null,Null,-1.688e+00,+2.374e+00,+1.984e+00,+2.338e+00,Null,Null
15.730,-8.558e-01,-7.921e-02,-1.699e+00,+2.358e+00,+1.984e+00,+2.334e+00,Null,Null
15.740,-8.391e-01,+1.400e-01,-1.710e+00,+2.342e+00,+1.984e+00,+2.335e+00,Null,Null
15.750,Null,Null,-1.718e+00,+2.330e+00,+1.984e+00,+2.337e+00,Null,Null
15.760,-8.116e-01,+4.124e-01,-1.719e+00,+2.316e+00,+1.983e+00,+2.341e+00,Null,Null
15.770,-7.674e-01,+6.703e-01,-1.706e+00,+2.301e+00,+1.983e+00,+2.344e+00,Null,Null
15.780,Null,Null,-1.682e+00,+2.289e+00,+1.983e+00,+2.346e+00,Null,Null
15.790,-7.048e-01,+8.221e-01,-1.656e+00,+2.271e+00,+1.984e+00,+2.341e+00,Null,Null
15.800,Null,Null,-1.633e+00,+2.257e+00,+1.984e+00,+2.337e+00,Null,Null
15.810,-6.331e-01,+8.760e-01,-1.619e+00,+2.234e+00,+1.984e+00,+2.319e+00,Null,Null
15.820,Null,Null,-1.612e+00,+2.214e+00,+1.984e+00,+2.303e+00,Null,Null
15.830,-5.588e-01,+8.883e-01,-1.615e+00,+2.186e+00,+1.984e+00,+2.263e+00,Null,Null
15.840,Null,Null,-1.625e+00,+2.163e+00,+1.984e+00,+2.231e+00,Null,Null
15.850,-4.804e-01,+8.875e-01,-1.639e+00,+2.135e+00,+1.984e+00,+2.170e+00,Null,Null
15.860,-3.920e-01,+8.825e-01,-1.647e+00,+2.111e+00,+1.983e+00,+2.082e+00,Null,Null
15.870,Null,Null,-1.647e+00,+2.091e+00,+1.984e+00,+2.010e+00,Null,Null
15.880,-2.838e-01,+8.753e-01,-1.637e+00,+2.076e+00,+1.984e+00,+1.915e+00,Null,Null
15.890,Null,Null,-1.623e+00,+2.064e+00,+1.984e+00,+1.834e+00,Null,Null
15.900,-1.413e-01,+8.655e-01,-1.610e+00,+2.051e+00,+1.984e+00,+1.737e+00,Null,Null
15.910,Null,Null,-1.598e+00,+2.041e+00,+1.984e+00,+1.654e+00,Null,Null
15.920,+5.453e-02,+8.514e-01,-1.590e+00,+2.025e+00,+1.984e+00,+1.567e+00,Null,Null
15.930,Null,Null,-1.587e+00,+2.012e+00,+1.984e+00,+1.495e+00,Null,Null
15.940,+3.138e-01,+8.296e-01,-1.585e+00,+1.999e+00,+1.984e+00,+1.427e+00,Null,Null
15.950,+5.926e-01,+7.945e-01,-1.582e+00,+1.988e+00,+1.984e+00,+1.363e+00,Null,Null
15.960,Null,Null,-1.585e+00,+1.980e+00,+1.984e+00,+1.312e+00,Null,Null
15.970,+7.865e-01,+7.427e-01,-1.591e+00,+1.974e+00,+1.984e+00,+1.266e+00,Null,Null
15.980,Null,Null,-1.596e+00,+1.968e+00,+1.984e+00,+1.228e+00,Null,Null
15.990,+8.665e-01,+6.802e-01,-1.594e+00,+1.963e+00,+1.984e+00,+1.192e+00,Null,Null
16.000,Null,Null,-1.590e+00,+1.960e+00,+1.983e+00,+1.163e+00,Null,Null
16.010,+8.883e-01,+6.167e-01,-1.585e+00,+1.956e+00,+1.984e+00,+1.136e+00,Null,Null
16.020,+8.909e-01,+5.543e-01,-1.581e+00,+1.953e+00,+1.984e+00,+1.112e+00,Null,Null
16.030,Null,Null,-1.578e+00,+1.950e+00,+1.984e+00,+1.093e+00,Null,Null
16.040,+8.875e-01,+4.824e-01,-1.573e+00,+1.947e+00,+1.983e+00,+1.079e+00,Null,Null
16.050,Null,Null,-1.567e+00,+1.944e+00,+1.984e+00,+1.067e+00,Null,Null
16.060,+8.808e-01,+3.900e-01,-1.558e+00,+1.942e+00,+1.984e+00,+1.063e+00,Null,Null
16.070,Null,Null,-1.544e+00,+1.941e+00,+1.984e+00,+1.059e+00,Null,Null
16.080,+8.706e-01,+2.672e-01,-1.525e+00,+1.942e+00,+1.984e+00,+1.066e+00,Null,Null
16.090,+8.543e-01,+1.030e-01,-1.499e+00,+1.944e+00,+1.984e+00,+1.082e+00,Null,Null
16.100,Null,Null,-1.466e+00,+1.944e+00,+1.984e+00,+1.096e+00,Null,Null
16.110,+8.301e-01,-1.009e-01,-1.434e+00,+1.939e+00,+1.984e+00,+1.115e+00,Null,Null
16.120,Null,Null,-1.406e+00,+1.935e+00,+1.984e+00,+1.131e+00,Null,Null
16.130,+7.972e-01,-3.358e-01,-1.387e+00,+1.929e+00,+1.984e+00,+1.149e+00,Null,Null
16.140,Null,Null,-1.376e+00,+1.924e+00,+1.984e+00,+1.164e+00,Null,Null
16.150,+7.549e-01,-5.702e-01,-1.372e+00,+1.922e+00,+1.989e+00,+1.181e+00,Null,Null
16.160,Null,Null,-1.372e+00,+1.921e+00,+1.993e+00,+1.195e+00,Null,Null
16.170,+7.041e-01,-7.465e-01,-1.373e+00,+1.924e+00,+2.000e+00,+1.211e+00,Null,Null
16.180,+6.507e-01,-8.394e-01,-1.371e+00,+1.931e+00,+2.015e+00,+1.229e+00,Null,Null
16.190,Null,Null,-1.362e+00,+1.936e+00,+2.026e+00,+1.245e+00,Null,Null
16.200,+5.953e-01,-8.734e-01,-1.343e+00,+1.943e+00,+2.049e+00,+1.263e+00,Null,Null
16.210,Null,Null,-1.310e+00,+1.949e+00,+2.068e+00,+1.278e+00,Null,Null
16.220,+5.361e-01,-8.808e-01,-1.268e+00,+1.955e+00,+2.103e+00,+1.298e+00,Null,Null
16.230,Null,Null,-1.219e+00,+1.963e+00,+2.132e+00,+1.314e+00,Null,Null
16.240,+4.729e-01,-8.794e-01,-1.165e+00,+1.973e+00,+2.179e+00,+1.335e+00,Null,Null
16.250,+4.019e-01,-8.749e-01,-1.097e+00,+1.986e+00,+2.241e+00,+1.362e+00,Null,Null
16.260,Null,Null,-1.022e+00,+1.999e+00,+2.293e+00,+1.385e+00,Null,Null
16.270,+3.164e-01,-8.686e-01,-9.386e-01,+2.021e+00,+2.348e+00,+1.415e+00,Null,Null
16.280,+2.069e-01,-8.604e-01,-8.318e-01,+2.062e+00,+2.379e+00,+1.454e+00,Null,Null
16.290,Null,Null,-7.199e-01,+2.097e+00,+2.404e+00,+1.487e+00,Null,Null
16.300,+5.868e-02,-8.490e-01,-6.061e-01,+2.154e+00,+2.391e+00,+1.533e+00,Null,Null
16.310,Null,Null,-4.975e-01,+2.202e+00,+2.380e+00,+1.571e+00,Null,Null
16.320,-1.445e-01,-8.321e-01,-3.992e-01,+2.248e+00,+2.359e+00,+1.613e+00,Null,Null
16.330,Null,Null,-3.124e-01,+2.287e+00,+2.343e+00,+1.648e+00,Null,Null
16.340,-4.014e-01,-8.057e-01,-2.408e-01,+2.323e+00,+2.317e+00,+1.685e+00,Null,Null
16.350,Null,Null,-1.839e-01,+2.352e+00,+2.297e+00,+1.715e+00,Null,Null
16.360,-6.513e-01,-7.639e-01,-1.428e-01,+2.386e+00,+2.256e+00,+1.750e+00,Null,Null
16.370,Null,Null,-1.123e-01,+2.413e+00,+2.222e+00,+1.779e+00,Null,Null
16.380,-8.061e-01,-7.050e-01,-9.540e-02,+2.445e+00,+2.166e+00,+1.812e+00,Null,Null
16.390,-8.657e-01,-6.359e-01,-9.483e-02,+2.479e+00,+2.095e+00,+1.850e+00,Null,Null
16.400,Null,Null,-1.024e-01,+2.506e+00,+2.036e+00,+1.881e+00,Null,Null
16.410,-8.810e-01,-5.635e-01,-1.019e-01,+2.529e+00,+2.000e+00,+1.915e+00,Null,Null
16.420,Null,Null,-8.477e-02,+2.540e+00,+1.989e+00,+1.943e+00,Null,Null
16.430,-8.816e-01,-4.833e-01,-6.761e-02,+2.544e+00,+1.985e+00,+1.974e+00,Null,Null
16.440,Null,Null,-5.146e-02,+2.545e+00,+1.984e+00,+2.001e+00,Null,Null
16.450,-8.770e-01,-3.900e-01,-3.554e-02,+2.545e+00,+1.984e+00,+2.031e+00,Null,Null
16.460,Null,Null,-1.997e-02,+2.546e+00,+1.983e+00,+2.057e+00,Null,Null
16.470,-8.694e-01,-2.762e-01,-5.771e-03,+2.545e+00,+1.983e+00,+2.089e+00,Null,Null
16.480,-8.588e-01,-1.274e-01,+1.126e-02,+2.545e+00,+1.983e+00,+2.131e+00,Null,Null
16.490,Null,Null,+3.140e-02,+2.544e+00,+1.983e+00,+2.167e+00,Null,Null
16.500,-8.442e-01,+7.544e-02,+3.952e-02,+2.523e+00,+1.984e+00,+2.199e+00,Null,Null
16.510,Null,Null,+3.594e-02,+2.503e+00,+1.984e+00,+2.225e+00,Null,Null
16.520,-8.201e-01,+3.369e-01,+1.938e-02,+2.469e+00,+1.984e+00,+2.243e+00,Null,Null
16.530,-7.823e-01,+6.074e-01,-1.066e-02,+2.434e+00,+1.984e+00,+2.260e+00,Null,Null
16.540,Null,Null,-4.294e-02,+2.405e+00,+1.983e+00,+2.274e+00,Null,Null
16.550,-7.281e-01,+7.883e-01,-7.313e-02,+2.377e+00,+1.983e+00,+2.289e+00,Null,Null
16.560,Null,Null,-1.011e-01,+2.355e+00,+1.983e+00,+2.301e+00,Null,Null
16.570,-6.576e-01,+8.662e-01,-1.296e-01,+2.331e+00,+1.983e+00,+2.310e+00,Null,Null
16.580,Null,Null,-1.591e-01,+2.312e+00,+1.983e+00,+2.317e+00,Null,Null
16.590,-5.909e-01,+8.836e-01,-1.949e-01,+2.288e+00,+1.983e+00,+2.315e+00,Null,Null
16.600,-5.266e-01,+8.838e-01,-2.424e-01,+2.257e+00,+1.984e+00,+2.297e+00,Null,Null
16.610,Null,Null,-2.959e-01,+2.231e+00,+1.984e+00,+2.282e+00,Null,Null
16.620,-4.597e-01,+8.797e-01,-3.560e-01,+2.198e+00,+1.984e+00,+2.242e+00,Null,Null
16.630,Null,Null,-4.177e-01,+2.170e+00,+1.983e+00,+2.208e+00,Null,Null
16.640,-3.846e-01,+8.740e-01,-4.818e-01,+2.141e+00,+1.983e+00,+2.143e+00,Null,Null
16.650,Null,Null,-5.457e-01,+2.116e+00,+1.983e+00,+2.088e+00,Null,Null
16.660,-2.798e-01,+8.710e-01,-6.093e-01,+2.094e+00,+1.983e+00,+2.003e+00,Null,Null
16.670,Null,Null,-6.706e-01,+2.077e+00,+1.983e+00,+1.931e+00,Null,Null
16.680,-1.371e-01,+8.637e-01,-7.330e-01,+2.062e+00,+1.983e+00,+1.834e+00,Null,Null
16.690,+5.985e-02,+8.504e-01,-8.044e-01,+2.042e+00,+1.984e+00,+1.734e+00,Null,Null
16.700,Null,Null,-8.816e-01,+2.025e+00,+1.984e+00,+1.642e+00,Null,Null
16.710,+3.201e-01,+8.286e-01,-9.583e-01,+2.007e+00,+1.984e+00,+1.552e+00,Null,Null
16.720,Null,Null,-1.030e+00,+1.992e+00,+1.984e+00,+1.479e+00,Null,Null
16.730,+5.980e-01,+7.933e-01,-1.093e+00,+1.981e+00,+1.984e+00,+1.412e+00,Null,Null
16.740,Null,Null,-1.148e+00,+1.972e+00,+1.984e+00,+1.357e+00,Null,Null
16.750,+7.892e-01,+7.412e-01,-1.195e+00,+1.965e+00,+1.984e+00,+1.306e+00,Null,Null
16.760,Null,Null,-1.235e+00,+1.960e+00,+1.984e+00,+1.264e+00,Null,Null
16.770,+8.674e-01,+6.787e-01,-1.269e+00,+1.958e+00,+1.984e+00,+1.225e+00,Null,Null
16.780,+8.884e-01,+6.152e-01,-1.301e+00,+1.955e+00,+1.984e+00,+1.189e+00,Null,Null
16.790,Null,Null,-1.330e+00,+1.954e+00,+1.984e+00,+1.160e+00,Null,Null
16.800,+8.909e-01,+5.529e-01,-1.359e+00,+1.951e+00,+1.984e+00,+1.133e+00,Null,Null
16.810,Null,Null,-1.387e+00,+1.949e+00,+1.984e+00,+1.111e+00,Null,Null
16.820,+8.879e-01,+4.890e-01,-1.416e+00,+1.947e+00,+1.984e+00,+1.092e+00,Null,Null
16.830,+8.832e-01,+4.185e-01,-1.444e+00,+1.944e+00,+1.984e+00,+1.078e+00,Null,Null
16.840,+8.772e-01,+3.351e-01,-1.470e+00,+1.943e+00,+1.983e+00,+1.073e+00,Null,Null
16.850,Null,Null,-1.493e+00,+1.941e+00,+1.983e+00,+1.069e+00,Null,Null
16.860,+8.697e-01,+2.293e-01,-1.514e+00,+1.942e+00,+1.983e+00,+1.076e+00,Null,Null
16.870,+8.596e-01,+8.725e-02,-1.533e+00,+1.943e+00,+1.983e+00,+1.092e+00,Null,Null
16.880,Null,Null,-1.551e+00,+1.944e+00,+1.983e+00,+1.106e+00,Null,Null
16.890,+8.448e-01,-1.081e-01,-1.573e+00,+1.938e+00,+1.984e+00,+1.124e+00,Null,Null
16.900,+8.218e-01,-3.609e-01,-1.603e+00,+1.932e+00,+1.984e+00,+1.144e+00,Null,Null
16.910,+7.855e-01,-6.202e-01,-1.634e+00,+1.929e+00,+1.989e+00,+1.166e+00,Null,Null
16.920,Null,Null,-1.664e+00,+1.928e+00,+1.994e+00,+1.183e+00,Null,Null
16.930,+7.333e-01,-7.925e-01,-1.696e+00,+1.930e+00,+2.002e+00,+1.202e+00,Null,Null
16.940,Null,Null,-1.726e+00,+1.932e+00,+2.009e+00,+1.218e+00,Null,Null
16.950,+6.722e-01,-8.629e-01,-1.759e+00,+1.938e+00,+2.023e+00,+1.237e+00,Null,Null
16.960,Null,Null,-1.792e+00,+1.943e+00,+2.035e+00,+1.252e+00,Null,Null
16.970,+6.103e-01,-8.823e-01,-1.826e+00,+1.950e+00,+2.058e+00,+1.270e+00,Null,Null
